scenario,index_name,metric,estimate,ci_low,ci_high
fixed_w11_t7_corrected,cool_days,OLS,-11.148931542313898,-16.64953817567177,-3.3318174604725557
fixed_w11_t7_corrected,cool_days,q10,-3.9791140572390558,-14.276620370370368,-1.3666544834307974
fixed_w11_t7_corrected,cool_days,q50,-10.216049382716045,-11.432516470797719,-1.576967592592589
fixed_w11_t7_corrected,cool_days,q90,-14.389560931899641,-27.630301672640382,-2.4181547619047605
fixed_w11_t7_corrected,cool_days,Delta1,-10.410446874660586,-21.775548143535296,1.7831790123456788
fixed_w11_t7_corrected,cool_nights,OLS,-9.141263828763831,-13.829130336610444,-2.5811639089643963
fixed_w11_t7_corrected,cool_nights,q10,-3.9601139601139597,-11.218064128943757,-0.9261110392223834
fixed_w11_t7_corrected,cool_nights,q50,-8.078955314009661,-9.945987654320987,-1.776982060185186
fixed_w11_t7_corrected,cool_nights,q90,-11.944444444444438,-24.3839605734767,-2.0912905092592604
fixed_w11_t7_corrected,cool_nights,Delta1,-7.984330484330478,-19.82915660225443,2.515513204966325
fixed_w11_t7_corrected,warm_days,OLS,20.15340113318056,12.952043620001833,24.11905971732687
fixed_w11_t7_corrected,warm_days,q10,17.086020171957674,6.437389770723103,24.99736952861953
fixed_w11_t7_corrected,warm_days,q50,22.350543478260867,11.778163580246913,25.155044367283953
fixed_w11_t7_corrected,warm_days,q90,27.372685185185183,6.414351851851855,37.358674463937625
fixed_w11_t7_corrected,warm_days,Delta1,10.286665013227509,-10.112987364144773,22.688595902665956
fixed_w11_t7_corrected,warm_nights,OLS,15.944583262597988,12.02132434822239,18.36717557797061
fixed_w11_t7_corrected,warm_nights,q10,14.42873677248677,10.461805555555557,18.753858024691358
fixed_w11_t7_corrected,warm_nights,q50,16.302910052910054,9.493441358024691,19.385416666666668
fixed_w11_t7_corrected,warm_nights,q90,18.08653322440087,11.62464774557166,24.104817708333343
fixed_w11_t7_corrected,warm_nights,Delta1,3.6577964519141,-5.260706018518519,9.004041641909287
fixed_w11_t7_raw,cool_days,OLS,-8.88645559233795,-13.690759002132463,-1.7867276630191713
fixed_w11_t7_raw,cool_days,q10,-3.324915824915824,-11.57407407407408,-0.596064814814814
fixed_w11_t7_raw,cool_days,q50,-8.441358024691358,-10.023148148148149,0.08680555555555582
fixed_w11_t7_raw,cool_days,q90,-11.88034188034188,-23.766427718040624,-0.6414141414141344
fixed_w11_t7_raw,cool_days,Delta1,-8.555426055426057,-18.796057347670256,2.922415879932222
fixed_w11_t7_raw,cool_nights,OLS,-7.105452281922874,-11.326466719436025,-0.9141729503707163
fixed_w11_t7_raw,cool_nights,q10,-3.3487654320987654,-9.796296296296298,0.14096886741821665
fixed_w11_t7_raw,cool_nights,q50,-6.203703703703702,-8.067129629629628,0.30555555555555536
fixed_w11_t7_raw,cool_nights,q90,-11.944444444444438,-21.547619047619047,-0.3240740740740732
fixed_w11_t7_raw,cool_nights,Delta1,-8.595679012345672,-17.300435729847496,3.490852723665233
fixed_w11_t7_raw,warm_days,OLS,21.797569532863662,15.857827130713824,25.497128978205414
fixed_w11_t7_raw,warm_days,q10,17.371031746031747,6.956018518518516,25.68518518518519
fixed_w11_t7_raw,warm_days,q50,23.710317460317462,13.962191358024691,25.981481481481474
fixed_w11_t7_raw,warm_days,q90,31.10185185185185,10.784313725490193,38.50389863547759
fixed_w11_t7_raw,warm_days,Delta1,13.730820105820104,-7.572167755991284,24.996834441278885
fixed_w11_t7_raw,warm_nights,OLS,17.156084656084662,14.07011377565804,19.154524857549514
fixed_w11_t7_raw,warm_nights,q10,15.86111111111111,12.006172839506172,19.244444444444444
fixed_w11_t7_raw,warm_nights,q50,16.703703703703706,11.654320987654323,20.421745230078564
fixed_w11_t7_raw,warm_nights,q90,20.466820987654316,13.888888888888893,25.375243664717352
fixed_w11_t7_raw,warm_nights,Delta1,4.605709876543205,-4.186847103513765,9.514132553606242
fixed_w5_t7_corrected,cool_days,OLS,-12.153713252977953,-17.965725888480502,-3.8908109958071937
fixed_w5_t7_corrected,cool_days,q10,-4.537037037037037,-15.063657407407407,-2.0829716435185186
fixed_w5_t7_corrected,cool_days,q50,-11.409970238095237,-12.290219907407408,-1.5383873456790107
fixed_w5_t7_corrected,cool_days,q90,-15.845280764635604,-29.338037634408597,-4.206349206349206
fixed_w5_t7_corrected,cool_days,Delta1,-11.308243727598565,-23.01074741190844,1.9042543490460153
fixed_w5_t7_corrected,cool_nights,OLS,-9.919493428684602,-14.740323090479057,-3.0758136225339987
fixed_w5_t7_corrected,cool_nights,q10,-4.465811965811966,-12.031491126543205,-2.220017636684304
fixed_w5_t7_corrected,cool_nights,q50,-8.618518518518517,-10.577546296296292,-1.9893518518518525
fixed_w5_t7_corrected,cool_nights,q90,-12.333333333333323,-25.47509707287933,-2.821903935185186
fixed_w5_t7_corrected,cool_nights,Delta1,-7.867521367521357,-20.057086709104944,2.6918922854635703
