joint_change,dry_marginal,hot_marginal,excess_joint
17.364253393665162,5.4830982166622295,11.422012243811553,0.4591429331913762
12.047511312217189,6.672544583444237,8.309488953952622,-2.9345222251796645
24.377828054298654,10.578586638275222,13.004059089699224,0.795182326324195
28.28054298642534,11.882818738355077,18.161099281341485,-1.7633750332712248
37.78280542986424,16.625632153313816,20.77122704285334,0.38594623369710057
24.547511312217214,12.689645994144266,15.338035666755395,-3.4801703486824587
21.606334841628957,8.868445568272556,12.025885014639345,0.7120042587170635
32.183257918552044,16.208078253926004,18.067939845621506,-2.092760180995474
21.210407239819002,7.449427734894865,12.233830183657174,1.5271493212669698
14.196832579185518,6.444636678200693,10.094490284801704,-2.342294383816874
32.352941176470594,12.806095288794255,16.79864253393665,2.7482033537396897
14.59276018099548,5.799174873569337,8.906707479371839,-0.11312217194570051
16.0633484162896,8.174740484429067,9.725179664626033,-1.8365717327655038
15.271493212669686,5.2967793452222525,8.583976577056161,1.3907372903912694
32.748868778280546,14.399787064146922,15.810487090763909,2.5385946233697108
27.828054298642538,15.031940377961142,15.321400053233962,-2.5252861325525684
37.443438914027155,15.878693106201753,21.395062549906832,0.16968325791855404
14.196832579185521,5.712669683257918,9.256055363321801,-0.7718924673941968
22.737556561085988,10.382286398722384,10.072863987223844,2.28240617513974
21.832579185520366,9.282672344956085,15.118445568272556,-2.5685387277082774
18.325791855203626,8.688780942241145,10.502062816076652,-0.8650519031141861
19.287330316742086,8.094889539526218,13.05230236891137,-1.8598615916955015
26.13122171945703,10.300771892467388,16.805296779345213,-0.9748469523556018
36.42533936651584,18.90471120574927,20.115783870109126,-2.595155709342559
14.083710407239817,4.82100079850945,9.292653713068937,-0.02994410433856837
34.67194570135747,17.25445834442375,21.14719190843758,-3.72970455150386
25.678733031674216,10.606867181261642,12.86598349747138,2.205882352941177
13.34841628959276,5.539659302635082,7.2531274953420235,0.555629491615651
25.791855203619914,12.880955549640671,16.001796646260317,-3.0908969922810745
23.699095022624444,8.276217726909767,12.697963800904976,2.7249134948096887
14.083710407239817,6.093625232898588,8.655509715198296,-0.6654245408570664
33.88009049773756,16.47591163162097,18.139472983763646,-0.7352941176470572
23.416289592760183,9.51390737290391,13.87909236092627,0.023289858929997173
24.604072398190052,9.107998402981101,13.616249667287729,1.879824327921215
14.479638009049776,6.680862390204955,6.577721586372107,1.2210540324727173
6.052036199095023,3.0709342560553616,5.330050572265102,-2.3489486292254456
37.330316742081436,14.925472451424012,21.083976577056152,1.320867713601279
17.25113122171946,7.184921479904178,10.55196965664094,-0.485759914825658
18.49547511312218,7.7521959009848285,10.653446899121642,0.08983231301570407
