index_name,network,metric,block_length,estimate,ci_low,ci_high,family_ci_low,family_ci_high,bootstrap_reps
warm_days,common_fixed,OLS,2,13.949410067057144,9.383290908774432,17.1660309519777,7.276103620903193,18.224206205655634,4999
warm_days,common_fixed,q10,2,9.520502645502646,4.490740740740739,13.601851851851853,2.7962962962962963,18.046296296296298,4999
warm_days,common_fixed,q50,2,15.718694885361549,7.88888888888889,17.456140350877195,6.041666666666667,18.732193732193732,4999
warm_days,common_fixed,q90,2,22.370370370370374,5.682870370370371,27.90448343079922,1.8572984749455363,30.709876543209873,4999
warm_days,common_fixed,Delta1,2,12.849867724867728,-5.212654320987655,18.364197530864196,-8.946306360708528,22.515840595497504,4999
warm_nights,common_fixed,OLS,2,11.136561695385224,8.500797473846749,12.810910784277787,7.347907155087081,13.268340570463852,4999
warm_nights,common_fixed,q10,2,10.069444444444445,7.2745571658615145,11.785714285714295,6.534391534391536,14.768518518518533,4999
warm_nights,common_fixed,q50,2,12.340534979423868,6.250000000000005,13.861111111111112,3.9316239316239305,14.471326164874554,4999
warm_nights,common_fixed,q90,2,12.777777777777777,8.693019943019943,16.910331384015592,6.104497354497356,17.216435185185187,4999
warm_nights,common_fixed,Delta1,2,2.708333333333332,-1.919642857142857,6.588693957115012,-4.869456627680309,8.65823412698413,4999
cool_days,common_fixed,OLS,2,-12.612568259627094,-18.952188300245005,-6.013729007311145,-21.209743200574753,-4.121949929233139,4999
cool_days,common_fixed,q10,2,-5.454545454545455,-14.621913580246915,-2.1759259259259256,-18.71604938271605,-0.8190883190883189,4999
cool_days,common_fixed,q50,2,-11.947751322751325,-13.61916264090177,-4.0740740740740735,-18.067592592592597,-1.739417989417988,4999
cool_days,common_fixed,q90,2,-15.69593787335723,-29.314814814814813,-7.1438746438746445,-33.17901234567901,-1.5637860082304578,4999
cool_days,common_fixed,Delta1,2,-10.241392418811776,-24.501028806584358,1.3385828029547902,-27.034616315662067,4.195430729788939,4999
cool_nights,common_fixed,OLS,2,-10.966018730724606,-16.12130062160601,-5.571231078278933,-17.958512659195897,-4.365184504658321,4999
cool_nights,common_fixed,q10,2,-5.905349794238686,-13.409090909090908,-3.2407407407407405,-16.325231481481485,-2.5661375661375683,4999
cool_nights,common_fixed,q50,2,-9.599999999999998,-11.496913580246915,-4.226579520697167,-14.321256038647345,-2.377480158730157,4999
cool_nights,common_fixed,q90,2,-12.271604938271603,-25.87484035759898,-5.884773662551437,-28.037918871252206,-3.413862179486868,4999
