contrast,index_name,metric,block_length,estimate,ci_low,ci_high,family_ci_low,family_ci_high,bootstrap_reps
warm_day_minus_night,paired_indices,Delta1,2,10.141534391534396,-4.911172161172157,13.579990371148456,-7.7821189438410965,15.727276473454918,4999
cool_day_minus_night,paired_indices,Delta1,2,-3.875137274778859,-7.46723304979637,4.6667667030326925,-9.422321204122678,7.487162973302098,4999
fixed_minus_available,warm_days,OLS,2,-0.07254264050914117,-0.2919861401215315,0.1744910561306311,-0.3485339263839947,0.2523616702888156,4999
fixed_minus_available,warm_days,q10,2,0.07417710505829866,-0.24696643234617,0.7417363600159277,-0.5002986857825551,1.2239289981225472,4999
fixed_minus_available,warm_days,q50,2,0.16884151292753202,-0.8823379609059003,0.4864595778574241,-1.595234477912556,0.6933243727598555,4999
fixed_minus_available,warm_days,q90,2,-0.13428475682605878,-1.204898446833937,0.6117084826762298,-3.3205554356580738,0.770410195141384,4999
fixed_minus_available,warm_days,Delta1,2,-0.20846186188435745,-1.7871270994298607,0.678186132271005,-3.711587409880833,0.8864620383369127,4999
fixed_minus_available,warm_nights,OLS,2,0.17813382735637617,0.1009417852494094,0.27983012218311865,0.07270189686637334,0.3273579696638922,4999
fixed_minus_available,warm_nights,q10,2,1.3275089605734767,-0.37278976355128535,1.3691756272401463,-0.5697431302270006,1.852087725771326,4999
fixed_minus_available,warm_nights,q50,2,0.20131596414373476,-0.32502842848609337,0.6848550587939393,-0.903737839221713,0.9849736348038559,4999
fixed_minus_available,warm_nights,q90,2,0.567151591819524,-0.3637546624122123,0.7812292579317592,-1.0994957894459017,2.7699621664675362,4999
fixed_minus_available,warm_nights,Delta1,2,-0.7603573687539527,-1.264018312450836,1.1368947220465246,-1.8498264727624703,2.616795873332266,4999
fixed_minus_available,cool_days,OLS,2,-0.014423759285250526,-0.20705665156443748,0.19528988487388121,-0.27236561870998865,0.2505839049698501,4999
fixed_minus_available,cool_days,q10,2,0.14704479889373623,-0.2025963808025164,0.3543160095579445,-0.5365143369175591,0.675614253804989,4999
fixed_minus_available,cool_days,q50,2,0.05282939734158987,-0.47158189914788906,0.7150537634408654,-0.619851535367044,1.1393924424838322,4999
fixed_minus_available,cool_days,q90,2,-0.32403704691095037,-0.8381402819330575,0.5833218854461926,-0.9284081717461738,0.9573959870686628,4999
fixed_minus_available,cool_days,Delta1,2,-0.4710818458046866,-0.8900056561525818,0.565232943744542,-1.2536287093992615,0.9056420377788742,4999
fixed_minus_available,cool_nights,OLS,2,-0.10272669653963185,-0.2959450560177023,0.10860451607408987,-0.3697105427879366,0.16791043729480326,4999
fixed_minus_available,cool_nights,q10,2,-0.00033187309173410284,-0.35681463100818167,0.3365193150139474,-0.8342250348466718,0.5471923536439647,4999
fixed_minus_available,cool_nights,q50,2,0.23159117305458743,-0.47243401759530457,0.594683393070488,-0.8972649176376578,1.0463271747752612,4999
fixed_minus_available,cool_nights,q90,2,-0.2070888092393517,-0.7428459406709624,0.467816606929512,-0.9214316511481684,0.8213859020310617,4999
fixed_minus_available,cool_nights,Delta1,2,-0.2067569361476176,-0.865876095592613,0.5403948038466826,-1.0749376116502136,0.950769738152132,4999
warm_day_minus_night,paired_indices,Delta1,4,10.141534391534396,-5.994325910563653,14.239522417154001,-8.205484330484328,17.704445369672086,4999
cool_day_minus_night,paired_indices,Delta1,4,-3.875137274778859,-8.046051720270464,5.086582308593181,-11.435088734567907,8.3660133744856,4999
fixed_minus_available,warm_days,OLS,4,-0.07254264050914117,-0.2982599044136876,0.19947476200169736,-0.36224870468479703,0.29588391273974685,4999
fixed_minus_available,warm_days,q10,4,0.07417710505829866,-0.24696643234617,0.7417363600159277,-0.5047789725208993,1.6200716845878151,4999
fixed_minus_available,warm_days,q50,4,0.16884151292753202,-1.064053650948812,0.529420549581836,-1.6039676737517048,0.7231182795698956,4999
fixed_minus_available,warm_days,q90,4,-0.13428475682605878,-1.2355704586231813,0.6571087216248568,-2.5867111181390277,0.770410195141384,4999
