joint_change,dry_marginal,hot_marginal,excess_joint,station_id,precip_threshold,temperature_threshold,zero_precip_threshold,dry_early_pct,hot_early_pct,joint_early_pct,dry_late_pct,hot_late_pct,joint_late_pct,joint_change_ci_low,joint_change_ci_high,dry_marginal_ci_low,dry_marginal_ci_high,hot_marginal_ci_low,hot_marginal_ci_high,excess_joint_ci_low,excess_joint_ci_high,definition,scenario
0.0,-1.3840830449826986,0.0,1.3840830449826986,40700,207.81,16.23620178041543,False,23.52941176470588,23.52941176470588,5.88235294117647,17.647058823529413,23.52941176470588,5.88235294117647,-11.764705882352942,23.529411764705884,-4.671280276816608,11.072664359861593,-3.4602076124567476,12.456747404844293,-14.878892733564014,10.380622837370241,annual,primary
-5.88235294117647,-4.1522491349480966,4.1522491349480966,-5.88235294117647,40701,235.89,12.049523809523809,False,23.52941176470588,23.52941176470588,11.76470588235294,11.76470588235294,47.05882352941176,5.88235294117647,-17.647058823529413,41.17647058823529,-6.245674740484428,18.166089965397923,0.0,26.643598615916954,-21.10726643598616,9.688581314878894,annual,primary
0.0,-4.844290657439446,6.228373702422145,-1.3840830449826993,40702,155.51999999999998,16.293731343283582,False,23.52941176470588,23.52941176470588,11.76470588235294,11.76470588235294,58.82352941176471,11.76470588235294,-17.647058823529413,41.17647058823529,-8.304498269896193,17.64705882352941,0.6920415224913495,22.837370242214526,-15.570934256055358,13.84083044982699,annual,primary
0.0,-4.844290657439446,6.228373702422145,-1.3840830449826993,40703,207.23000000000002,13.59031339031339,False,23.52941176470588,23.52941176470588,11.76470588235294,11.76470588235294,58.82352941176471,11.76470588235294,-17.647058823529413,41.47058823529518,-8.304498269896193,23.52941176470588,1.0380622837370246,27.681660899653977,-23.18339100346021,8.650519031141869,annual,primary
17.647058823529413,7.785467128027681,13.321799307958477,-3.4602076124567436,40704,265.08,11.893538461538462,False,23.52941176470588,23.52941176470588,11.76470588235294,41.17647058823529,64.70588235294117,29.411764705882355,-5.882352941176472,52.941176470588225,-2.7681660899653973,24.913494809688576,1.7301038062283736,28.572664359861687,-18.685121107266433,13.494809688581313,annual,primary
5.882352941176472,3.8062283737024227,5.190311418685121,-3.114186851211072,40706,218.92000000000002,14.079827089337176,False,23.52941176470588,23.52941176470588,11.76470588235294,35.294117647058826,41.17647058823529,17.647058823529413,-11.76470588235294,35.29411764705882,-3.4602076124567476,12.975778546712801,-2.422145328719723,17.1280276816609,-15.916955017301039,13.84083044982699,annual,primary
29.411764705882355,10.380622837370241,14.53287197231834,4.498269896193774,40708,251.92,10.45625,False,23.52941176470588,23.52941176470588,5.88235294117647,47.05882352941176,64.70588235294117,35.294117647058826,0.0,64.70588235294117,-3.4602076124567485,32.35294117647059,3.1141868512110724,34.2560553633218,-15.224913494809684,13.84083044982699,annual,primary
17.64705882352941,2.941176470588236,14.013840830449825,0.692041522491349,40709,1267.81,15.911506849315067,False,23.52941176470588,23.52941176470588,5.88235294117647,29.411764705882355,76.47058823529412,23.52941176470588,-11.76470588235294,35.294117647058826,-10.380622837370241,18.166089965397926,4.325259515570934,22.16262975778553,-14.550173010380627,8.304498269896193,annual,primary
11.76470588235294,7.266435986159168,11.418685121107265,-6.920415224913494,40710,224.96,9.671469740634006,False,23.52941176470588,23.52941176470588,11.76470588235294,41.17647058823529,58.82352941176471,23.52941176470588,-11.764705882352942,58.82352941176471,0.0,29.420415224913523,2.0761245674740487,31.141868512110722,-23.183391003460212,10.726643598615917,annual,primary
-5.882352941176472,-2.249134948096885,6.055363321799308,-9.688581314878894,40712,230.62,12.257848837209302,False,23.52941176470588,23.52941176470588,17.647058823529413,17.647058823529413,52.94117647058824,11.76470588235294,-17.647058823529413,41.17647058823529,-6.920415224913495,18.685121107266436,-1.038062283737024,26.989619377162626,-17.993079584775085,7.9584775086505175,annual,primary
