climate_regime,n_stations,mean_elevation_m,kg_classes,cool_days,cool_nights,warm_days,warm_nights
BWh_hot_desert,36,575.0527777777778,BWh:36,-20.592482861376308,-18.36013838560312,15.842416147048072,16.63839356703683
BWk_cold_desert,18,1401.7055555555555,BWk:18,-15.281407569034544,-13.483589547319776,16.753484154078542,11.622475691004963
BSh_hot_steppe,10,495.39,BSh:10,-16.850190210403877,-15.338040834466932,23.853797567712213,12.356125462423035
BSk_cold_steppe,35,1442.1285714285714,BSk:35,-17.555173640228713,-12.821518230223251,21.62414129138454,12.724945185398887
C_temperate,15,671.5733333333334,"Cfa:2, Csa:13",-18.370948678181165,-17.087389340932035,20.44149102683457,13.643870366899383
Dsa_cold_dry_summer,10,1917.11,Dsa:10,-19.616251279526768,-14.094523348346678,22.233055287180772,11.99310895175618
