index_name,network,tau,slope,ols_slope,n_stations,ci_low,ci_high
warm_days,available,0.1,9.446325540444347,14.021952707566285,,,
warm_days,available,0.11,9.446325540444347,14.021952707566285,,,
warm_days,available,0.12,8.907624633431087,14.021952707566285,,,
warm_days,available,0.13,8.907624633431087,14.021952707566285,,,
warm_days,available,0.14,8.907624633431087,14.021952707566285,,,
warm_days,available,0.15,8.867289710398216,14.021952707566285,,,
warm_days,available,0.16,9.526761117670208,14.021952707566285,,,
warm_days,available,0.17,9.526761117670208,14.021952707566285,,,
warm_days,available,0.18,9.526761117670208,14.021952707566285,,,
warm_days,available,0.19,9.526761117670208,14.021952707566285,,,
warm_days,available,0.2,9.58229657276578,14.021952707566285,,,
warm_days,available,0.21,9.58229657276578,14.021952707566285,,,
warm_days,available,0.22,9.58229657276578,14.021952707566285,,,
warm_days,available,0.23,9.58229657276578,14.021952707566285,,,
warm_days,available,0.24,10.889480753850256,14.021952707566285,,,
warm_days,available,0.25,9.64442815249267,14.021952707566285,,,
warm_days,available,0.26,9.64442815249267,14.021952707566285,,,
warm_days,available,0.27,9.64442815249267,14.021952707566285,,,
warm_days,available,0.28,9.64442815249267,14.021952707566285,,,
warm_days,available,0.29,9.64442815249267,14.021952707566285,,,
warm_days,available,0.3,10.96774193548387,14.021952707566285,,,
warm_days,available,0.31,12.550403225806454,14.021952707566285,,,
warm_days,available,0.32,12.550403225806454,14.021952707566285,,,
warm_days,available,0.33,12.550403225806454,14.021952707566285,,,
warm_days,available,0.34,12.706653225806454,14.021952707566285,,,
warm_days,available,0.35,12.706653225806454,14.021952707566285,,,
warm_days,available,0.36,12.706653225806454,14.021952707566285,,,
warm_days,available,0.37,12.706653225806454,14.021952707566285,,,
warm_days,available,0.38,12.939068100358424,14.021952707566285,,,
warm_days,available,0.39,12.939068100358424,14.021952707566285,,,
warm_days,available,0.4,12.939068100358424,14.021952707566285,,,
warm_days,available,0.41,13.006912442396315,14.021952707566285,,,
warm_days,available,0.42,13.006912442396315,14.021952707566285,,,
warm_days,available,0.43,16.5848615061833,14.021952707566285,,,
warm_days,available,0.44,16.5848615061833,14.021952707566285,,,
warm_days,available,0.45,16.5848615061833,14.021952707566285,,,
warm_days,available,0.46,16.31665792464376,14.021952707566285,,,
warm_days,available,0.47,15.456989247311828,14.021952707566285,,,
warm_days,available,0.48,15.549853372434017,14.021952707566285,,,
warm_days,available,0.49,15.549853372434017,14.021952707566285,,,
warm_days,available,0.5,15.549853372434017,14.021952707566285,,,
warm_days,available,0.51,15.549853372434017,14.021952707566285,,,
warm_days,available,0.52,15.549853372434017,14.021952707566285,,,
warm_days,available,0.53,15.538891074394614,14.021952707566285,,,
warm_days,available,0.54,15.632183908045976,14.021952707566285,,,
warm_days,available,0.55,15.632183908045976,14.021952707566285,,,
warm_days,available,0.56,15.632183908045976,14.021952707566285,,,
warm_days,available,0.57,15.632183908045976,14.021952707566285,,,
warm_days,available,0.58,15.632183908045976,14.021952707566285,,,
warm_days,available,0.59,15.191856181234623,14.021952707566285,,,
warm_days,available,0.6,15.191856181234623,14.021952707566285,,,
warm_days,available,0.61,15.282258064516137,14.021952707566285,,,
warm_days,available,0.62,15.282258064516137,14.021952707566285,,,
warm_days,available,0.63,15.282258064516137,14.021952707566285,,,
warm_days,available,0.64,15.737327188940093,14.021952707566285,,,
warm_days,available,0.65,15.737327188940093,14.021952707566285,,,
warm_days,available,0.66,15.037223001402523,14.021952707566285,,,
warm_days,available,0.67,15.037223001402523,14.021952707566285,,,
warm_days,available,0.68,15.037223001402523,14.021952707566285,,,
warm_days,available,0.69,15.462161056568489,14.021952707566285,,,
warm_days,available,0.7,15.462161056568489,14.021952707566285,,,
warm_days,available,0.71,15.462161056568489,14.021952707566285,,,
warm_days,available,0.72,15.462161056568489,14.021952707566285,,,
warm_days,available,0.73,15.462161056568489,14.021952707566285,,,
warm_days,available,0.74,15.63082817363938,14.021952707566285,,,
warm_days,available,0.75,15.400093248244309,14.021952707566285,,,
warm_days,available,0.76,15.400093248244309,14.021952707566285,,,
warm_days,available,0.77,15.400093248244309,14.021952707566285,,,
warm_days,available,0.78,15.400093248244309,14.021952707566285,,,
warm_days,available,0.79,15.400093248244309,14.021952707566285,,,
warm_days,available,0.8,15.297973873633698,14.021952707566285,,,
warm_days,available,0.81,15.297973873633698,14.021952707566285,,,
warm_days,available,0.82,15.297973873633698,14.021952707566285,,,
warm_days,available,0.83,15.297973873633698,14.021952707566285,,,
warm_days,available,0.84,15.159179774282414,14.021952707566285,,,
warm_days,available,0.85,15.159179774282414,14.021952707566285,,,
warm_days,available,0.86,15.159179774282414,14.021952707566285,,,
warm_days,available,0.87,15.159179774282414,14.021952707566285,,,
warm_days,available,0.88,15.159179774282414,14.021952707566285,,,
warm_days,available,0.89,22.504655127196433,14.021952707566285,,,
warm_days,available,0.9,22.504655127196433,14.021952707566285,,,
warm_days,index_fixed,0.1,9.557667103538664,13.974194181425718,109.0,,
warm_days,index_fixed,0.11,9.557667103538664,13.974194181425718,109.0,,
warm_days,index_fixed,0.12,9.557667103538664,13.974194181425718,109.0,,
warm_days,index_fixed,0.13,9.557667103538664,13.974194181425718,109.0,,
warm_days,index_fixed,0.14,9.557667103538664,13.974194181425718,109.0,,
warm_days,index_fixed,0.15,9.007815154604147,13.974194181425718,109.0,,
warm_days,index_fixed,0.16,9.398572884811417,13.974194181425718,109.0,,
warm_days,index_fixed,0.17,9.398572884811417,13.974194181425718,109.0,,
warm_days,index_fixed,0.18,9.398572884811417,13.974194181425718,109.0,,
warm_days,index_fixed,0.19,9.79030144167759,13.974194181425718,109.0,,
warm_days,index_fixed,0.2,9.79030144167759,13.974194181425718,109.0,,
warm_days,index_fixed,0.21,9.79030144167759,13.974194181425718,109.0,,
warm_days,index_fixed,0.22,9.79030144167759,13.974194181425718,109.0,,
warm_days,index_fixed,0.23,9.79030144167759,13.974194181425718,109.0,,
warm_days,index_fixed,0.24,11.044460127028938,13.974194181425718,109.0,,
warm_days,index_fixed,0.25,9.849874895746458,13.974194181425718,109.0,,
warm_days,index_fixed,0.26,9.849874895746458,13.974194181425718,109.0,,
warm_days,index_fixed,0.27,9.849874895746458,13.974194181425718,109.0,,
warm_days,index_fixed,0.28,9.849874895746458,13.974194181425718,109.0,,
warm_days,index_fixed,0.29,9.849874895746458,13.974194181425718,109.0,,
warm_days,index_fixed,0.3,10.856269113149846,13.974194181425718,109.0,,
warm_days,index_fixed,0.31,12.32224770642202,13.974194181425718,109.0,,
warm_days,index_fixed,0.32,12.32224770642202,13.974194181425718,109.0,,
warm_days,index_fixed,0.33,12.32224770642202,13.974194181425718,109.0,,
warm_days,index_fixed,0.34,12.32224770642202,13.974194181425718,109.0,,
warm_days,index_fixed,0.35,12.32224770642202,13.974194181425718,109.0,,
warm_days,index_fixed,0.36,12.68348623853211,13.974194181425718,109.0,,
warm_days,index_fixed,0.37,12.68348623853211,13.974194181425718,109.0,,
warm_days,index_fixed,0.38,13.190621814475026,13.974194181425718,109.0,,
warm_days,index_fixed,0.39,13.190621814475026,13.974194181425718,109.0,,
warm_days,index_fixed,0.4,13.190621814475026,13.974194181425718,109.0,,
warm_days,index_fixed,0.41,13.47313237221494,13.974194181425718,109.0,,
warm_days,index_fixed,0.42,13.47313237221494,13.974194181425718,109.0,,
warm_days,index_fixed,0.43,16.39731827805222,13.974194181425718,109.0,,
warm_days,index_fixed,0.44,16.39731827805222,13.974194181425718,109.0,,
warm_days,index_fixed,0.45,16.39731827805222,13.974194181425718,109.0,,
warm_days,index_fixed,0.46,15.470608222901799,13.974194181425718,109.0,,
warm_days,index_fixed,0.47,15.470608222901799,13.974194181425718,109.0,,
warm_days,index_fixed,0.48,15.470608222901799,13.974194181425718,109.0,,
warm_days,index_fixed,0.49,15.470608222901799,13.974194181425718,109.0,,
warm_days,index_fixed,0.5,15.82350371341197,13.974194181425718,109.0,,
warm_days,index_fixed,0.51,15.82350371341197,13.974194181425718,109.0,,
warm_days,index_fixed,0.52,15.783805345033903,13.974194181425718,109.0,,
warm_days,index_fixed,0.53,15.783805345033903,13.974194181425718,109.0,,
warm_days,index_fixed,0.54,15.783805345033903,13.974194181425718,109.0,,
warm_days,index_fixed,0.55,15.932721712538227,13.974194181425718,109.0,,
warm_days,index_fixed,0.56,15.932721712538227,13.974194181425718,109.0,,
warm_days,index_fixed,0.57,15.932721712538227,13.974194181425718,109.0,,
warm_days,index_fixed,0.58,15.722477064220183,13.974194181425718,109.0,,
warm_days,index_fixed,0.59,15.722477064220183,13.974194181425718,109.0,,
warm_days,index_fixed,0.6,15.722477064220183,13.974194181425718,109.0,,
warm_days,index_fixed,0.61,15.771476230191828,13.974194181425718,109.0,,
warm_days,index_fixed,0.62,15.771476230191828,13.974194181425718,109.0,,
warm_days,index_fixed,0.63,15.493119266055047,13.974194181425718,109.0,,
warm_days,index_fixed,0.64,15.493119266055047,13.974194181425718,109.0,,
warm_days,index_fixed,0.65,15.493119266055047,13.974194181425718,109.0,,
warm_days,index_fixed,0.66,14.94053686714237,13.974194181425718,109.0,,
warm_days,index_fixed,0.67,14.94053686714237,13.974194181425718,109.0,,
warm_days,index_fixed,0.68,14.94053686714237,13.974194181425718,109.0,,
warm_days,index_fixed,0.69,15.115373922713374,13.974194181425718,109.0,,
warm_days,index_fixed,0.7,15.115373922713374,13.974194181425718,109.0,,
warm_days,index_fixed,0.71,15.115373922713374,13.974194181425718,109.0,,
warm_days,index_fixed,0.72,15.115373922713374,13.974194181425718,109.0,,
warm_days,index_fixed,0.73,14.80544131603923,13.974194181425718,109.0,,
warm_days,index_fixed,0.74,14.80544131603923,13.974194181425718,109.0,,
warm_days,index_fixed,0.75,14.80544131603923,13.974194181425718,109.0,,
warm_days,index_fixed,0.76,15.348284063880394,13.974194181425718,109.0,,
warm_days,index_fixed,0.77,15.348284063880394,13.974194181425718,109.0,,
warm_days,index_fixed,0.78,15.237698081734777,13.974194181425718,109.0,,
warm_days,index_fixed,0.79,15.237698081734777,13.974194181425718,109.0,,
warm_days,index_fixed,0.8,15.237698081734777,13.974194181425718,109.0,,
warm_days,index_fixed,0.81,15.237698081734777,13.974194181425718,109.0,,
warm_days,index_fixed,0.82,15.237698081734777,13.974194181425718,109.0,,
warm_days,index_fixed,0.83,15.085190039318475,13.974194181425718,109.0,,
warm_days,index_fixed,0.84,15.025927403270842,13.974194181425718,109.0,,
