definition,rule,station_id,climate_regime,zero_threshold,precip_threshold,temperature_threshold,joint_change,dry_marginal,hot_marginal,excess_joint,dry_early_pct,hot_early_pct,joint_early_pct,dry_late_pct,hot_late_pct,joint_late_pct
annual,strict,40700,BSk_cold_steppe,False,207.81,16.23620178041543,0.0,-1.3840830449826986,0.0,1.3840830449826986,23.52941176470588,23.52941176470588,5.88235294117647,17.647058823529413,23.52941176470588,5.88235294117647
annual,strict,40701,BSk_cold_steppe,False,235.89,12.049523809523809,-5.88235294117647,-4.1522491349480966,4.1522491349480966,-5.88235294117647,23.52941176470588,23.52941176470588,11.76470588235294,11.76470588235294,47.05882352941176,5.88235294117647
annual,strict,40702,BWk_cold_desert,False,155.51999999999998,16.293731343283582,0.0,-4.844290657439446,6.228373702422145,-1.3840830449826993,23.52941176470588,23.52941176470588,11.76470588235294,11.76470588235294,58.82352941176471,11.76470588235294
annual,strict,40703,BSk_cold_steppe,False,207.23000000000002,13.59031339031339,0.0,-4.844290657439446,6.228373702422145,-1.3840830449826993,23.52941176470588,23.52941176470588,11.76470588235294,11.76470588235294,58.82352941176471,11.76470588235294
annual,strict,40704,BSk_cold_steppe,False,265.08,11.893538461538462,17.647058823529413,7.785467128027681,13.321799307958477,-3.4602076124567436,23.52941176470588,23.52941176470588,11.76470588235294,41.17647058823529,64.70588235294117,29.411764705882355
annual,strict,40706,BSk_cold_steppe,False,218.92000000000002,14.079827089337176,5.882352941176472,3.8062283737024227,5.190311418685121,-3.114186851211072,23.52941176470588,23.52941176470588,11.76470588235294,35.294117647058826,41.17647058823529,17.647058823529413
annual,strict,40708,BSk_cold_steppe,False,251.92,10.45625,29.411764705882355,10.380622837370241,14.53287197231834,4.498269896193774,23.52941176470588,23.52941176470588,5.88235294117647,47.05882352941176,64.70588235294117,35.294117647058826
annual,strict,40709,C_temperate,False,1267.81,15.911506849315067,17.64705882352941,2.941176470588236,14.013840830449825,0.692041522491349,23.52941176470588,23.52941176470588,5.88235294117647,29.411764705882355,76.47058823529412,23.52941176470588
annual,strict,40710,BSk_cold_steppe,False,224.96,9.671469740634006,11.76470588235294,7.266435986159168,11.418685121107265,-6.920415224913494,23.52941176470588,23.52941176470588,11.76470588235294,41.17647058823529,58.82352941176471,23.52941176470588
annual,strict,40712,BSk_cold_steppe,False,230.62,12.257848837209302,-5.882352941176472,-2.249134948096885,6.055363321799308,-9.688581314878894,23.52941176470588,23.52941176470588,17.647058823529413,17.647058823529413,52.94117647058824,11.76470588235294
annual,strict,40713,BSk_cold_steppe,False,244.96,14.307267441860464,29.411764705882348,14.705882352941178,20.242214532871966,-5.536332179930796,23.52941176470588,23.52941176470588,11.76470588235294,52.94117647058824,76.47058823529412,41.17647058823529
annual,strict,40716,BSk_cold_steppe,False,259.86,15.264306784660768,17.647058823529413,8.996539792387543,10.380622837370241,-1.7301038062283711,23.52941176470588,23.52941176470588,11.76470588235294,47.05882352941176,52.94117647058824,29.411764705882355
annual,strict,40717,BSk_cold_steppe,False,316.14,9.206489675516224,0.0,-2.7681660899653973,9.688581314878892,-6.920415224913497,23.52941176470588,23.52941176470588,11.76470588235294,17.647058823529413,70.58823529411765,11.76470588235294
annual,strict,40718,C_temperate,False,1442.72,17.354518072289157,11.76470588235294,-2.7681660899653973,9.688581314878892,4.844290657439444,23.52941176470588,23.52941176470588,0.0,17.647058823529413,70.58823529411765,11.76470588235294
annual,strict,40719,C_temperate,False,1156.12,17.140751445086703,29.411764705882355,7.266435986159168,11.418685121107265,10.72664359861592,23.52941176470588,23.52941176470588,5.88235294117647,41.17647058823529,58.82352941176471,35.294117647058826
annual,strict,40723,BWk_cold_desert,False,212.95,13.237808219178083,29.411764705882348,11.072664359861593,16.608996539792386,1.7301038062283682,23.52941176470588,23.52941176470588,11.76470588235294,47.05882352941176,70.58823529411765,41.17647058823529
annual,strict,40724,Dsa_cold_dry_summer,False,525.23,13.60207715133531,-5.88235294117647,-7.785467128027681,6.055363321799309,-4.1522491349480966,23.52941176470588,23.52941176470588,11.76470588235294,5.88235294117647,64.70588235294117,5.88235294117647
annual,strict,40726,BSk_cold_steppe,False,331.18999999999994,13.952380952380953,5.882352941176469,2.5951557093425612,10.899653979238755,-7.612456747404848,23.52941176470588,23.52941176470588,17.647058823529413,29.411764705882355,64.70588235294117,23.52941176470588
annual,strict,40727,Dsa_cold_dry_summer,False,371.14,11.300546448087431,17.647058823529413,3.4602076124567485,18.685121107266433,-4.498269896193772,23.52941176470588,23.52941176470588,11.76470588235294,29.411764705882355,94.11764705882352,29.411764705882355
annual,strict,40728,BSk_cold_steppe,False,276.67999999999995,10.256811594202897,17.647058823529413,7.785467128027681,13.321799307958477,-3.4602076124567436,23.52941176470588,23.52941176470588,11.76470588235294,41.17647058823529,64.70588235294117,29.411764705882355
annual,strict,40729,BSk_cold_steppe,False,255.36,11.260330578512397,17.647058823529413,3.287197231833911,17.1280276816609,-2.7681660899653946,23.52941176470588,23.52941176470588,11.76470588235294,29.411764705882355,88.23529411764706,29.411764705882355
annual,strict,40730,BSk_cold_steppe,False,241.63,13.477534246575344,5.882352941176472,1.7301038062283742,3.1141868512110737,1.0380622837370248,23.52941176470588,23.52941176470588,11.76470588235294,29.411764705882355,35.294117647058826,17.647058823529413
annual,strict,40731,BSk_cold_steppe,False,284.69,14.14010989010989,29.411764705882348,11.072664359861593,16.608996539792386,1.7301038062283682,23.52941176470588,23.52941176470588,11.76470588235294,47.05882352941176,70.58823529411765,41.17647058823529
annual,strict,40732,C_temperate,False,948.98,17.05142857142857,5.88235294117647,-6.228373702422145,10.38062283737024,1.7301038062283738,23.52941176470588,23.52941176470588,5.88235294117647,11.76470588235294,82.35294117647058,11.76470588235294
annual,strict,40734,C_temperate,False,1182.89,16.800273972602742,23.52941176470588,3.1141868512110737,15.570934256055361,4.844290657439449,23.52941176470588,23.52941176470588,5.88235294117647,29.411764705882355,82.35294117647058,29.411764705882355
annual,strict,40736,C_temperate,False,805.0,18.184931506849313,17.647058823529413,5.1903114186851225,12.110726643598618,0.3460207612456731,23.52941176470588,23.52941176470588,11.76470588235294,35.294117647058826,64.70588235294117,29.411764705882355
annual,strict,40737,C_temperate,False,658.8899999999999,17.61278409090909,29.411764705882348,11.76470588235294,18.68512110726643,-1.0380622837370221,23.52941176470588,23.52941176470588,11.76470588235294,47.05882352941176,76.47058823529412,41.17647058823529
annual,strict,40738,BSh_hot_steppe,False,469.66999999999996,18.51344537815126,23.529411764705884,10.380622837370243,4.844290657439447,8.304498269896195,23.52941176470588,23.52941176470588,11.76470588235294,58.82352941176471,35.294117647058826,35.294117647058826
annual,strict,40739,BWk_cold_desert,False,127.76999999999998,15.419178082191781,11.764705882352942,4.152249134948097,6.920415224913495,0.692041522491349,23.52941176470588,23.52941176470588,5.88235294117647,35.294117647058826,47.05882352941176,17.647058823529413
annual,strict,40740,BSk_cold_steppe,False,271.63,13.275342465753425,-5.882352941176472,0.0,-1.3840830449826986,-4.498269896193772,23.52941176470588,23.52941176470588,17.647058823529413,23.52941176470588,17.647058823529413,11.76470588235294
annual,strict,40741,BSk_cold_steppe,False,170.0,19.361095890410958,17.64705882352941,3.8062283737024227,5.190311418685121,8.650519031141869,23.52941176470588,23.52941176470588,5.88235294117647,35.294117647058826,41.17647058823529,23.52941176470588
annual,strict,40743,BWk_cold_desert,False,147.41,18.23890410958904,47.05882352941176,19.377162629757787,20.761245674740486,6.920415224913492,23.52941176470588,23.52941176470588,11.76470588235294,64.70588235294117,70.58823529411765,58.82352941176471
annual,strict,40745,BWk_cold_desert,False,210.90000000000003,15.78551912568306,29.411764705882355,11.072664359861593,16.608996539792386,1.7301038062283725,23.52941176470588,23.52941176470588,5.88235294117647,47.05882352941176,70.58823529411765,35.294117647058826
annual,strict,40746,BSk_cold_steppe,False,191.1,15.479452054794521,0.0,0.0,1.384083044982699,-1.3840830449826993,23.52941176470588,23.52941176470588,11.76470588235294,23.52941176470588,29.411764705882355,11.76470588235294
annual,strict,40747,Dsa_cold_dry_summer,False,367.51,14.331506849315069,41.17647058823529,23.010380622837374,28.54671280276816,-10.38062283737024,23.52941176470588,23.52941176470588,11.76470588235294,64.70588235294117,88.23529411764706,52.94117647058824
annual,strict,40748,BSk_cold_steppe,False,302.03999999999996,12.14016393442623,11.76470588235294,4.844290657439447,10.380622837370243,-3.460207612456749,23.52941176470588,23.52941176470588,11.76470588235294,35.294117647058826,58.82352941176471,23.52941176470588
annual,strict,40749,Dsa_cold_dry_summer,False,370.89,8.925205479452055,41.17647058823529,13.84083044982699,17.99307958477509,9.342560553633216,23.52941176470588,23.52941176470588,5.88235294117647,52.94117647058824,70.58823529411765,47.05882352941176
annual,strict,40751,BSk_cold_steppe,False,383.05999999999995,15.89724517906336,41.17647058823529,17.647058823529413,21.799307958477502,1.7301038062283738,23.52941176470588,23.52941176470588,11.76470588235294,58.82352941176471,76.47058823529412,52.94117647058824
annual,strict,40752,BSk_cold_steppe,False,240.2,16.829781420765027,0.0,8.304498269896195,0.0,-8.304498269896195,23.52941176470588,23.52941176470588,11.76470588235294,58.82352941176471,23.52941176470588,11.76470588235294
annual,strict,40754,BSk_cold_steppe,False,195.76,18.69150684931507,35.29411764705882,13.494809688581313,12.110726643598616,9.688581314878892,23.52941176470588,23.52941176470588,5.88235294117647,58.82352941176471,52.94117647058824,41.17647058823529
annual,strict,40755,BWk_cold_desert,False,439.33,10.18958904109589,-5.88235294117647,3.114186851211072,-3.8062283737024214,-5.190311418685121,23.52941176470588,23.52941176470588,11.76470588235294,41.17647058823529,11.76470588235294,5.88235294117647
annual,strict,40757,BWk_cold_desert,False,128.57999999999998,18.687978142076503,58.82352941176471,24.913494809688576,23.529411764705884,10.380622837370252,23.52941176470588,23.52941176470588,5.88235294117647,76.47058823529412,70.58823529411765,64.70588235294117
annual,strict,40758,BWh_hot_desert,False,116.23999999999998,19.513698630136986,58.82352941176471,26.29757785467128,30.44982698961937,2.076124567474054,23.52941176470588,23.52941176470588,11.76470588235294,70.58823529411765,88.23529411764706,70.58823529411765
annual,strict,40762,BSk_cold_steppe,False,236.61,14.617857142857142,47.05882352941176,23.35640138408304,20.58823529411765,3.1141868512110773,23.52941176470588,23.52941176470588,11.76470588235294,76.47058823529412,64.70588235294117,58.82352941176471
annual,strict,40763,BSk_cold_steppe,False,162.03,19.33753424657534,17.64705882352941,11.072664359861593,0.0,6.574394463667818,23.52941176470588,23.52941176470588,5.88235294117647,70.58823529411765,23.52941176470588,23.52941176470588
annual,strict,40764,C_temperate,False,417.45000000000005,15.95892857142857,5.882352941176472,2.4221453287197234,9.342560553633218,-5.88235294117647,23.52941176470588,23.52941176470588,11.76470588235294,29.411764705882355,58.82352941176471,17.647058823529413
annual,strict,40765,C_temperate,False,347.90000000000003,20.71391304347826,23.529411764705884,6.2283737024221475,17.301038062283737,1.3877787807814457e-15,23.52941176470588,23.52941176470588,11.76470588235294,35.294117647058826,82.35294117647058,35.294117647058826
annual,strict,40766,C_temperate,False,357.94,16.20991253644315,11.76470588235294,4.152249134948097,6.920415224913495,0.6920415224913476,23.52941176470588,23.52941176470588,11.76470588235294,35.294117647058826,47.05882352941176,23.52941176470588
annual,strict,40768,BSk_cold_steppe,False,270.35999999999996,12.227138643067846,35.29411764705882,18.685121107266436,24.221453287197228,-7.612456747404843,23.52941176470588,23.52941176470588,17.647058823529413,58.82352941176471,82.35294117647058,52.94117647058824
annual,strict,40769,Dsa_cold_dry_summer,False,249.60000000000002,15.027167630057802,29.411764705882355,7.785467128027681,13.321799307958477,8.304498269896198,23.52941176470588,23.52941176470588,5.88235294117647,41.17647058823529,64.70588235294117,35.294117647058826
annual,strict,40770,BWh_hot_desert,False,146.52,18.742191780821916,58.82352941176471,20.58823529411765,23.35640138408304,14.878892733564019,23.52941176470588,23.52941176470588,0.0,64.70588235294117,76.47058823529412,58.82352941176471
annual,strict,40771,C_temperate,False,344.58,13.672463768115943,17.647058823529413,13.84083044982699,17.99307958477509,-14.186851211072666,23.52941176470588,23.52941176470588,11.76470588235294,52.94117647058824,70.58823529411765,29.411764705882355
annual,strict,40772,BSk_cold_steppe,False,309.9,12.986338797814208,17.647058823529413,12.975778546712801,15.7439446366782,-11.072664359861593,23.52941176470588,23.52941176470588,11.76470588235294,52.94117647058824,64.70588235294117,29.411764705882355
annual,strict,40774,C_temperate,False,409.94999999999993,15.770426829268292,29.411764705882355,12.975778546712801,15.7439446366782,0.692041522491349,23.52941176470588,23.52941176470588,5.88235294117647,52.94117647058824,64.70588235294117,35.294117647058826
annual,strict,40778,BWh_hot_desert,False,90.89,19.828415300546446,-5.88235294117647,2.5951557093425603,-5.709342560553631,-2.7681660899653973,23.52941176470588,23.52941176470588,11.76470588235294,41.17647058823529,5.88235294117647,5.88235294117647
annual,strict,40779,C_temperate,False,354.58000000000004,14.568194842406877,0.0,-1.9031141868512105,3.633217993079584,-1.7301038062283738,23.52941176470588,23.52941176470588,11.76470588235294,17.647058823529413,41.17647058823529,11.76470588235294
annual,strict,40780,C_temperate,False,492.48,17.455277777777777,17.647058823529413,12.110726643598616,13.494809688581313,-7.9584775086505175,23.52941176470588,23.52941176470588,11.76470588235294,52.94117647058824,58.82352941176471,29.411764705882355
annual,strict,40782,C_temperate,False,423.83000000000004,17.565306122448977,11.76470588235294,9.688581314878892,12.45674740484429,-10.380622837370245,23.52941176470588,23.52941176470588,11.76470588235294,47.05882352941176,58.82352941176471,23.52941176470588
annual,strict,40783,Dsa_cold_dry_summer,False,367.21999999999997,12.931123919308359,35.29411764705882,16.60899653979239,19.377162629757784,-0.6920415224913532,23.52941176470588,23.52941176470588,11.76470588235294,58.82352941176471,70.58823529411765,47.05882352941176
annual,strict,40785,BWh_hot_desert,False,105.2,19.74672131147541,29.411764705882355,5.1903114186851225,12.110726643598618,12.110726643598616,23.52941176470588,23.52941176470588,5.88235294117647,35.294117647058826,64.70588235294117,35.294117647058826
annual,strict,40789,BWh_hot_desert,False,58.010000000000005,20.94986301369863,35.294117647058826,8.823529411764705,17.128027681660893,9.342560553633227,23.52941176470588,23.52941176470588,0.0,41.17647058823529,76.47058823529412,35.294117647058826
annual,strict,40791,BWh_hot_desert,False,61.910000000000004,22.946575342465753,52.94117647058824,16.435986159169552,24.74048442906574,11.764705882352942,23.52941176470588,23.52941176470588,0.0,52.94117647058824,88.23529411764706,52.94117647058824
annual,strict,40792,BWk_cold_desert,False,115.4,19.62,-5.88235294117647,5.190311418685122,-7.266435986159168,-3.8062283737024223,23.52941176470588,23.52941176470588,11.76470588235294,58.82352941176471,5.88235294117647,5.88235294117647
annual,strict,40793,BSk_cold_steppe,False,124.64,17.319398907103825,-5.88235294117647,0.0,-4.1522491349480966,-1.7301038062283736,23.52941176470588,23.52941176470588,5.88235294117647,23.52941176470588,5.88235294117647,0.0
annual,strict,40794,BSh_hot_steppe,False,295.24,24.53434065934066,52.94117647058824,23.010380622837374,28.54671280276816,1.3840830449827022,23.52941176470588,23.52941176470588,0.0,64.70588235294117,88.23529411764706,52.94117647058824
annual,strict,40796,BSh_hot_steppe,False,230.8,26.425753424657533,29.411764705882355,6.574394463667822,19.03114186851211,3.8062283737024236,23.52941176470588,23.52941176470588,0.0,35.294117647058826,88.23529411764706,29.411764705882355
annual,strict,40797,Dsa_cold_dry_summer,False,1167.8400000000001,10.27917808219178,29.411764705882355,7.785467128027681,13.321799307958477,8.304498269896197,23.52941176470588,23.52941176470588,0.0,41.17647058823529,64.70588235294117,29.411764705882355
annual,strict,40798,Dsa_cold_dry_summer,False,276.51,12.269945355191258,11.76470588235294,7.612456747404843,6.228373702422144,-2.0761245674740483,23.52941176470588,23.52941176470588,11.76470588235294,47.05882352941176,41.17647058823529,23.52941176470588
annual,strict,40802,BWk_cold_desert,False,92.28,16.08,23.52941176470588,8.650519031141869,4.498269896193772,10.380622837370243,23.52941176470588,23.52941176470588,5.88235294117647,52.94117647058824,35.294117647058826,29.411764705882355
annual,strict,40809,BWk_cold_desert,False,140.74,17.06775956284153,35.29411764705882,18.166089965397923,18.166089965397923,-1.0380622837370277,23.52941176470588,23.52941176470588,11.76470588235294,64.70588235294117,64.70588235294117,47.05882352941176
annual,strict,40810,BWh_hot_desert,False,159.3,25.043835616438358,35.294117647058826,9.86159169550173,20.934256055363317,4.498269896193778,23.52941176470588,23.52941176470588,0.0,41.17647058823529,88.23529411764706,35.294117647058826
annual,strict,40811,BWh_hot_desert,False,179.57999999999998,26.593406593406595,29.411764705882355,13.148788927335639,22.837370242214526,-6.574394463667815,23.52941176470588,23.52941176470588,5.88235294117647,47.05882352941176,88.23529411764706,35.294117647058826
annual,strict,40812,BSh_hot_steppe,False,366.39,26.102191780821915,23.52941176470588,12.975778546712801,15.7439446366782,-5.190311418685123,23.52941176470588,23.52941176470588,5.88235294117647,52.94117647058824,64.70588235294117,29.411764705882355
annual,strict,40813,BSh_hot_steppe,False,279.90000000000003,27.03861111111111,47.05882352941176,24.913494809688586,27.681660899653977,-5.536332179930797,23.52941176470588,23.52941176470588,5.88235294117647,70.58823529411765,82.35294117647058,52.94117647058824
annual,strict,40818,BSk_cold_steppe,False,119.41999999999999,14.798904109589042,29.411764705882355,8.304498269896193,15.22491349480969,5.882352941176472,23.52941176470588,23.52941176470588,5.88235294117647,41.17647058823529,70.58823529411765,35.294117647058826
annual,strict,40821,BWh_hot_desert,False,44.98,20.481369863013697,17.64705882352941,0.0,13.840830449826989,3.8062283737024223,23.52941176470588,23.52941176470588,5.88235294117647,23.52941176470588,82.35294117647058,23.52941176470588
annual,strict,40827,BWh_hot_desert,False,77.64,22.292622950819673,-11.76470588235294,2.768166089965398,-8.304498269896193,-6.228373702422145,23.52941176470588,23.52941176470588,11.76470588235294,47.05882352941176,0.0,0.0
annual,strict,40829,BWh_hot_desert,False,37.52,22.850546448087428,29.411764705882348,11.76470588235294,18.68512110726643,-1.0380622837370221,23.52941176470588,23.52941176470588,11.76470588235294,47.05882352941176,76.47058823529412,41.17647058823529
annual,strict,40831,BWh_hot_desert,False,147.0,26.632602739726025,52.94117647058824,28.02768166089965,29.411764705882348,-4.498269896193757,23.52941176470588,23.52941176470588,5.88235294117647,76.47058823529412,82.35294117647058,58.82352941176471
annual,strict,40832,BWh_hot_desert,False,184.03,26.20657534246575,23.52941176470588,12.45674740484429,20.76124567474048,-9.688581314878892,23.52941176470588,23.52941176470588,5.88235294117647,47.05882352941176,82.35294117647058,29.411764705882355
annual,strict,40839,BWh_hot_desert,False,54.51,18.80821917808219,11.76470588235294,5.536332179930796,13.84083044982699,-7.612456747404848,23.52941176470588,23.52941176470588,11.76470588235294,35.294117647058826,70.58823529411765,23.52941176470588
annual,strict,40841,BWk_cold_desert,False,101.64,16.883561643835616,47.05882352941176,11.76470588235294,18.68512110726643,16.608996539792393,23.52941176470588,23.52941176470588,0.0,47.05882352941176,76.47058823529412,47.05882352941176
annual,strict,40844,BSk_cold_steppe,False,452.56000000000006,18.553150684931506,47.05882352941176,24.913494809688576,23.529411764705884,-1.384083044982691,23.52941176470588,23.52941176470588,11.76470588235294,76.47058823529412,70.58823529411765,58.82352941176471
annual,strict,40847,BSk_cold_steppe,False,303.18,18.919398907103826,52.94117647058824,26.29757785467128,30.44982698961937,-3.806228373702418,23.52941176470588,23.52941176470588,11.76470588235294,70.58823529411765,88.23529411764706,64.70588235294117
annual,strict,40848,BSh_hot_steppe,False,321.43000000000006,19.27205479452055,23.529411764705884,15.22491349480969,8.304498269896193,1.3877787807814457e-15,23.52941176470588,23.52941176470588,11.76470588235294,70.58823529411765,41.17647058823529,35.294117647058826
annual,strict,40849,BWk_cold_desert,False,111.74000000000001,15.667671232876712,29.411764705882355,10.380622837370241,14.53287197231834,4.498269896193774,23.52941176470588,23.52941176470588,5.88235294117647,47.05882352941176,64.70588235294117,35.294117647058826
annual,strict,40851,BSk_cold_steppe,False,103.9,17.88,23.52941176470588,6.228373702422144,7.612456747404843,9.688581314878894,23.52941176470588,23.52941176470588,5.88235294117647,41.17647058823529,47.05882352941176,29.411764705882355
annual,strict,40853,BSk_cold_steppe,False,207.71,15.44986301369863,23.529411764705884,6.574394463667822,19.03114186851211,-2.0761245674740456,23.52941176470588,23.52941176470588,11.76470588235294,35.294117647058826,88.23529411764706,35.294117647058826
annual,strict,40854,BWh_hot_desert,False,36.67,24.395604395604394,17.64705882352941,2.768166089965398,12.456747404844293,2.422145328719721,23.52941176470588,23.52941176470588,5.88235294117647,29.411764705882355,70.58823529411765,23.52941176470588
annual,strict,40856,BWh_hot_desert,False,40.75,19.65890410958904,11.76470588235294,0.0,12.456747404844288,-0.6920415224913476,23.52941176470588,23.52941176470588,11.76470588235294,23.52941176470588,76.47058823529412,23.52941176470588
annual,strict,40859,BSh_hot_steppe,False,243.72,19.63551912568306,52.94117647058824,20.761245674740486,29.065743944636672,3.1141868512110706,23.52941176470588,23.52941176470588,5.88235294117647,58.82352941176471,94.11764705882352,58.82352941176471
annual,strict,40870,BWh_hot_desert,False,59.14,22.8841095890411,-17.647058823529413,-1.384083044982699,-4.1522491349480966,-12.110726643598618,23.52941176470588,23.52941176470588,17.647058823529413,11.76470588235294,0.0,0.0
annual,strict,40873,BWh_hot_desert,False,132.73999999999998,26.50409836065574,-11.76470588235294,2.0761245674740483,-7.612456747404843,-6.228373702422145,23.52941176470588,23.52941176470588,11.76470588235294,41.17647058823529,0.0,0.0
annual,strict,40875,BWh_hot_desert,False,82.14,27.427945205479453,23.52941176470588,6.228373702422144,7.612456747404843,9.688581314878894,23.52941176470588,23.52941176470588,5.88235294117647,41.17647058823529,47.05882352941176,29.411764705882355
annual,strict,40877,BWh_hot_desert,False,120.84,27.345303867403317,23.52941176470588,6.7474048442906565,9.515570934256054,7.2664359861591725,23.52941176470588,23.52941176470588,5.88235294117647,41.17647058823529,52.94117647058824,29.411764705882355
annual,strict,40878,BWh_hot_desert,False,67.51,23.02950819672131,17.647058823529413,7.785467128027681,13.321799307958477,-3.4602076124567436,23.52941176470588,23.52941176470588,17.647058823529413,41.17647058823529,64.70588235294117,35.294117647058826
annual,strict,40879,BWh_hot_desert,False,65.57,27.651092896174863,11.76470588235294,4.844290657439447,10.380622837370243,-3.460207612456749,23.52941176470588,23.52941176470588,17.647058823529413,35.294117647058826,58.82352941176471,29.411764705882355
annual,strict,40882,BWh_hot_desert,False,86.34,27.94,5.882352941176472,-2.7681660899653973,9.688581314878892,-1.0380622837370248,23.52941176470588,23.52941176470588,11.76470588235294,17.647058823529413,70.58823529411765,17.647058823529413
