index_name,year,n_available,n_index_fixed,n_common_fixed,mean_valid_days_common
cool_nights,2013,124,109,108,364.89814814814815
cool_nights,2014,124,109,108,362.1111111111111
cool_nights,2015,124,109,108,362.7962962962963
cool_nights,2016,124,109,108,363.462962962963
cool_nights,2017,124,109,108,363.3425925925926
cool_nights,2018,124,109,108,363.212962962963
cool_nights,2019,124,109,108,362.51851851851853
cool_nights,2020,124,109,108,364.0462962962963
cool_nights,2021,123,109,108,363.8240740740741
cool_nights,2022,123,109,108,364.6296296296296
cool_nights,2023,124,109,108,364.6759259259259
cool_nights,2024,122,109,108,364.75925925925924
