index_name,tau,network_slope,ols_slope
warm_days,0.1,9.446324830037652,14.021952707566296
warm_days,0.11,9.446322547478244,14.021952707566296
warm_days,0.12,8.907628597298318,14.021952707566296
warm_days,0.13,8.907626736228998,14.021952707566296
warm_days,0.14,8.907619474905239,14.021952707566296
warm_days,0.15,8.867310337208467,14.021952707566296
warm_days,0.16,9.526761077717724,14.021952707566296
warm_days,0.17,9.526761227739252,14.021952707566296
warm_days,0.18,9.526761843068742,14.021952707566296
warm_days,0.19,9.526766705929534,14.021952707566296
warm_days,0.2,9.582295813017891,14.021952707566296
warm_days,0.21,9.582296067295788,14.021952707566296
warm_days,0.22,9.582297611956605,14.021952707566296
warm_days,0.23,9.582317835440737,14.021952707566296
warm_days,0.24,9.64443736619431,14.021952707566296
warm_days,0.25,9.644428345330237,14.021952707566296
warm_days,0.26,9.644428454950704,14.021952707566296
warm_days,0.27,9.64442865453424,14.021952707566296
warm_days,0.28,9.64443023857644,14.021952707566296
warm_days,0.29,9.644459212074317,14.021952707566296
warm_days,0.3,10.96774153866823,14.021952707566296
warm_days,0.31,12.550400394657096,14.021952707566296
warm_days,0.32,12.550403556711077,14.021952707566296
warm_days,0.33,12.550430561565001,14.021952707566296
warm_days,0.34,12.706652644024684,14.021952707566296
warm_days,0.35,12.706653195758578,14.021952707566296
warm_days,0.36,12.706653850141182,14.021952707566296
warm_days,0.37,12.706657087612843,14.021952707566296
warm_days,0.38,12.93906680046291,14.021952707566296
warm_days,0.39,12.9390680010846,14.021952707566296
warm_days,0.4,12.939093578133946,14.021952707566296
warm_days,0.41,13.00691249776404,14.021952707566296
warm_days,0.42,13.006979480287947,14.021952707566296
warm_days,0.43,16.584859792810263,14.021952707566296
warm_days,0.44,16.584861189480367,14.021952707566296
warm_days,0.45,16.58486026042883,14.021952707566296
warm_days,0.46,16.31665732077973,14.021952707566296
warm_days,0.47,15.456993259985609,14.021952707566296
warm_days,0.48,15.549848788905214,14.021952707566296
warm_days,0.49,15.549852976573648,14.021952707566296
warm_days,0.5,15.549853248463616,14.021952707566296
warm_days,0.51,15.549853167932168,14.021952707566296
warm_days,0.52,15.549852436578954,14.021952707566296
warm_days,0.53,15.538899438235283,14.021952707566296
warm_days,0.54,15.632181804150775,14.021952707566296
warm_days,0.55,15.632183110038017,14.021952707566296
warm_days,0.56,15.632183816317918,14.021952707566296
warm_days,0.57,15.632183732996753,14.021952707566296
warm_days,0.58,15.632181612412973,14.021952707566296
warm_days,0.59,15.191857025986575,14.021952707566296
warm_days,0.6,15.191864262296127,14.021952707566296
warm_days,0.61,15.282256282765825,14.021952707566296
warm_days,0.62,15.282257795698985,14.021952707566296
warm_days,0.63,15.282258868693196,14.021952707566296
warm_days,0.64,15.737316759582754,14.021952707566296
warm_days,0.65,15.737324920353581,14.021952707566296
warm_days,0.66,15.037226128126614,14.021952707566296
warm_days,0.67,15.037223998165437,14.021952707566296
warm_days,0.68,15.037223551974495,14.021952707566296
warm_days,0.69,15.462147079720259,14.021952707566296
warm_days,0.7,15.46216016122143,14.021952707566296
warm_days,0.71,15.462160765631106,14.021952707566296
warm_days,0.72,15.462161076411359,14.021952707566296
warm_days,0.73,15.46216778647643,14.021952707566296
warm_days,0.74,15.63082480884209,14.021952707566296
warm_days,0.75,15.400093876451141,14.021952707566296
warm_days,0.76,15.400093395026229,14.021952707566296
warm_days,0.77,15.400093283092978,14.021952707566296
warm_days,0.78,15.40009330241055,14.021952707566296
warm_days,0.79,15.400096219138195,14.021952707566296
warm_days,0.8,15.297973760700375,14.021952707566296
warm_days,0.81,15.297971633474956,14.021952707566296
warm_days,0.82,15.297972931849737,14.021952707566296
warm_days,0.83,15.2979730990797,14.021952707566296
warm_days,0.84,15.159204523459152,14.021952707566296
warm_days,0.85,15.15918030814267,14.021952707566296
warm_days,0.86,15.159179912363916,14.021952707566296
warm_days,0.87,15.159179849713553,14.021952707566296
warm_days,0.88,15.159182950268267,14.021952707566296
warm_days,0.89,22.504646391323305,14.021952707566296
warm_days,0.9,22.504652448605654,14.021952707566296
warm_nights,0.1,8.741935661657232,10.958427868028853
warm_nights,0.11,8.741925078692438,10.958427868028853
warm_nights,0.12,8.910974692901075,10.958427868028853
warm_nights,0.13,8.910988907275494,10.958427868028853
warm_nights,0.14,8.910989141994065,10.958427868028853
warm_nights,0.15,8.910990591589018,10.958427868028853
warm_nights,0.16,8.911002798792216,10.958427868028853
warm_nights,0.17,9.528333882178801,10.958427868028853
warm_nights,0.18,9.528334336555254,10.958427868028853
warm_nights,0.19,9.528337656751967,10.958427868028853
warm_nights,0.2,10.429118081606987,10.958427868028853
warm_nights,0.21,10.429118201038111,10.958427868028853
warm_nights,0.22,10.429117430395616,10.958427868028853
warm_nights,0.23,10.429113042400223,10.958427868028853
warm_nights,0.24,10.336021059845136,10.958427868028853
warm_nights,0.25,10.3360211349887,10.958427868028853
warm_nights,0.26,10.336021190054641,10.958427868028853
warm_nights,0.27,10.336021056347299,10.958427868028853
warm_nights,0.28,10.336020023690004,10.958427868028853
warm_nights,0.29,9.400204552408102,10.958427868028853
warm_nights,0.3,9.868948118537572,10.958427868028853
warm_nights,0.31,9.868951338468781,10.958427868028853
warm_nights,0.32,9.868951631186498,10.958427868028853
warm_nights,0.33,9.868951867607153,10.958427868028853
warm_nights,0.34,9.868952576646409,10.958427868028853
warm_nights,0.35,9.868961892251335,10.958427868028853
warm_nights,0.36,11.231665605083938,10.958427868028853
warm_nights,0.37,11.231671428052215,10.958427868028853
warm_nights,0.38,11.231671512927136,10.958427868028853
