index_name,network,year,annual_count,n_stations
warm_days,common_365_equivalent,2008,36.42794096187165,108
warm_days,common_365_equivalent,2009,22.666179118889982,108
warm_days,common_365_equivalent,2010,64.7049696119395,108
warm_days,common_365_equivalent,2011,25.765022459442026,108
warm_days,common_365_equivalent,2012,20.13116278374379,108
warm_days,common_365_equivalent,2013,35.68088719850816,108
warm_days,common_365_equivalent,2014,29.68245345830273,108
warm_days,common_365_equivalent,2015,49.597404797620364,108
warm_days,common_365_equivalent,2016,49.14807809066128,108
warm_days,common_365_equivalent,2017,49.90777314808034,108
warm_days,common_365_equivalent,2018,52.07945016813357,108
warm_days,common_365_equivalent,2019,37.69449003939765,108
warm_days,common_365_equivalent,2020,33.12437794046854,108
warm_days,common_365_equivalent,2021,79.9702575741612,108
warm_days,common_365_equivalent,2022,59.931963626801675,108
warm_days,common_365_equivalent,2023,58.67616047540629,108
warm_days,common_365_equivalent,2024,61.67244146896965,108
warm_nights,available,1991,16.92105263157895,114
warm_nights,available,1992,9.504065040650406,123
warm_nights,available,1993,12.859504132231406,121
warm_nights,available,1994,21.479674796747968,123
warm_nights,available,1995,16.838709677419356,124
warm_nights,available,1996,22.387096774193548,124
warm_nights,available,1997,19.0,124
warm_nights,available,1998,35.24193548387097,124
warm_nights,available,1999,28.35483870967742,124
warm_nights,available,2000,28.774193548387096,124
warm_nights,available,2001,32.524193548387096,124
warm_nights,available,2002,30.483870967741936,124
warm_nights,available,2003,28.241935483870968,124
warm_nights,available,2004,29.774193548387096,124
warm_nights,available,2005,25.677419354838708,124
warm_nights,available,2006,36.13709677419355,124
warm_nights,available,2007,24.387096774193548,124
warm_nights,available,2008,33.395161290322584,124
warm_nights,available,2009,28.10483870967742,124
warm_nights,available,2010,48.395161290322584,124
warm_nights,available,2011,31.879032258064516,124
warm_nights,available,2012,28.758064516129032,124
warm_nights,available,2013,33.71774193548387,124
warm_nights,available,2014,31.572580645161292,124
warm_nights,available,2015,50.766129032258064,124
warm_nights,available,2016,44.854838709677416,124
warm_nights,available,2017,41.54838709677419,124
warm_nights,available,2018,53.28225806451613,124
warm_nights,available,2019,40.524193548387096,124
warm_nights,available,2020,35.056451612903224,124
warm_nights,available,2021,54.333333333333336,123
warm_nights,available,2022,52.357723577235774,123
warm_nights,available,2023,52.83870967741935,124
warm_nights,available,2024,57.30327868852459,122
warm_nights,index_fixed,1991,16.75229357798165,109
warm_nights,index_fixed,1992,9.495412844036696,109
warm_nights,index_fixed,1993,12.55045871559633,109
warm_nights,index_fixed,1994,21.38532110091743,109
warm_nights,index_fixed,1995,16.834862385321102,109
warm_nights,index_fixed,1996,22.825688073394495,109
warm_nights,index_fixed,1997,18.880733944954127,109
warm_nights,index_fixed,1998,35.091743119266056,109
warm_nights,index_fixed,1999,28.807339449541285,109
warm_nights,index_fixed,2000,28.788990825688074,109
warm_nights,index_fixed,2001,32.46788990825688,109
warm_nights,index_fixed,2002,30.541284403669724,109
warm_nights,index_fixed,2003,28.137614678899084,109
warm_nights,index_fixed,2004,29.825688073394495,109
warm_nights,index_fixed,2005,25.34862385321101,109
warm_nights,index_fixed,2006,36.14678899082569,109
warm_nights,index_fixed,2007,24.660550458715598,109
warm_nights,index_fixed,2008,33.73394495412844,109
warm_nights,index_fixed,2009,28.24770642201835,109
warm_nights,index_fixed,2010,49.091743119266056,109
warm_nights,index_fixed,2011,31.201834862385322,109
warm_nights,index_fixed,2012,29.541284403669724,109
warm_nights,index_fixed,2013,33.84403669724771,109
warm_nights,index_fixed,2014,32.85321100917431,109
warm_nights,index_fixed,2015,50.31192660550459,109
warm_nights,index_fixed,2016,44.972477064220186,109
warm_nights,index_fixed,2017,41.51376146788991,109
warm_nights,index_fixed,2018,53.862385321100916,109
warm_nights,index_fixed,2019,40.10091743119266,109
warm_nights,index_fixed,2020,35.24770642201835,109
warm_nights,index_fixed,2021,54.81651376146789,109
warm_nights,index_fixed,2022,51.62385321100918,109
warm_nights,index_fixed,2023,53.321100917431195,109
warm_nights,index_fixed,2024,57.08256880733945,109
warm_nights,common_fixed,1991,16.796296296296298,108
warm_nights,common_fixed,1992,9.50925925925926,108
warm_nights,common_fixed,1993,12.61111111111111,108
warm_nights,common_fixed,1994,21.37962962962963,108
warm_nights,common_fixed,1995,16.63888888888889,108
warm_nights,common_fixed,1996,22.787037037037038,108
warm_nights,common_fixed,1997,18.75925925925926,108
warm_nights,common_fixed,1998,34.870370370370374,108
warm_nights,common_fixed,1999,28.805555555555557,108
warm_nights,common_fixed,2000,28.59259259259259,108
warm_nights,common_fixed,2001,32.351851851851855,108
warm_nights,common_fixed,2002,30.25925925925926,108
warm_nights,common_fixed,2003,28.00925925925926,108
warm_nights,common_fixed,2004,29.75,108
warm_nights,common_fixed,2005,25.074074074074073,108
warm_nights,common_fixed,2006,36.0462962962963,108
warm_nights,common_fixed,2007,24.59259259259259,108
warm_nights,common_fixed,2008,33.592592592592595,108
warm_nights,common_fixed,2009,28.22222222222222,108
warm_nights,common_fixed,2010,48.925925925925924,108
warm_nights,common_fixed,2011,31.175925925925927,108
warm_nights,common_fixed,2012,29.64814814814815,108
warm_nights,common_fixed,2013,33.7037037037037,108
warm_nights,common_fixed,2014,32.842592592592595,108
warm_nights,common_fixed,2015,50.53703703703704,108
warm_nights,common_fixed,2016,45.06481481481482,108
warm_nights,common_fixed,2017,41.666666666666664,108
warm_nights,common_fixed,2018,54.074074074074076,108
warm_nights,common_fixed,2019,40.379629629629626,108
warm_nights,common_fixed,2020,35.49074074074074,108
warm_nights,common_fixed,2021,55.111111111111114,108
warm_nights,common_fixed,2022,51.96296296296296,108
warm_nights,common_fixed,2023,53.657407407407405,108
warm_nights,common_fixed,2024,57.47222222222222,108
warm_nights,common_365_equivalent,1991,17.377923883551425,108
warm_nights,common_365_equivalent,1992,9.89688147172352,108
warm_nights,common_365_equivalent,1993,12.976010408968246,108
warm_nights,common_365_equivalent,1994,21.89296099753404,108
warm_nights,common_365_equivalent,1995,16.96315981053922,108
warm_nights,common_365_equivalent,1996,23.598706256997698,108
warm_nights,common_365_equivalent,1997,19.18392447029551,108
warm_nights,common_365_equivalent,1998,35.95161922586993,108
warm_nights,common_365_equivalent,1999,29.51921311686677,108
warm_nights,common_365_equivalent,2000,29.239789360610555,108
warm_nights,common_365_equivalent,2001,32.77623601726082,108
warm_nights,common_365_equivalent,2002,30.644256261975645,108
