year,dry_pct,hot_pct,joint_pct,n_stations,definition
1991,8.653846153846153,4.807692307692308,0.0,104,annual
1992,1.9230769230769231,0.0,0.0,104,annual
1993,4.807692307692308,0.9615384615384616,0.9615384615384616,104,annual
1994,16.346153846153847,4.807692307692308,0.9615384615384616,104,annual
1995,45.19230769230769,9.615384615384617,3.8461538461538463,104,annual
1996,9.615384615384617,14.423076923076922,1.9230769230769231,104,annual
1997,23.076923076923077,1.9230769230769231,0.9615384615384616,104,annual
1998,25.0,75.96153846153845,21.153846153846153,104,annual
1999,34.61538461538461,69.23076923076923,29.807692307692307,104,annual
2000,41.34615384615385,18.269230769230766,8.653846153846153,104,annual
2001,72.11538461538461,86.53846153846155,62.5,104,annual
2002,25.961538461538463,32.69230769230769,8.653846153846153,104,annual
2003,18.269230769230766,18.269230769230766,3.8461538461538463,104,annual
2004,5.769230769230769,26.923076923076923,1.9230769230769231,104,annual
2005,25.0,7.6923076923076925,3.8461538461538463,104,annual
2006,13.461538461538462,22.115384615384613,4.807692307692308,104,annual
2007,28.846153846153843,5.769230769230769,1.9230769230769231,104,annual
2008,73.07692307692307,17.307692307692307,16.346153846153847,104,annual
2009,18.269230769230766,25.0,5.769230769230769,104,annual
2010,69.23076923076923,88.46153846153845,60.57692307692307,104,annual
2011,25.0,16.346153846153847,5.769230769230769,104,annual
2012,25.0,22.115384615384613,9.615384615384617,104,annual
2013,50.0,39.42307692307692,25.961538461538463,104,annual
2014,38.46153846153847,44.230769230769226,17.307692307692307,104,annual
2015,28.846153846153843,84.61538461538461,25.0,104,annual
2016,59.61538461538461,71.15384615384616,49.03846153846153,104,annual
2017,62.5,72.11538461538461,50.0,104,annual
2018,35.57692307692308,90.38461538461539,31.73076923076923,104,annual
2019,0.0,62.5,0.0,104,annual
2020,1.9230769230769231,40.38461538461539,0.9615384615384616,104,annual
2021,89.42307692307693,93.26923076923077,83.65384615384616,104,annual
2022,64.42307692307693,89.42307692307693,61.53846153846154,104,annual
2023,50.96153846153846,89.42307692307693,44.230769230769226,104,annual
2024,25.0,81.73076923076923,19.230769230769234,104,annual
1991,31.06796116504854,15.53398058252427,0.9708737864077669,103,warm_season
1992,5.825242718446602,0.0,0.0,103,warm_season
1993,9.70873786407767,1.9417475728155338,0.0,103,warm_season
1994,20.388349514563107,2.912621359223301,0.0,103,warm_season
1995,2.912621359223301,13.592233009708737,0.0,103,warm_season
1996,13.592233009708737,6.796116504854369,0.0,103,warm_season
1997,4.854368932038835,33.00970873786408,1.9417475728155338,103,warm_season
1998,5.825242718446602,40.77669902912621,3.8834951456310676,103,warm_season
1999,7.766990291262135,16.50485436893204,1.9417475728155338,103,warm_season
2000,21.35922330097087,36.89320388349515,5.825242718446602,103,warm_season
2001,19.41747572815534,28.155339805825243,8.737864077669903,103,warm_season
2002,35.92233009708738,56.310679611650485,20.388349514563107,103,warm_season
2003,31.06796116504854,19.41747572815534,8.737864077669903,103,warm_season
2004,6.796116504854369,2.912621359223301,0.0,103,warm_season
2005,23.300970873786408,37.86407766990291,8.737864077669903,103,warm_season
2006,40.77669902912621,66.99029126213593,31.06796116504854,103,warm_season
2007,2.912621359223301,20.388349514563107,1.9417475728155338,103,warm_season
2008,19.41747572815534,56.310679611650485,11.650485436893204,103,warm_season
2009,7.766990291262135,18.446601941747574,3.8834951456310676,103,warm_season
2010,23.300970873786408,66.01941747572816,17.475728155339805,103,warm_season
2011,13.592233009708737,71.84466019417476,10.679611650485436,103,warm_season
2012,9.70873786407767,43.689320388349515,3.8834951456310676,103,warm_season
2013,40.77669902912621,59.22330097087378,28.155339805825243,103,warm_season
2014,24.271844660194176,82.52427184466019,20.388349514563107,103,warm_season
2015,13.592233009708737,76.69902912621359,10.679611650485436,103,warm_season
2016,25.24271844660194,74.75728155339806,17.475728155339805,103,warm_season
2017,44.66019417475729,75.72815533980582,35.92233009708738,103,warm_season
2018,24.271844660194176,98.05825242718447,24.271844660194176,103,warm_season
2019,33.980582524271846,97.0873786407767,33.980582524271846,103,warm_season
2020,16.50485436893204,62.13592233009708,8.737864077669903,103,warm_season
2021,27.184466019417474,100.0,27.184466019417474,103,warm_season
2022,31.06796116504854,83.49514563106796,31.06796116504854,103,warm_season
2023,21.35922330097087,92.23300970873787,21.35922330097087,103,warm_season
2024,5.825242718446602,95.14563106796116,5.825242718446602,103,warm_season
