station_id,year,index_name,scenario,count,valid_days,rate_pct
40700,2007,cool_days,full_w5_t7,25.0,365,6.8493150684931505
40700,2008,cool_days,full_w5_t7,46.0,365,12.602739726027398
40700,2009,cool_days,full_w5_t7,39.0,365,10.684931506849315
40700,2010,cool_days,full_w5_t7,16.0,365,4.383561643835616
40700,2011,cool_days,full_w5_t7,40.0,365,10.95890410958904
40700,2012,cool_days,full_w5_t7,46.0,365,12.602739726027398
40700,2013,cool_days,full_w5_t7,24.0,365,6.575342465753424
40700,2014,cool_days,full_w5_t7,27.0,364,7.417582417582418
40700,2015,cool_days,full_w5_t7,31.0,365,8.493150684931507
40700,2016,cool_days,full_w5_t7,60.0,365,16.438356164383563
40700,2017,cool_days,full_w5_t7,28.0,363,7.7134986225895315
40700,2018,cool_days,full_w5_t7,18.0,361,4.986149584487535
40700,2019,cool_days,full_w5_t7,26.0,365,7.123287671232877
40700,2020,cool_days,full_w5_t7,36.0,365,9.863013698630137
40700,2021,cool_days,full_w5_t7,32.0,365,8.767123287671232
40700,2022,cool_days,full_w5_t7,30.0,365,8.219178082191782
40700,2023,cool_days,full_w5_t7,26.0,365,7.123287671232877
40700,2024,cool_days,full_w5_t7,29.0,364,7.967032967032967
40700,1991,warm_days,full_w5_t7,24.0,365,6.575342465753424
40700,1992,warm_days,full_w5_t7,12.0,362,3.314917127071823
40700,1993,warm_days,full_w5_t7,16.0,355,4.507042253521127
40700,1994,warm_days,full_w5_t7,16.0,360,4.444444444444445
40700,1995,warm_days,full_w5_t7,37.0,363,10.192837465564738
40700,1996,warm_days,full_w5_t7,25.0,359,6.963788300835654
40700,1997,warm_days,full_w5_t7,27.0,341,7.9178885630498534
40700,1998,warm_days,full_w5_t7,49.0,362,13.535911602209945
40700,1999,warm_days,full_w5_t7,35.0,361,9.695290858725762
40700,2000,warm_days,full_w5_t7,39.0,356,10.955056179775282
40700,2001,warm_days,full_w5_t7,34.0,358,9.497206703910615
40700,2002,warm_days,full_w5_t7,35.0,356,9.831460674157304
40700,2003,warm_days,full_w5_t7,25.0,346,7.22543352601156
40700,2004,warm_days,full_w5_t7,29.0,352,8.238636363636363
40700,2005,warm_days,full_w5_t7,23.0,360,6.388888888888889
40700,2006,warm_days,full_w5_t7,36.0,365,9.863013698630137
40700,2007,warm_days,full_w5_t7,25.0,365,6.8493150684931505
40700,2008,warm_days,full_w5_t7,31.0,365,8.493150684931507
40700,2009,warm_days,full_w5_t7,15.0,365,4.109589041095891
40700,2010,warm_days,full_w5_t7,48.0,365,13.150684931506849
40700,2011,warm_days,full_w5_t7,15.0,365,4.109589041095891
40700,2012,warm_days,full_w5_t7,29.0,365,7.945205479452055
40700,2013,warm_days,full_w5_t7,37.0,365,10.136986301369863
40700,2014,warm_days,full_w5_t7,42.0,364,11.538461538461538
40700,2015,warm_days,full_w5_t7,36.0,365,9.863013698630137
40700,2016,warm_days,full_w5_t7,24.0,365,6.575342465753424
40700,2017,warm_days,full_w5_t7,40.0,363,11.019283746556473
40700,2018,warm_days,full_w5_t7,45.0,361,12.465373961218837
40700,2019,warm_days,full_w5_t7,38.0,365,10.41095890410959
40700,2020,warm_days,full_w5_t7,37.0,365,10.136986301369863
40700,2021,warm_days,full_w5_t7,64.0,365,17.534246575342465
40700,2022,warm_days,full_w5_t7,65.0,365,17.80821917808219
40700,2023,warm_days,full_w5_t7,82.0,365,22.465753424657535
40700,2024,warm_days,full_w5_t7,64.0,364,17.582417582417584
40700,1991,cool_days,fixed_w11_t7_raw,37.0,365,10.136986301369863
40700,1992,cool_days,fixed_w11_t7_raw,47.0,362,12.98342541436464
40700,1993,cool_days,fixed_w11_t7_raw,74.0,355,20.845070422535212
40700,1994,cool_days,fixed_w11_t7_raw,54.0,360,15.0
40700,1995,cool_days,fixed_w11_t7_raw,19.0,363,5.234159779614325
40700,1996,cool_days,fixed_w11_t7_raw,34.0,359,9.470752089136491
40700,1997,cool_days,fixed_w11_t7_raw,30.0,341,8.79765395894428
40700,1998,cool_days,fixed_w11_t7_raw,17.0,362,4.696132596685083
40700,1999,cool_days,fixed_w11_t7_raw,16.0,361,4.43213296398892
40700,2000,cool_days,fixed_w11_t7_raw,32.0,356,8.98876404494382
40700,2001,cool_days,fixed_w11_t7_raw,23.0,358,6.424581005586592
40700,2002,cool_days,fixed_w11_t7_raw,40.0,356,11.235955056179776
40700,2003,cool_days,fixed_w11_t7_raw,43.0,346,12.427745664739884
40700,2004,cool_days,fixed_w11_t7_raw,28.0,352,7.954545454545454
40700,2005,cool_days,fixed_w11_t7_raw,29.0,360,8.055555555555555
40700,2006,cool_days,fixed_w11_t7_raw,33.0,365,9.04109589041096
40700,2007,cool_days,fixed_w11_t7_raw,23.0,365,6.301369863013699
40700,2008,cool_days,fixed_w11_t7_raw,49.0,365,13.424657534246576
40700,2009,cool_days,fixed_w11_t7_raw,42.0,365,11.506849315068493
40700,2010,cool_days,fixed_w11_t7_raw,17.0,365,4.657534246575342
40700,2011,cool_days,fixed_w11_t7_raw,38.0,365,10.41095890410959
40700,2012,cool_days,fixed_w11_t7_raw,43.0,365,11.780821917808218
40700,2013,cool_days,fixed_w11_t7_raw,25.0,365,6.8493150684931505
40700,2014,cool_days,fixed_w11_t7_raw,29.0,364,7.967032967032967
40700,2015,cool_days,fixed_w11_t7_raw,32.0,365,8.767123287671232
40700,2016,cool_days,fixed_w11_t7_raw,61.0,365,16.71232876712329
40700,2017,cool_days,fixed_w11_t7_raw,29.0,363,7.988980716253444
40700,2018,cool_days,fixed_w11_t7_raw,21.0,361,5.8171745152354575
40700,2019,cool_days,fixed_w11_t7_raw,28.0,365,7.671232876712328
40700,2020,cool_days,fixed_w11_t7_raw,37.0,365,10.136986301369863
40700,2021,cool_days,fixed_w11_t7_raw,31.0,365,8.493150684931507
40700,2022,cool_days,fixed_w11_t7_raw,27.0,365,7.397260273972603
40700,2023,cool_days,fixed_w11_t7_raw,25.0,365,6.8493150684931505
40700,2024,cool_days,fixed_w11_t7_raw,29.0,364,7.967032967032967
40700,1991,warm_days,fixed_w11_t7_raw,26.0,365,7.123287671232877
40700,1992,warm_days,fixed_w11_t7_raw,13.0,362,3.591160220994475
40700,1993,warm_days,fixed_w11_t7_raw,16.0,355,4.507042253521127
40700,1994,warm_days,fixed_w11_t7_raw,18.0,360,5.0
40700,1995,warm_days,fixed_w11_t7_raw,46.0,363,12.672176308539944
40700,1996,warm_days,fixed_w11_t7_raw,33.0,359,9.192200557103064
40700,1997,warm_days,fixed_w11_t7_raw,30.0,341,8.79765395894428
40700,1998,warm_days,fixed_w11_t7_raw,54.0,362,14.917127071823204
40700,1999,warm_days,fixed_w11_t7_raw,44.0,361,12.18836565096953
40700,2000,warm_days,fixed_w11_t7_raw,47.0,356,13.202247191011235
40700,2001,warm_days,fixed_w11_t7_raw,42.0,358,11.731843575418994
40700,2002,warm_days,fixed_w11_t7_raw,36.0,356,10.112359550561798
40700,2003,warm_days,fixed_w11_t7_raw,27.0,346,7.803468208092486
40700,2004,warm_days,fixed_w11_t7_raw,41.0,352,11.647727272727273
40700,2005,warm_days,fixed_w11_t7_raw,33.0,360,9.166666666666666
