index_name,network,OLS,q10,q50,q90,Delta1
warm_days,available,14.021952707566285,9.446325540444347,15.549853372434017,22.504655127196433,13.058329586752086
warm_days,index_fixed,13.974194181425718,9.557667103538664,15.82350371341197,22.435779816513758,12.878112712975094
warm_days,common_fixed,13.949410067057144,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,common_365_equivalent,13.95571780076247,9.501111937508433,15.778790430816459,22.41938790500956,12.918275967501128
warm_nights,available,10.958427868028847,8.741935483870968,12.139219015280133,12.210626185958253,3.468690702087285
warm_nights,index_fixed,11.00824917122812,9.761467889908253,12.110091743119266,12.584997301672962,2.8235294117647083
warm_nights,common_fixed,11.136561695385224,10.069444444444445,12.340534979423868,12.777777777777777,2.708333333333332
warm_nights,common_365_equivalent,10.96571437331686,9.95113098478441,12.137497385090903,12.691557082562701,2.7404260977782915
cool_days,available,-12.598144500341844,-5.601590253439191,-12.000580720092914,-15.37190082644628,-9.77031057300709
cool_days,index_fixed,-12.616536189121188,-5.467055879899916,-11.92332896461337,-15.661438295353657,-10.194382415453742
cool_days,common_fixed,-12.612568259627094,-5.454545454545455,-11.947751322751325,-15.69593787335723,-10.241392418811776
cool_days,common_365_equivalent,-12.769547072586526,-5.55059832917445,-12.10941768404225,-15.915895305083614,-10.365296975909164
cool_nights,available,-10.863292034184974,-5.905017921146952,-9.831591173054585,-12.064516129032251,-6.159498207885299
cool_nights,index_fixed,-10.905376329013674,-5.922528032619773,-9.530698659139027,-12.19571865443425,-6.273190621814477
cool_nights,common_fixed,-10.966018730724606,-5.905349794238686,-9.599999999999998,-12.271604938271603,-6.366255144032917
cool_nights,common_365_equivalent,-11.559055297416466,-6.296866854307537,-10.066692962459353,-13.637988566453933,-7.341121712146395
