definition,climate_regime,component,n_stations,n_zero_dry_threshold,joint_early_pct,joint_late_pct,estimate_pp,ci_low_pp,ci_high_pp
annual,BWh_hot_desert,joint_change,28,0,8.403361344537814,28.99159663865546,20.588235294117645,11.554621848739496,39.915966386554615
annual,BWh_hot_desert,dry_marginal,28,0,8.403361344537814,28.99159663865546,7.433267424616907,3.5899653979238764,18.134268413247675
annual,BWh_hot_desert,hot_marginal,28,0,8.403361344537814,28.99159663865546,12.673010380622832,7.229362333168562,23.715088976767177
annual,BWh_hot_desert,excess_joint,28,0,8.403361344537814,28.99159663865546,0.481957488877906,-3.831562036579338,3.4113939693524515
annual,BWk_cold_desert,joint_change,12,0,8.333333333333332,33.333333333333336,25.0,6.862745098039215,47.54901960784313
annual,BWk_cold_desert,dry_marginal,12,0,8.333333333333332,33.333333333333336,10.250865051903114,3.8494809688581317,23.055795847750876
annual,BWk_cold_desert,hot_marginal,12,0,8.333333333333332,33.333333333333336,11.288927335640139,4.411043829296424,24.885380622837364
annual,BWk_cold_desert,excess_joint,12,0,8.333333333333332,33.333333333333336,3.4602076124567476,-5.940023068050748,8.737024221453286
annual,BSh_hot_steppe,joint_change,7,0,5.88235294117647,42.016806722689076,36.134453781512605,18.487394957983195,59.66386554621848
annual,BSh_hot_steppe,dry_marginal,7,0,5.88235294117647,42.016806722689076,16.262975778546714,9.39199209095403,28.91868512110727
annual,BSh_hot_steppe,hot_marginal,7,0,5.88235294117647,42.016806722689076,19.031141868512105,8.650519031141869,32.18116658428077
annual,BSh_hot_steppe,excess_joint,7,0,5.88235294117647,42.016806722689076,0.8403361344537815,-5.637666831438458,6.5249629263470075
annual,BSk_cold_steppe,joint_change,33,0,11.05169340463458,28.163992869875226,17.112299465240643,3.565062388591801,42.60249554367202
annual,BSk_cold_steppe,dry_marginal,33,0,11.05169340463458,28.163992869875226,7.591485792177833,2.5369613085876064,20.347593582887708
annual,BSk_cold_steppe,hot_marginal,33,0,11.05169340463458,28.163992869875226,11.03072244940757,4.392890846178044,23.72417951137674
annual,BSk_cold_steppe,excess_joint,33,0,11.05169340463458,28.163992869875226,-1.5099087763447618,-7.864632484009647,4.205200796896302
annual,C_temperate,joint_change,15,0,9.019607843137255,25.88235294117647,16.862745098039216,6.2745098039215685,35.29411764705882
annual,C_temperate,dry_marginal,15,0,9.019607843137255,25.88235294117647,5.38638985005767,1.384083044982699,15.640138408304496
annual,C_temperate,hot_marginal,15,0,9.019607843137255,25.88235294117647,12.583621683967705,5.6747404844290665,22.44752018454442
annual,C_temperate,excess_joint,15,0,9.019607843137255,25.88235294117647,-1.107266435986159,-6.737024221453287,5.3056516724336795
annual,Dsa_cold_dry_summer,joint_change,9,0,8.496732026143789,30.718954248366018,22.22222222222222,5.228758169934641,53.59477124183007
annual,Dsa_cold_dry_summer,dry_marginal,9,0,8.496732026143789,30.718954248366018,8.304498269896193,1.2110726643598613,24.01095732410612
annual,Dsa_cold_dry_summer,hot_marginal,9,0,8.496732026143789,30.718954248366018,13.533256439830833,4.651095732410611,27.585544021530175
annual,Dsa_cold_dry_summer,excess_joint,9,0,8.496732026143789,30.718954248366018,0.3844675124951946,-6.805074971164935,6.920415224913494
warm_season,BWh_hot_desert,joint_change,26,17,1.8099547511312215,7.013574660633485,5.203619909502262,2.7149321266968323,14.027149321266968
warm_season,BWh_hot_desert,dry_marginal,26,17,1.8099547511312215,7.013574660633485,1.869842959808358,-0.02661698163428262,5.792520628160778
warm_season,BWh_hot_desert,hot_marginal,26,17,1.8099547511312215,7.013574660633485,3.8528080915624163,2.422145328719724,8.450891668884749
warm_season,BWh_hot_desert,excess_joint,26,17,1.8099547511312215,7.013574660633485,-0.5190311418685123,-1.9164226776683522,1.384083044982699
warm_season,BWk_cold_desert,joint_change,13,2,7.69230769230769,17.194570135746606,9.502262443438914,2.692307692307693,23.52941176470588
warm_season,BWk_cold_desert,dry_marginal,13,2,7.69230769230769,17.194570135746606,1.0646792653713069,-2.1825924940111787,8.025685387277086
warm_season,BWk_cold_desert,hot_marginal,13,2,7.69230769230769,17.194570135746606,8.544051104604737,4.072398190045248,14.57279744476976
warm_season,BWk_cold_desert,excess_joint,13,2,7.69230769230769,17.194570135746606,-0.10646792653712941,-2.476710141070003,4.338568006388076
warm_season,BSh_hot_steppe,joint_change,8,5,2.941176470588235,8.823529411764707,5.882352941176471,2.2058823529411766,16.91176470588235
warm_season,BSh_hot_steppe,dry_marginal,8,5,2.941176470588235,8.823529411764707,1.081314878892734,-0.4552335640138407,7.742214532871971
warm_season,BSh_hot_steppe,hot_marginal,8,5,2.941176470588235,8.823529411764707,5.060553633217992,2.508650519031142,10.339532871972326
