index_name,omitted_year,q10,q50,q90,Delta1
warm_days,1991,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,1992,8.981481481481483,15.676328502415458,22.370370370370374,13.388888888888891
warm_days,1993,9.520502645502646,15.676328502415458,22.370370370370374,12.849867724867728
warm_days,1994,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,1995,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,1996,9.520502645502646,15.676328502415458,22.370370370370374,12.849867724867728
warm_days,1997,9.520502645502646,15.676328502415458,22.370370370370374,12.849867724867728
warm_days,1998,9.520502645502646,15.718694885361549,22.70061728395062,13.180114638447975
warm_days,1999,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,2000,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,2001,9.520502645502646,15.718694885361549,22.70061728395062,13.180114638447975
warm_days,2002,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,2003,9.520502645502646,15.676328502415458,22.370370370370374,12.849867724867728
warm_days,2004,9.520502645502646,15.676328502415458,22.370370370370374,12.849867724867728
warm_days,2005,9.520502645502646,15.676328502415458,22.370370370370374,12.849867724867728
warm_days,2006,9.520502645502646,15.676328502415458,22.370370370370374,12.849867724867728
warm_days,2007,9.478114478114481,15.676328502415458,22.370370370370374,12.892255892255893
warm_days,2008,9.520502645502646,15.49039780521262,22.370370370370374,12.849867724867728
warm_days,2009,9.520502645502646,15.676328502415458,22.370370370370374,12.849867724867728
warm_days,2010,9.520502645502646,15.49039780521262,14.971819645732692,5.451317000230047
warm_days,2011,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,2012,9.547930283224401,15.718694885361549,22.370370370370374,12.822440087145972
warm_days,2013,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,2014,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,2015,9.520502645502646,15.49039780521262,22.370370370370374,12.849867724867728
warm_days,2016,9.520502645502646,15.49039780521262,22.370370370370374,12.849867724867728
warm_days,2017,9.520502645502646,15.49039780521262,22.370370370370374,12.849867724867728
warm_days,2018,9.520502645502646,15.49039780521262,22.370370370370374,12.849867724867728
warm_days,2019,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,2020,9.547930283224401,15.718694885361549,22.370370370370374,12.822440087145972
warm_days,2021,9.520502645502646,15.49039780521262,11.83862433862434,2.318121693121695
warm_days,2022,9.520502645502646,15.49039780521262,22.370370370370374,12.849867724867728
warm_days,2023,9.520502645502646,15.718694885361549,22.370370370370374,12.849867724867728
warm_days,2024,9.520502645502646,15.49039780521262,22.370370370370374,12.849867724867728
warm_nights,1991,10.069444444444445,12.607212475633526,12.777777777777777,2.708333333333332
warm_nights,1992,8.966861598440545,11.307407407407407,12.777777777777777,3.810916179337232
warm_nights,1993,10.069444444444445,11.307407407407407,12.777777777777777,2.708333333333332
warm_nights,1994,10.069444444444445,12.607212475633526,12.777777777777777,2.708333333333332
warm_nights,1995,10.069444444444445,11.307407407407407,12.777777777777777,2.708333333333332
warm_nights,1996,10.069444444444445,12.607212475633526,12.777777777777777,2.708333333333332
warm_nights,1997,10.069444444444445,11.307407407407407,12.777777777777777,2.708333333333332
warm_nights,1998,10.069444444444445,12.607212475633526,13.440698099415204,3.3712536549707597
warm_nights,1999,10.069444444444445,12.607212475633526,12.777777777777777,2.708333333333332
warm_nights,2000,10.069444444444445,12.607212475633526,12.777777777777777,2.708333333333332
warm_nights,2001,10.069444444444445,12.607212475633526,13.299220272904483,3.2297758284600384
warm_nights,2002,10.069444444444445,12.607212475633526,12.777777777777777,2.708333333333332
warm_nights,2003,10.069444444444445,11.496913580246908,12.777777777777777,2.708333333333332
warm_nights,2004,10.069444444444445,11.496913580246908,12.777777777777777,2.708333333333332
warm_nights,2005,10.069444444444445,11.918724279835388,12.777777777777777,2.708333333333332
warm_nights,2006,10.069444444444445,12.340534979423868,12.777777777777777,2.708333333333332
warm_nights,2007,9.63403880070547,12.340534979423868,12.777777777777777,3.1437389770723065
warm_nights,2008,10.069444444444445,12.340534979423868,12.777777777777777,2.708333333333332
warm_nights,2009,10.069444444444445,12.340534979423868,12.777777777777777,2.708333333333332
warm_nights,2010,10.069444444444445,12.340534979423868,12.777777777777777,2.708333333333332
warm_nights,2011,10.069444444444445,12.340534979423868,12.777777777777777,2.708333333333332
warm_nights,2012,10.606060606060609,12.340534979423868,12.777777777777777,2.1717171717171677
warm_nights,2013,10.069444444444445,12.340534979423868,12.777777777777777,2.708333333333332
warm_nights,2014,10.069444444444445,12.340534979423868,12.777777777777777,2.708333333333332
warm_nights,2015,10.069444444444445,12.340534979423868,12.777777777777777,2.708333333333332
warm_nights,2016,10.069444444444445,12.340534979423868,12.777777777777777,2.708333333333332
