definition,rule,threshold_mode,climate_regime,stratum,n_stations,n_zero,component,estimate_pp,ci_low_pp,ci_high_pp
annual,strict,fixed,Dsa_cold_dry_summer,positive,9,0,excess_joint,0.3844675124951946,-5.613225682429834,7.037677816224538
annual,dry_inclusive_only,fixed,All,all,104,0,joint_change,18.665158371040725,3.7302036199095006,32.35294117647058
annual,dry_inclusive_only,fixed,All,all,104,0,dry_marginal,5.712669683257918,-0.5823296513175396,10.778214000532339
annual,dry_inclusive_only,fixed,All,all,104,0,hot_marginal,13.568006388075597,5.31333178067607,20.815976843225986
annual,dry_inclusive_only,fixed,All,all,104,0,excess_joint,-0.6155177002927859,-4.521892467394197,4.182359595421878
annual,dry_inclusive_only,fixed,All,positive,104,0,joint_change,18.665158371040725,3.7302036199095006,32.35294117647058
annual,dry_inclusive_only,fixed,All,positive,104,0,dry_marginal,5.712669683257918,-0.5823296513175396,10.778214000532339
annual,dry_inclusive_only,fixed,All,positive,104,0,hot_marginal,13.568006388075597,5.31333178067607,20.815976843225986
annual,dry_inclusive_only,fixed,All,positive,104,0,excess_joint,-0.6155177002927859,-4.521892467394197,4.182359595421878
annual,dry_inclusive_only,fixed,BWh_hot_desert,all,28,0,joint_change,18.907563025210077,5.6722689075630255,30.672268907563016
annual,dry_inclusive_only,fixed,BWh_hot_desert,all,28,0,dry_marginal,4.918437963420662,-2.576927829955512,10.413680177953545
annual,dry_inclusive_only,fixed,BWh_hot_desert,all,28,0,hot_marginal,13.803756796836382,6.877162629757785,19.95304003954523
annual,dry_inclusive_only,fixed,BWh_hot_desert,all,28,0,excess_joint,0.18536826495304212,-2.3603559070687092,3.497281265447356
annual,dry_inclusive_only,fixed,BWh_hot_desert,positive,28,0,joint_change,18.907563025210077,5.6722689075630255,30.672268907563016
annual,dry_inclusive_only,fixed,BWh_hot_desert,positive,28,0,dry_marginal,4.918437963420662,-2.576927829955512,10.413680177953545
annual,dry_inclusive_only,fixed,BWh_hot_desert,positive,28,0,hot_marginal,13.803756796836382,6.877162629757785,19.95304003954523
annual,dry_inclusive_only,fixed,BWh_hot_desert,positive,28,0,excess_joint,0.18536826495304212,-2.3603559070687092,3.497281265447356
annual,dry_inclusive_only,fixed,BWk_cold_desert,all,12,0,joint_change,21.568627450980397,3.4313725490196076,39.705882352941174
annual,dry_inclusive_only,fixed,BWk_cold_desert,all,12,0,dry_marginal,7.972895040369089,1.0070645905420994,15.427479815455596
annual,dry_inclusive_only,fixed,BWk_cold_desert,all,12,0,hot_marginal,12.182814302191467,2.249134948096887,21.988177623990776
annual,dry_inclusive_only,fixed,BWk_cold_desert,all,12,0,excess_joint,1.4129181084198386,-5.017301038062284,8.59284890426759
annual,dry_inclusive_only,fixed,BWk_cold_desert,positive,12,0,joint_change,21.568627450980397,3.4313725490196076,39.705882352941174
annual,dry_inclusive_only,fixed,BWk_cold_desert,positive,12,0,dry_marginal,7.972895040369089,1.0070645905420994,15.427479815455596
annual,dry_inclusive_only,fixed,BWk_cold_desert,positive,12,0,hot_marginal,12.182814302191467,2.249134948096887,21.988177623990776
annual,dry_inclusive_only,fixed,BWk_cold_desert,positive,12,0,excess_joint,1.4129181084198386,-5.017301038062284,8.59284890426759
annual,dry_inclusive_only,fixed,BSh_hot_steppe,all,7,0,joint_change,33.61344537815126,19.327731092436977,46.21848739495798
annual,dry_inclusive_only,fixed,BSh_hot_steppe,all,7,0,dry_marginal,13.494809688581315,5.437469105289174,21.008403361344538
annual,dry_inclusive_only,fixed,BSh_hot_steppe,all,7,0,hot_marginal,20.415224913494807,7.957241720217498,29.956747404844293
annual,dry_inclusive_only,fixed,BSh_hot_steppe,all,7,0,excess_joint,-0.29658922392486364,-4.1547207118141385,4.893722194760256
annual,dry_inclusive_only,fixed,BSh_hot_steppe,positive,7,0,joint_change,33.61344537815126,19.327731092436977,46.21848739495798
annual,dry_inclusive_only,fixed,BSh_hot_steppe,positive,7,0,dry_marginal,13.494809688581315,5.437469105289174,21.008403361344538
annual,dry_inclusive_only,fixed,BSh_hot_steppe,positive,7,0,hot_marginal,20.415224913494807,7.957241720217498,29.956747404844293
annual,dry_inclusive_only,fixed,BSh_hot_steppe,positive,7,0,excess_joint,-0.29658922392486364,-4.1547207118141385,4.893722194760256
annual,dry_inclusive_only,fixed,BSk_cold_steppe,all,33,0,joint_change,15.686274509803921,-3.3868092691622085,33.333333333333336
annual,dry_inclusive_only,fixed,BSk_cold_steppe,all,33,0,dry_marginal,5.258467023172906,-2.736709657124881,12.22082415854042
annual,dry_inclusive_only,fixed,BSk_cold_steppe,all,33,0,hot_marginal,11.979658173429799,3.226905735556253,20.321379888853944
annual,dry_inclusive_only,fixed,BSk_cold_steppe,all,33,0,excess_joint,-1.5518506867987834,-7.403271469015413,5.494914543357452
annual,dry_inclusive_only,fixed,BSk_cold_steppe,positive,33,0,joint_change,15.686274509803921,-3.3868092691622085,33.333333333333336
annual,dry_inclusive_only,fixed,BSk_cold_steppe,positive,33,0,dry_marginal,5.258467023172906,-2.736709657124881,12.22082415854042
annual,dry_inclusive_only,fixed,BSk_cold_steppe,positive,33,0,hot_marginal,11.979658173429799,3.226905735556253,20.321379888853944
annual,dry_inclusive_only,fixed,BSk_cold_steppe,positive,33,0,excess_joint,-1.5518506867987834,-7.403271469015413,5.494914543357452
annual,dry_inclusive_only,fixed,C_temperate,all,15,0,joint_change,14.509803921568627,-2.7450980392156863,30.58823529411764
annual,dry_inclusive_only,fixed,C_temperate,all,15,0,dry_marginal,2.745098039215686,-4.7525951557093435,9.077277970011533
annual,dry_inclusive_only,fixed,C_temperate,all,15,0,hot_marginal,13.840830449826989,4.324682814302192,22.433679354094576
annual,dry_inclusive_only,fixed,C_temperate,all,15,0,excess_joint,-2.0761245674740483,-7.19838523644752,3.8304498269896246
annual,dry_inclusive_only,fixed,C_temperate,positive,15,0,joint_change,14.509803921568627,-2.7450980392156863,30.58823529411764
annual,dry_inclusive_only,fixed,C_temperate,positive,15,0,dry_marginal,2.745098039215686,-4.7525951557093435,9.077277970011533
annual,dry_inclusive_only,fixed,C_temperate,positive,15,0,hot_marginal,13.840830449826989,4.324682814302192,22.433679354094576
annual,dry_inclusive_only,fixed,C_temperate,positive,15,0,excess_joint,-2.0761245674740483,-7.19838523644752,3.8304498269896246
annual,dry_inclusive_only,fixed,Dsa_cold_dry_summer,all,9,0,joint_change,20.261437908496728,2.6143790849673203,33.98692810457516
annual,dry_inclusive_only,fixed,Dsa_cold_dry_summer,all,9,0,dry_marginal,5.728565936178393,-4.517493271818531,12.227028066128415
annual,dry_inclusive_only,fixed,Dsa_cold_dry_summer,all,9,0,hot_marginal,14.725105728565934,6.401384083044984,21.39657823913879
annual,dry_inclusive_only,fixed,Dsa_cold_dry_summer,all,9,0,excess_joint,-0.19223375624759592,-6.26874279123414,7.151095732410612
annual,dry_inclusive_only,fixed,Dsa_cold_dry_summer,positive,9,0,joint_change,20.261437908496728,2.6143790849673203,33.98692810457516
annual,dry_inclusive_only,fixed,Dsa_cold_dry_summer,positive,9,0,dry_marginal,5.728565936178393,-4.517493271818531,12.227028066128415
