scenario,index_name,n_stations,early_count,late_count,change_days,change_rate_pp
fixed_w11_t7_corrected,cool_days,108,37.713235294117645,22.783769063180827,-14.929466230936818,-4.15419429403661
fixed_w11_t7_corrected,cool_nights,108,36.5749591503268,24.44281045751634,-12.132148692810459,-3.548437483121113
fixed_w11_t7_corrected,warm_days,108,36.798917483660134,69.50653594771242,32.70761846405229,8.948870566922992
fixed_w11_t7_corrected,warm_nights,108,36.07206563180828,62.01579520697168,25.943729575163395,6.97121406681541
fixed_w11_t7_raw,cool_days,108,33.56699346405229,22.783769063180827,-10.78322440087146,-3.0094187696412513
fixed_w11_t7_raw,cool_nights,108,32.680283224400874,24.44281045751634,-8.237472766884531,-2.455642459917155
fixed_w11_t7_raw,warm_days,108,32.339324618736384,69.50653594771242,37.16721132897604,10.180543880778055
fixed_w11_t7_raw,warm_nights,108,32.751633986928105,62.01579520697168,29.264161220043572,7.89741256741405
fixed_w5_t7_corrected,cool_days,108,41.582652505446625,25.136710239651414,-16.445942265795207,-4.575421647398942
fixed_w5_t7_corrected,cool_nights,108,40.33309504357298,27.07244008714597,-13.260654956427015,-3.8793125318172517
fixed_w5_t7_corrected,warm_days,108,41.28125,74.70806100217864,33.42681100217865,9.14173116970895
fixed_w5_t7_corrected,warm_nights,108,39.84058415032679,66.30010893246187,26.459524782135077,7.09694096608237
fixed_w5_t8_corrected,cool_days,108,38.87728077342048,23.51143790849673,-15.365842864923748,-4.2753539110872145
fixed_w5_t8_corrected,cool_nights,108,37.645254629629626,25.27941176470588,-12.365842864923748,-3.618500983192842
fixed_w5_t8_corrected,warm_days,108,38.395935457516345,71.0375816993464,32.64164624183007,8.929058157955161
fixed_w5_t8_corrected,warm_nights,108,37.042926198257085,62.75708061002179,25.714154411764707,6.903824128305742
full_w11_t7,cool_days,108,42.73420479302832,25.155773420479303,-17.57843137254902,-4.889113004828245
full_w11_t7,cool_nights,108,41.15468409586057,25.56318082788671,-15.591503267973856,-4.527596931142607
full_w11_t7,warm_days,108,21.9417211328976,44.94607843137255,23.004357298474947,6.296456038448253
full_w11_t7,warm_nights,108,24.519607843137255,42.56045751633987,18.040849673202615,4.851747759007424
full_w5_t7,cool_days,108,43.303376906318086,25.37690631808279,-17.926470588235293,-4.9854879720945915
full_w5_t7,cool_nights,108,41.78921568627451,25.955882352941174,-15.833333333333334,-4.599028660810391
full_w5_t7,warm_days,108,22.332244008714596,45.89705882352941,23.564814814814813,6.450243866528057
full_w5_t7,warm_nights,108,25.056100217864923,42.96350762527233,17.90740740740741,4.812501058260186
