scenario,index_name,year,count,rate_pct
fixed_w11_t7_corrected,cool_days,1991,48.391782407407405,13.296077222945819
fixed_w11_t7_corrected,cool_days,1992,97.95023148148148,27.068773137463996
fixed_w11_t7_corrected,cool_days,1993,63.16319444444444,17.5023321250048
fixed_w11_t7_corrected,cool_days,1994,43.744791666666664,12.100431053313637
fixed_w11_t7_corrected,cool_days,1995,38.041666666666664,10.511735420311574
fixed_w11_t7_corrected,cool_days,1996,44.110532407407405,12.158757955185195
fixed_w11_t7_corrected,cool_days,1997,43.921875,12.18612853800272
fixed_w11_t7_corrected,cool_days,1998,27.634837962962962,7.6682631242310775
fixed_w11_t7_corrected,cool_days,1999,21.142939814814813,5.8543024559993615
fixed_w11_t7_corrected,cool_days,2000,28.255787037037038,7.841182213324161
fixed_w11_t7_corrected,cool_days,2001,19.037037037037038,5.2427609749447575
fixed_w11_t7_corrected,cool_days,2002,25.171296296296298,6.953034626781157
fixed_w11_t7_corrected,cool_days,2003,26.62037037037037,7.358706677356509
fixed_w11_t7_corrected,cool_days,2004,26.68865740740741,7.3822224758173505
fixed_w11_t7_corrected,cool_days,2005,30.011574074074073,8.258684698532225
fixed_w11_t7_corrected,cool_days,2006,30.56134259259259,8.393765188508455
fixed_w11_t7_corrected,cool_days,2007,26.677083333333332,7.327727744232045
fixed_w11_t7_corrected,cool_days,2008,41.27777777777778,11.322694361880506
fixed_w11_t7_corrected,cool_days,2009,27.74074074074074,7.6139061933979235
fixed_w11_t7_corrected,cool_days,2010,13.481481481481481,3.698012171046245
fixed_w11_t7_corrected,cool_days,2011,30.72222222222222,8.444267283536957
fixed_w11_t7_corrected,cool_days,2012,25.84259259259259,7.113088330030973
fixed_w11_t7_corrected,cool_days,2013,28.712962962962962,7.869811829800729
fixed_w11_t7_corrected,cool_days,2014,28.22222222222222,7.793845946037282
fixed_w11_t7_corrected,cool_days,2015,23.824074074074073,6.555738954065161
fixed_w11_t7_corrected,cool_days,2016,22.97222222222222,6.3270058398797575
fixed_w11_t7_corrected,cool_days,2017,16.666666666666668,4.58175884674233
fixed_w11_t7_corrected,cool_days,2018,18.546296296296298,5.105866193373304
fixed_w11_t7_corrected,cool_days,2019,24.50925925925926,6.753232674269005
fixed_w11_t7_corrected,cool_days,2020,27.175925925925927,7.465472079409631
fixed_w11_t7_corrected,cool_days,2021,12.38888888888889,3.407285441561046
fixed_w11_t7_corrected,cool_days,2022,14.38888888888889,3.9478342259410337
fixed_w11_t7_corrected,cool_days,2023,12.296296296296296,3.380048853111271
fixed_w11_t7_corrected,cool_days,2024,18.555555555555557,5.103713409249325
fixed_w11_t7_corrected,cool_nights,1991,44.62210648148148,12.592247229327155
fixed_w11_t7_corrected,cool_nights,1992,90.08101851851852,25.728270326911794
fixed_w11_t7_corrected,cool_nights,1993,53.45023148148148,15.156155830531668
fixed_w11_t7_corrected,cool_nights,1994,41.620370370370374,11.688321353118887
fixed_w11_t7_corrected,cool_nights,1995,40.676504629629626,11.373197054648294
fixed_w11_t7_corrected,cool_nights,1996,39.61863425925926,11.150329490274153
fixed_w11_t7_corrected,cool_nights,1997,37.633101851851855,10.593229789889385
fixed_w11_t7_corrected,cool_nights,1998,22.03472222222222,6.229127716360065
fixed_w11_t7_corrected,cool_nights,1999,24.61226851851852,6.902064607778794
fixed_w11_t7_corrected,cool_nights,2000,29.222800925925927,8.187881173915274
fixed_w11_t7_corrected,cool_nights,2001,21.99652777777778,6.110955635874889
fixed_w11_t7_corrected,cool_nights,2002,24.00636574074074,6.696333878844934
fixed_w11_t7_corrected,cool_nights,2003,32.6869212962963,9.118212589509556
fixed_w11_t7_corrected,cool_nights,2004,30.056712962962962,8.364202581093098
fixed_w11_t7_corrected,cool_nights,2005,28.42476851851852,7.853952030677845
fixed_w11_t7_corrected,cool_nights,2006,28.11747685185185,7.738634232332089
fixed_w11_t7_corrected,cool_nights,2007,32.913773148148145,9.042792755874673
fixed_w11_t7_corrected,cool_nights,2008,40.25925925925926,11.04719213397425
fixed_w11_t7_corrected,cool_nights,2009,25.87037037037037,7.098069388019483
fixed_w11_t7_corrected,cool_nights,2010,19.63888888888889,5.386192674992492
fixed_w11_t7_corrected,cool_nights,2011,33.47222222222222,9.19569086708675
fixed_w11_t7_corrected,cool_nights,2012,27.97222222222222,7.712792093536802
fixed_w11_t7_corrected,cool_nights,2013,34.28703703703704,9.396203745518815
fixed_w11_t7_corrected,cool_nights,2014,28.09259259259259,7.7477556339683185
fixed_w11_t7_corrected,cool_nights,2015,21.203703703703702,5.847008864219326
fixed_w11_t7_corrected,cool_nights,2016,26.37962962962963,7.261586288788292
fixed_w11_t7_corrected,cool_nights,2017,25.50925925925926,7.015814100927471
fixed_w11_t7_corrected,cool_nights,2018,14.333333333333334,3.9409955128721617
fixed_w11_t7_corrected,cool_nights,2019,21.037037037037038,5.801106476660592
fixed_w11_t7_corrected,cool_nights,2020,26.61111111111111,7.308354480985721
fixed_w11_t7_corrected,cool_nights,2021,19.86111111111111,5.462218637667548
