index_name,station_id,station_name,baseline_period,comparison_period,baseline_mean_days,comparison_mean_days,late_minus_baseline_days,expected_direction,direction_consistent
warm_days,19996,Bahookalat,1991-2007,2008-2024,28.058823529411764,35.142857142857146,7.084033613445381,increase,True
warm_days,40700,Parsabad,1991-2007,2008-2024,34.11764705882353,52.35294117647059,18.235294117647058,increase,True
warm_days,40701,Maku,1991-2007,2008-2024,32.88235294117647,68.17647058823529,35.29411764705882,increase,True
warm_days,40702,Jolfa,1991-2007,2008-2024,33.8235294117647,64.17647058823529,30.352941176470587,increase,True
warm_days,40703,Khoy,1991-2007,2008-2024,33.8235294117647,74.82352941176471,41.00000000000001,increase,True
warm_days,40704,Ahar,1991-2007,2008-2024,33.588235294117645,65.29411764705883,31.70588235294118,increase,True
warm_days,40706,Tabriz,1991-2007,2008-2024,33.76470588235294,61.470588235294116,27.705882352941174,increase,True
warm_days,40708,Ardebil,1991-2007,2008-2024,33.76470588235294,58.529411764705884,24.764705882352942,increase,True
warm_days,40709,Astara,1991-2007,2008-2024,33.529411764705884,64.94117647058823,31.411764705882348,increase,True
warm_days,40710,Sarab,1991-2007,2008-2024,32.8235294117647,59.94117647058823,27.11764705882353,increase,True
warm_days,40712,Orumiyeh,1991-2007,2008-2024,33.411764705882355,79.58823529411765,46.1764705882353,increase,True
warm_days,40713,Maragheh-Synoptic,1991-2007,2008-2024,32.64705882352941,99.05882352941177,66.41176470588235,increase,True
warm_days,40716,Mianeh,1991-2007,2008-2024,32.88235294117647,68.82352941176471,35.94117647058824,increase,True
warm_days,40717,Khalkhal,1991-2007,2008-2024,33.1764705882353,74.6470588235294,41.47058823529411,increase,True
warm_days,40718,Bandar-E-Anzali,1991-2007,2008-2024,31.764705882352942,115.0,83.23529411764706,increase,True
warm_days,40719,Rasht,1991-2007,2008-2024,33.35294117647059,46.8235294117647,13.470588235294116,increase,True
warm_days,40723,Bojnurd,1991-2007,2008-2024,33.05882352941177,57.23529411764706,24.17647058823529,increase,True
warm_days,40724,Piranshahr,1991-2007,2008-2024,31.235294117647058,76.05882352941177,44.82352941176471,increase,True
warm_days,40726,Mahabad,1991-2007,2008-2024,33.35294117647059,74.6470588235294,41.29411764705882,increase,True
warm_days,40727,Saqez,1991-2007,2008-2024,32.35294117647059,68.29411764705883,35.94117647058824,increase,True
warm_days,40728,Takab,1991-2007,2008-2024,32.705882352941174,68.41176470588235,35.705882352941174,increase,True
warm_days,40729,Zanjan,1991-2007,2008-2024,32.588235294117645,93.70588235294117,61.11764705882353,increase,True
warm_days,40730,Khorramdareh,1991-2007,2008-2024,33.294117647058826,68.88235294117646,35.58823529411764,increase,True
warm_days,40731,Qazvin,1991-2007,2008-2024,32.64705882352941,65.58823529411765,32.94117647058824,increase,True
warm_days,40732,Ramsar,1991-2007,2008-2024,33.05882352941177,82.29411764705883,49.23529411764706,increase,True
warm_days,40734,Nowshahr,1991-2007,2008-2024,33.470588235294116,76.23529411764706,42.76470588235294,increase,True
warm_days,40736,Babolsar,1991-2007,2008-2024,32.588235294117645,59.1764705882353,26.588235294117652,increase,True
warm_days,40737,Gharakhil,1991-2007,2008-2024,34.470588235294116,67.47058823529412,33.0,increase,True
warm_days,40738,Gorgan,1991-2007,2008-2024,34.94117647058823,71.41176470588235,36.470588235294116,increase,True
warm_days,40739,Shahrud,1991-2007,2008-2024,32.529411764705884,48.470588235294116,15.941176470588232,increase,True
warm_days,40740,Quchan,1991-2007,2008-2024,34.588235294117645,52.294117647058826,17.70588235294118,increase,True
warm_days,40741,Sarakhs,1991-2007,2008-2024,34.94117647058823,68.58823529411765,33.64705882352942,increase,True
warm_days,40742,Biyarjomand,1991-2007,2008-2024,32.75,55.470588235294116,22.720588235294116,increase,True
warm_days,40743,Sabzevar,1991-2007,2008-2024,33.411764705882355,55.0,21.588235294117645,increase,True
warm_days,40744,Golmakan,1991-2007,2008-2024,36.0,62.05882352941177,26.058823529411768,increase,True
warm_days,40745,Mashhad,1991-2007,2008-2024,34.76470588235294,62.05882352941177,27.294117647058826,increase,True
warm_days,40746,Neyshabur,1991-2007,2008-2024,34.11764705882353,61.0,26.88235294117647,increase,True
warm_days,40747,Sanandaj,1991-2007,2008-2024,32.411764705882355,80.6470588235294,48.23529411764705,increase,True
warm_days,40748,Bijar,1991-2007,2008-2024,31.529411764705884,80.17647058823529,48.647058823529406,increase,True
warm_days,40749,Zarrineh,1991-2007,2008-2024,32.0,83.05882352941177,51.05882352941177,increase,True
warm_days,40751,Tehran (Shemiran),1991-2007,2008-2024,31.88235294117647,84.11764705882354,52.235294117647065,increase,True
warm_days,40752,Karaj,1991-2007,2008-2024,31.529411764705884,66.17647058823529,34.647058823529406,increase,True
warm_days,40754,Tehran (Mehrabad Airport),1991-2007,2008-2024,31.294117647058822,44.8235294117647,13.52941176470588,increase,True
warm_days,40755,Abali,1991-2007,2008-2024,31.11764705882353,60.470588235294116,29.352941176470587,increase,True
warm_days,40757,Semnan,1991-2007,2008-2024,32.470588235294116,61.588235294117645,29.11764705882353,increase,True
warm_days,40758,Garmsar,1991-2007,2008-2024,32.294117647058826,42.294117647058826,10.0,increase,True
warm_days,40762,Torbat-E Heydariyeh,1991-2007,2008-2024,33.470588235294116,71.76470588235294,38.294117647058826,increase,True
warm_days,40763,Kashmar,1991-2007,2008-2024,32.94117647058823,60.76470588235294,27.82352941176471,increase,True
warm_days,40764,Ravansar,1991-2007,2008-2024,32.23529411764706,76.0,43.76470588235294,increase,True
warm_days,40765,Sarpol-E-Zahab,1991-2007,2008-2024,32.470588235294116,68.88235294117646,36.41176470588235,increase,True
warm_days,40766,Kermanshah,1991-2007,2008-2024,33.23529411764706,47.88235294117647,14.647058823529413,increase,True
warm_days,40768,Hamedan (Airport),1991-2007,2008-2024,32.0,70.76470588235294,38.76470588235294,increase,True
warm_days,40769,Arak,1991-2007,2008-2024,30.764705882352942,69.88235294117646,39.11764705882352,increase,True
warm_days,40770,Qom,1991-2007,2008-2024,30.529411764705884,76.6470588235294,46.11764705882352,increase,True
warm_days,40771,Kangavar,1991-2007,2008-2024,31.294117647058822,76.6470588235294,45.35294117647058,increase,True
warm_days,40772,Qorveh,1991-2007,2008-2024,31.823529411764707,82.05882352941177,50.23529411764706,increase,True
warm_days,40774,Borujerd,1991-2007,2008-2024,29.941176470588236,74.88235294117646,44.94117647058823,increase,True
warm_days,40778,Gonabad,1991-2007,2008-2024,33.05882352941177,62.705882352941174,29.647058823529406,increase,True
warm_days,40779,Eslamabad-E-Gharb,1991-2007,2008-2024,32.529411764705884,60.588235294117645,28.05882352941176,increase,True
warm_days,40780,Ilam,1991-2007,2008-2024,32.0,108.29411764705883,76.29411764705883,increase,True
warm_days,40782,Khorramabad,1991-2007,2008-2024,31.529411764705884,79.17647058823529,47.647058823529406,increase,True
warm_days,40783,Aligudarz,1991-2007,2008-2024,30.705882352941178,66.58823529411765,35.88235294117648,increase,True
warm_days,40785,Kashan,1991-2007,2008-2024,30.823529411764707,69.0,38.17647058823529,increase,True
warm_days,40787,Daran,1991-2007,2008-2024,32.0625,73.52941176470588,41.466911764705884,increase,True
warm_days,40789,Khur-Va-Biabanak,1991-2007,2008-2024,33.0,66.05882352941177,33.05882352941177,increase,True
warm_days,40790,Robat-E-Poshtebadam,1991-2007,2008-2024,33.1875,52.05882352941177,18.871323529411768,increase,True
warm_days,40791,Tabas,1991-2007,2008-2024,33.76470588235294,74.52941176470588,40.76470588235294,increase,True
warm_days,40792,Ferdows,1991-2007,2008-2024,34.11764705882353,47.588235294117645,13.470588235294116,increase,True
warm_days,40793,Qaen,1991-2007,2008-2024,34.76470588235294,73.3529411764706,38.58823529411765,increase,True
warm_days,40794,Safiabad (Dezful),1991-2007,2008-2024,31.58823529411765,73.70588235294117,42.11764705882352,increase,True
warm_days,40796,Dehloran,1991-2007,2008-2024,31.705882352941178,101.3529411764706,69.64705882352942,increase,True
