index_name,cluster,metric,n_stations,mean,median,std,min,max
cool_days,1,slope_0.10,45,-7.809614182003822,-7.500000273451727,2.301895954531998,-12.142856138425316,-2.857143628123616
cool_days,1,slope_0.50,45,-12.414609375175406,-12.49999819316471,1.8792720624794867,-15.882351723956049,-8.636364090909332
cool_days,1,slope_0.90,45,-21.16244008538048,-20.64516313794569,4.695121343637967,-30.303033913720284,-10.588255923132678
cool_days,1,Delta1,45,-13.35282590337666,-13.499997555061016,5.984740847522906,-22.60869934860421,-0.5882559437087398
cool_days,2,slope_0.10,74,-4.253098678667567,-4.3928584378801,2.338903891893784,-8.400022683303746,0.9090904119021928
cool_days,2,slope_0.50,74,-7.782183523639643,-8.005941490678516,2.313358755857438,-13.529410992219873,-1.5789531262854664
cool_days,2,slope_0.90,74,-15.395851769207635,-15.080648816673262,3.61126616656187,-28.387099009664777,-7.272734743390885
cool_days,2,Delta1,74,-11.14275309054007,-10.47089200029632,4.372333395827146,-26.38710003821769,-1.0626185519456417
cool_days,3,slope_0.10,2,-7.0833334067351545,-7.0833334067351545,0.5892555732166177,-7.500000018408591,-6.666666795061718
cool_days,3,slope_0.50,2,-20.249999652361574,-20.249999652361574,0.35355352866347656,-20.49999974999195,-19.999999554731197
cool_days,3,slope_0.90,2,-34.381250115368175,-34.381250115368175,3.986312492271904,-37.199998710582285,-31.562501520154065
cool_days,3,Delta1,2,-27.29791670863302,-27.29791670863302,4.575568065488519,-30.533331915520566,-24.062501501745476
cool_days,4,slope_0.10,3,-6.190709427149627,-7.037041755598769,1.7606887789767687,-7.36842307377317,-4.166663452076941
cool_days,4,slope_0.50,3,-10.944444059184248,-9.499998809496274,2.7954994796568924,-14.166666840278696,-9.166666527777767
cool_days,4,slope_0.90,3,-36.896368912658104,-37.0370279933266,4.247138944308001,-41.07143104795601,-32.5806476966917
cool_days,4,Delta1,3,-30.705659485508477,-32.87036454124966,4.489813066059822,-33.70300797418284,-25.54360594109293
cool_nights,1,slope_0.10,8,6.9145491303602915,7.04678346796824,2.661602350248886,3.750000043402944,11.739129835067724
cool_nights,1,slope_0.50,8,8.941353651711651,8.084216011393583,2.7168390863354372,6.521739445232845,13.928571968679467
cool_nights,1,slope_0.90,8,3.384132121616976,5.502390530019573,10.667185237185366,-16.923068785769715,16.00000221276941
cool_nights,1,Delta1,8,-3.530417008743316,-1.6465068767137292,10.850120405927258,-24.74915572128731,12.250002169366464
cool_nights,2,slope_0.10,114,-6.905099412812317,-7.142860653326702,3.621891100468937,-16.25000302138922,0.9090917099631493
cool_nights,2,slope_0.50,114,-9.553914118942377,-10.00000038545377,4.178724294096937,-19.090898946927407,0.7142835822241044
cool_nights,2,slope_0.90,114,-16.27896413988155,-16.392859055558795,6.129260516572572,-30.00000283456185,-1.9230770402045316
cool_nights,2,Delta1,114,-9.373864727069234,-8.754932514184365,5.94509369705762,-25.7878721209656,1.5769228567730913
cool_nights,3,slope_0.10,1,-0.9090817549427316,-0.9090817549427316,0.0,-0.9090817549427316,-0.9090817549427316
cool_nights,3,slope_0.50,1,-14.444442962957746,-14.444442962957746,0.0,-14.444442962957746,-14.444442962957746
cool_nights,3,slope_0.90,1,-49.68750207445634,-49.68750207445634,0.0,-49.68750207445634,-49.68750207445634
cool_nights,3,Delta1,1,-48.77842031951361,-48.77842031951361,0.0,-48.77842031951361,-48.77842031951361
cool_nights,4,slope_0.10,1,-26.3636361616161,-26.3636361616161,0.0,-26.3636361616161,-26.3636361616161
cool_nights,4,slope_0.50,1,-19.56522697180115,-19.56522697180115,0.0,-19.56522697180115,-19.56522697180115
cool_nights,4,slope_0.90,1,-24.642856685381485,-24.642856685381485,0.0,-24.642856685381485,-24.642856685381485
cool_nights,4,Delta1,1,1.7207794762346147,1.7207794762346147,0.0,1.7207794762346147,1.7207794762346147
warm_days,1,slope_0.10,7,4.054217517153784,4.5454500818077,2.9241114924498683,-1.3043444359953982,6.9999999580246826
warm_days,1,slope_0.50,7,2.4735448316442055,2.3809522902493803,2.344469191288247,-2.142856224488327,4.999999466563328
warm_days,1,slope_0.90,7,2.256423222116012,2.400001042271695,4.861907568591444,-5.652173191466076,9.499997033288851
warm_days,1,Delta1,7,-1.7977942950377712,0.5481325051766703,4.708967795677122,-10.197623273273775,2.657891800909196
warm_days,2,slope_0.10,47,6.809350521502414,7.142864316599027,2.0154312132053707,2.608699995903536,10.000005161066932
warm_days,2,slope_0.50,47,11.465759280045004,11.428571301116548,1.9579498900652172,6.250000390625339,15.555555493826928
warm_days,2,slope_0.90,47,13.213444441054033,12.857143854873724,4.029575982481356,2.272728818130468,21.3333333308642
warm_days,2,Delta1,47,6.404093919551616,6.73076971176277,4.294506999354932,-2.8571413322185077,15.49999464811252
warm_days,3,slope_0.10,69,9.627732415047292,9.49999990555604,1.8901002056315421,5.000000535631428,14.999997338094916
warm_days,3,slope_0.50,69,15.949159816998852,15.999999428084248,2.453041341420184,9.999999822216054,23.600000128000765
warm_days,3,slope_0.90,69,24.889835985249285,24.499996768037875,4.77455094651111,15.62500013020862,37.91664450587492
warm_days,3,Delta1,69,15.262103570201987,14.480509425370194,5.140988760705216,5.625000143128483,28.44296127750971
warm_days,4,slope_0.10,1,7.894736756452887,7.894736756452887,0.0,7.894736756452887,7.894736756452887
warm_days,4,slope_0.50,1,13.333333538160236,13.333333538160236,0.0,13.333333538160236,13.333333538160236
warm_days,4,slope_0.90,1,42.000000950499455,42.000000950499455,0.0,42.000000950499455,42.000000950499455
warm_days,4,Delta1,1,34.10526419404657,34.10526419404657,0.0,34.10526419404657,34.10526419404657
warm_nights,1,slope_0.10,7,1.3110753049293624,1.1111108573502633,1.8676578342146584,-1.333334412088316,3.8461539250491215
warm_nights,1,slope_0.50,7,-3.4221655888264797,-2.4999951278251467,2.548481861380611,-6.896551488100842,-0.4761912276972332
warm_nights,1,slope_0.90,7,-8.067436084270382,-6.956521779038332,5.043658793225601,-17.142857254634745,-3.478260806553114
warm_nights,1,Delta1,7,-9.378511389199744,-8.240748671693606,6.104424548009284,-18.253968111985007,-2.1449263944647985
warm_nights,2,slope_0.10,5,15.667492204615481,15.294113886020892,1.5132174203442024,14.090909104680897,18.00001357806275
warm_nights,2,slope_0.50,5,16.70512684206098,17.499990381207315,2.5174429764602184,12.50000301140978,19.166666962309893
warm_nights,2,slope_0.90,5,20.478307362173858,21.111111200274443,2.8550885499230456,17.407407581160435,24.444444341563152
warm_nights,2,Delta1,5,4.810815157558373,3.1110976222116946,3.5480497204850767,1.2168949312143305,9.68253253719638
warm_nights,3,slope_0.10,17,4.739867726211559,4.615380809521569,1.5845040625397184,1.7857136348948213,8.928571374716576
