index_name,station_id,station_name,n_years,insufficient_years_for_qr,slope_0.10,ci_low_0.10,ci_high_0.10,slope_0.50,ci_low_0.50,ci_high_0.50,slope_0.90,ci_low_0.90,ci_high_0.90,Delta1,Delta2,Delta3,boot_mean_0.10,boot_sd_0.10,boot_ci_low_0.10,boot_ci_high_0.10,boot_mean_0.50,boot_sd_0.50,boot_ci_low_0.50,boot_ci_high_0.50,boot_mean_0.90,boot_sd_0.90,boot_ci_low_0.90,boot_ci_high_0.90,analytic_sig_0.10,bootstrap_sig_0.10,sig_agree_0.10,sensitivity_status_0.10,analytic_sig_0.90,bootstrap_sig_0.90,sig_agree_0.90,sensitivity_status_0.90,boot_mean_Delta1,boot_sd_Delta1,boot_ci_low_Delta1,boot_ci_high_Delta1,cluster,cluster_reduced_features
warm_days,19996,Bahookalat,31,False,-1.3043444359953982,,,4.399999411472645,-2.6790912820305994,11.479090104975889,0.41670752368242064,,,1.7210519596778189,-3.983291887790224,5.704343847468043,-1.6904485822775146,3.9297955947449257,-11.016669282051568,4.303575957220978,1.4433875974473835,4.309869491881933,-10.952152977280614,6.016665303010044,0.03380855064091371,5.19354279140183,-6.666655047752015,13.46153367841169,,0.0,,insufficient,,0.0,,insufficient,1.7242571329184282,5.492205236107587,-7.765460958421027,16.176129893306737,1,2
warm_days,40700,Parsabad,34,False,4.5833344419676125,,,8.82352913494715,2.6241250642106113,15.022933205683687,11.923083334819971,,,7.339748892852358,3.0995541998728218,4.240194692979537,4.731618311915103,5.541903179777318,-5.353861579349054,19.999997819884342,7.1722470588944045,4.2641113877652135,-0.02500007237213569,15.312501348347952,8.935642873968465,6.108001008921898,-3.749999076140876,19.99999968909096,,0.0,,insufficient,,0.0,,insufficient,4.204024562053362,5.666574943070154,-5.389898208383046,17.543276745104652,2,3
warm_days,40701,Maku,34,False,6.428576734295909,,,13.750002229159488,6.665210399289346,20.83479405902963,20.909086159666103,,,14.480509425370194,7.159083930506615,7.321425494863579,7.9157188047431575,7.3563710971600145,-5.999999427355329,28.050000268391965,13.248791715569187,5.364585684531099,2.4999994994687187,21.000861756019084,16.622145585810888,10.13374670848232,-5.8823485437457395,45.71426462188363,,0.0,,insufficient,,0.0,,insufficient,8.70642678106773,11.880176931731897,-11.475001496405548,36.96707843669771,3,3
warm_days,40702,Jolfa,34,False,12.105262159200013,,,12.608694436354336,7.51426611285373,17.703122759854942,24.0909041221259,,,11.985641962925886,11.482209685771563,0.5034322771543227,11.019434234736693,7.276276020010923,-2.6666665677839188,27.27272602060086,11.453979127336074,2.538536910667945,6.231250078933055,15.71985865741202,19.608376563113076,7.593164070971578,2.2142861810959857,34.54545405379361,,0.0,,insufficient,,1.0,,insufficient,8.588942328376381,9.530999886403123,-13.05831063491067,28.336525868719786,3,3
warm_days,40703,Khoy,34,False,11.05263444396301,,,17.826083279792655,13.19227076422355,22.45989579536176,24.99999705274335,,,13.94736260878034,7.173913772950694,6.773448835829646,10.175279642278742,4.501698009387052,0.6499935893842321,16.521738046014505,15.66860560592969,3.300097744136857,7.500015337030705,19.999999106393933,20.36905511259199,10.581941027912299,2.5657896273815135,47.22222091340582,,1.0,,insufficient,,1.0,,insufficient,10.19377547031325,11.835683877981216,-7.5798911040708665,39.15481968295241,3,3
warm_days,40704,Ahar,34,False,6.875000359322222,,,14.444445643144036,8.48884467413583,20.40004661215224,24.499996768037875,,,17.624996408715653,10.055551124893839,7.569445283821814,7.588669877978692,5.190419038664282,-3.34999944012948,17.27272724127642,14.533516605272212,2.9148910223806848,8.88541828401506,18.76562480536724,20.896952072356655,10.575599075545862,7.368548554542864,47.777769526376595,,0.0,,insufficient,,1.0,,insufficient,13.308282194377957,12.587525909680693,-5.864719808147761,44.4856518727582,3,3
warm_days,40706,Tabriz,34,False,8.518518436213954,,,15.555555493826928,8.748437535798207,22.36267345185565,11.428576642175788,,,2.9100582059618336,-4.12697885165114,7.037037057612974,7.6783329822815,2.974108892232422,0.7692310920175391,14.130088324281559,15.610467042532107,4.332236945930515,7.058823612732013,21.999998585287308,11.528326582489235,11.964542996672169,-0.541668257749195,46.70587650944434,,1.0,,insufficient,,0.0,,insufficient,3.8499936002077377,11.673963983558918,-16.166657239610828,38.37269092589109,2,3
warm_days,40708,Ardebil,34,False,8.437500394518732,,,11.428575184099083,4.386054959303921,18.471095408894243,17.49999725893328,,,9.062496864414548,6.071422074834198,2.9910747895803507,8.748325321974441,3.838207003854597,-1.8749972324225246,13.333331400281152,10.58319250935368,3.685851070459689,1.1764724131609194,15.342858506695036,15.00000506106106,12.661039166698732,-19.090893768835915,44.66665299284399,,0.0,,insufficient,,0.0,,insufficient,6.251679739086617,12.887992904507232,-15.457384406836315,35.182239905402945,2,3
warm_days,40709,Astara,34,False,7.4999970668667535,,,10.625000986658666,5.630270328299805,15.619731645017527,15.90909014362122,,,8.409093076754466,5.284089156962555,3.1250039197919124,6.489813347133337,2.467113369587495,5.648889385276412e-05,11.818181695152242,9.308374706772659,3.0156255458593475,4.000007643677896,14.819442532777874,12.482961938762669,6.794941911226482,-4.166643069725483,22.471433175832587,,1.0,,insufficient,,0.0,,insufficient,5.993148591629333,7.450947154271,-9.908923667947043,19.104133346949315,2,3
warm_days,40710,Sarab,34,False,8.928570777627614,,,14.166667570722602,6.916812083703229,21.416523057741976,17.272726706452737,,,8.344155928825122,3.106059135730135,5.2380967930949875,6.968004933128009,3.6334154544315638,-2.499983964457553,12.021428903495549,12.148656379089834,5.916176360137478,0.5000574459366244,19.99999991698682,11.059264808387509,10.755250112577457,-7.777777830862918,40.66662996123854,,0.0,,insufficient,,0.0,,insufficient,4.091259875259499,10.587582347560936,-16.789245215840324,31.744640928952794,3,3
warm_days,40712,Orumiyeh,34,False,9.99999846879756,,,18.749999816303976,11.849812355140871,25.650187277467083,23.636358764105886,,,13.636360295308325,4.886358947801909,8.750001347506416,9.827441284720498,2.568436471369884,4.643749775617885,18.006896574762706,17.401321276494837,5.179934227205522,3.7118049142886593,24.453333359102484,23.670798605470317,8.00385321869346,12.94117668240227,46.11110813234298,,1.0,,insufficient,,1.0,,insufficient,13.843357320749817,8.53162448242844,0.059573957542385765,35.53758036191993,3,3
warm_days,40713,Maragheh-Synoptic,34,False,10.625000373452828,,,20.000000723559463,13.36961734380148,26.630384103317446,25.8333561654416,,,15.208355791988772,5.833355441882137,9.375000350106635,14.25433815295743,5.746514409367688,8.947368639198553,27.27272724127673,21.332750164685685,3.3591552286637087,13.67543953690308,29.113636425615727,34.27888756389969,9.1091978061201,18.235291728175692,52.505681549744345,,1.0,,insufficient,,1.0,,insufficient,20.024549410942253,9.4052176389546,2.223215723179297,35.8506858569979,3,4
warm_days,40716,Mianeh,34,False,9.411770127000311,,,17.500000393906095,11.239253654848923,23.760747132963267,24.999995179389327,,,15.588225052389015,7.499994785483231,8.088230266905784,7.889346703492468,5.549866591089615,-5.294109244465057,21.111109506508026,15.758329380457901,4.462217727929261,4.1625020205447,22.50328023099037,21.182382367337098,9.021987686467126,6.875000014959949,37.33331604706586,,0.0,,insufficient,,1.0,,insufficient,13.29303566384463,9.198832493068071,-4.126081390474804,30.049013925531217,3,3
warm_days,40717,Khalkhal,34,False,9.3334669682708,,,18.888891469053014,12.621164225585396,25.156618712520633,27.500002638953045,,,18.166535670682244,8.611111169900031,9.555424500782214,11.536569636251095,6.2386866016424625,-1.8995519791792153,24.99999985940345,19.132808402095215,3.42322497191628,11.666671150621749,23.339284710488307,24.68090646492301,7.050157469727051,10.000000272327263,36.88771796634964,,0.0,,insufficient,,1.0,,insufficient,13.144336828671918,9.351420936008681,-4.241878957823659,31.14953447221078,3,3
warm_days,40718,Bandar-E-Anzali,34,False,6.666667068082136,,,16.153846863905304,8.932689008351275,23.375004719459334,32.81249773533209,,,26.145830667249953,16.658650871426783,9.487179795823169,7.651210045794119,5.179880019367769,3.7500006175435927,25.771428642000146,16.660355206229365,10.595974127829079,4.999994937490978,39.47434119125129,30.822373607738054,10.087905688889071,8.000040980269702,45.83332826096009,,1.0,,insufficient,,1.0,,insufficient,23.17116356194393,9.198456520354119,3.2868058450568984,38.18311054323668,3,1
warm_days,40719,Rasht,34,False,4.99999885414191,,,2.0000000000114606,-2.8989593482724794,6.898959348295401,6.521736113019494,,,1.5217372588775842,4.521736113008034,-2.999998854130449,2.4017865574195785,3.092913002649432,-4.6153591623694155,6.540513337712136,2.667085313857916,3.259344778080944,-1.4345208066268111,9.350000915658791,6.628164305411547,1.967149025655892,3.620451639720938,11.666664926075624,,0.0,,insufficient,,1.0,,insufficient,4.226377747991967,3.8886250459419545,-2.2220555153871246,11.72371608269436,1,2
warm_days,40723,Bojnurd,34,False,4.615384681130807,,,7.999999743999838,0.25741266326624324,15.742586824733433,12.222215302688962,,,7.606830621558156,4.222215558689125,3.384615062869031,4.188714102892762,3.9975778562416475,-4.015386645448881,11.818179252165004,6.97384101819864,3.1912387290244615,1.4269469626483378,13.999999963258649,12.349592758065635,2.4169451577648466,8.62826109670311,16.4285705289445,,0.0,,insufficient,,1.0,,insufficient,8.160878655172873,4.354623060608604,1.8181842559314694,19.73880913341828,2,3
warm_days,40724,Piranshahr,34,False,10.869566726244187,,,17.058823944638146,9.874056948840558,24.243590940435734,22.30771731285714,,,11.438150586612952,5.248893368218994,6.1892572183939585,10.605103650080675,5.01009128934717,2.4829621860138382,19.250001339104273,16.803793346705042,4.418954296284722,9.27857368458963,24.49999727677433,23.81628358443463,11.311959482336365,-11.818128252907117,56.11106761241501,,1.0,,insufficient,,0.0,,insufficient,13.211179934353952,13.214748926115105,-24.20706931730729,43.88884555196114,3,3
warm_days,40726,Mahabad,34,False,11.052640123346821,,,12.857151082696118,6.281583112606674,19.432719052785565,28.49999701856709,,,17.447356895220267,15.642845935870971,1.8045109593492974,11.02835010381133,2.4137582196825433,7.058825365939304,16.66666456853872,15.12740470602874,3.367235707383633,7.6607169317241555,21.333329788544905,20.880259978643544,10.04420238372239,1.0000006261114198,38.391665667760414,,1.0,,insufficient,,1.0,,insufficient,9.851909874832213,10.395411855068335,-9.527442826511878,26.89527584539939,3,3
warm_days,40727,Saqez,34,False,11.93548187312221,,,13.076922603550228,6.224838510075676,19.929006697024782,22.49999718226766,,,10.564515309145449,9.423074578717431,1.1414407304280179,10.105083379226096,3.8920872596923664,-3.350000553677427,14.556818818461169,12.990071523614608,3.7154095198740875,3.9681859422675942,17.142857313022514,20.1864839461516,11.706629146187876,3.964930624309862e-06,45.3333252829216,,0.0,,insufficient,,1.0,,insufficient,10.081400566925504,11.992288664630419,-14.434645356728097,35.33332404194495,3,3
