climate_regime,climate_regime_label,index_name,n_stations,mean_ols_slope,median_ols_slope,mean_Delta1,median_Delta1,Delta1_expected_direction_fraction,mean_slope_0.10,median_slope_0.10,slope_0.10_expected_direction_fraction,mean_slope_0.50,median_slope_0.50,slope_0.50_expected_direction_fraction,mean_slope_0.90,median_slope_0.90,slope_0.90_expected_direction_fraction,q50_fdr_retained_stations,q50_fdr_retained_fraction
BWh_hot_desert,BWh hot desert,cool_days,36,-13.314786037225806,-12.445378151260513,-15.156908155163908,-12.594367762117997,1.0,-5.435574706212394,-6.568628507216252,0.9722222222222222,-9.796524082440683,-9.342674451205237,1.0,-20.592482861376308,-17.98942003281384,1.0,27,0.75
BWh_hot_desert,BWh hot desert,cool_nights,36,-13.377693434235947,-13.772080945206593,-11.269349571429416,-9.886128802250667,0.9444444444444444,-7.090788814173702,-6.583328844534799,1.0,-10.912813108100877,-11.19528583819668,0.9722222222222222,-18.36013838560312,-17.678587546273917,1.0,30,0.8333333333333334
BWh_hot_desert,BWh hot desert,warm_days,36,12.594608574225994,12.339954163483583,8.804053529148122,9.56191959406296,0.8611111111111112,7.038362617899946,7.846153821251985,0.9722222222222222,12.464874597863801,12.785830691648089,0.9722222222222222,15.842416147048072,14.724080348440587,0.9444444444444444,32,0.8888888888888888
BWh_hot_desert,BWh hot desert,warm_nights,36,12.755807153323921,12.524828113063418,8.186011688378601,8.06157245692431,1.0,8.452381878658223,8.000000374165325,1.0,12.167761714442829,11.678324359195237,1.0,16.63839356703683,17.314817299255512,1.0,32,0.8888888888888888
BWk_cold_desert,BWk cold desert,cool_days,18,-10.49447277793707,-10.150496562261274,-10.295674846972013,-9.453892065768013,1.0,-4.9857327220625285,-5.909101305719892,0.9444444444444444,-8.933052120327991,-8.056679872518133,1.0,-15.281407569034545,-15.497312114364998,1.0,15,0.8333333333333334
BWk_cold_desert,BWk cold desert,cool_nights,18,-8.386315386862487,-8.287242169595116,-9.46181677193392,-9.098010167762233,0.8888888888888888,-4.021772775385854,-4.423075865117536,0.8888888888888888,-6.998582505674775,-7.222222059506135,0.9444444444444444,-13.483589547319776,-15.189396265683452,0.9444444444444444,8,0.4444444444444444
BWk_cold_desert,BWk cold desert,warm_days,18,12.231865171401632,10.669221752989555,9.243446729980688,7.557993983551224,1.0,7.510037424097855,7.697367107005528,1.0,11.294071543194713,11.166668085352999,1.0,16.753484154078542,13.167702323783292,1.0,16,0.8888888888888888
BWk_cold_desert,BWk cold desert,warm_nights,18,10.17897241723896,9.76192777028245,4.22747766268932,4.420323739837727,0.7777777777777778,7.394998028315645,7.638888951601048,1.0,10.351101321678335,10.152978853233545,1.0,11.622475691004965,10.402172645794039,1.0,13,0.7222222222222222
BSh_hot_steppe,BSh hot steppe,cool_days,10,-13.19006228348233,-13.150735294117654,-11.611735500983063,-10.000002204895697,1.0,-5.238454709420816,-4.9999996717581165,1.0,-10.36914579808251,-9.999999968179395,1.0,-16.850190210403877,-17.333332966860524,1.0,9,0.9
BSh_hot_steppe,BSh hot steppe,cool_nights,10,-10.500389694163434,-12.849742169595114,-8.936057858686421,-6.067996114753221,1.0,-6.40198297578051,-7.999997634784867,0.8,-7.374788491215035,-11.404762362157195,0.8,-15.338040834466932,-17.115388953858286,0.9,6,0.6
BSh_hot_steppe,BSh hot steppe,warm_days,10,16.46219452676452,16.91061879297175,13.531415720568077,12.603417334986212,1.0,10.322381847144136,9.761903347811938,1.0,14.411404459722604,15.000001954454016,1.0,23.853797567712213,24.499995167019062,1.0,10,1.0
BSh_hot_steppe,BSh hot steppe,warm_nights,10,10.570247920620828,11.261268143621095,4.1249366556753255,6.446611815015311,0.8,8.23118880674771,7.692369579014532,1.0,10.548539049122128,11.696966927488663,0.9,12.356125462423035,15.158727347639957,0.9,7,0.7
BSk_cold_steppe,BSk cold steppe,cool_days,35,-12.119758812615961,-12.369747899159677,-11.333639391970532,-10.670994743354353,1.0,-6.22153424825818,-6.470584536964627,0.9714285714285714,-9.605647829253618,-10.000000229592253,1.0,-17.555173640228713,-16.451614870281258,1.0,28,0.8
BSk_cold_steppe,BSk cold steppe,cool_nights,35,-9.19302902979374,-10.852559205500386,-7.495784012487494,-7.166660861748268,0.9428571428571428,-5.325734217735754,-7.142865179845026,0.8571428571428571,-7.04931724541062,-7.727272520660621,0.9142857142857143,-12.821518230223251,-13.33333382716143,0.9428571428571428,23,0.6571428571428571
BSk_cold_steppe,BSk cold steppe,warm_days,35,14.675862163047048,14.70922459893048,12.566075010775707,12.385965149886356,0.9714285714285714,9.058066280608832,9.333334450042717,1.0,14.763426534171549,14.615384142005198,1.0,21.62414129138454,21.428570816309115,1.0,34,0.9714285714285714
BSk_cold_steppe,BSk cold steppe,warm_nights,35,9.800390156062434,10.92131398013752,5.692110161766726,7.17646572345803,0.8285714285714286,7.0328350236321615,7.500003416266576,0.9714285714285714,9.973769504510614,11.153846360947616,0.8857142857142857,12.724945185398889,15.757570042320728,0.8571428571428571,29,0.8285714285714286
C_temperate,C temperate,cool_days,15,-12.308225108225118,-11.153552330022931,-13.15865902306272,-12.999997779670558,1.0,-5.212289655118445,-4.999999995408676,1.0,-8.552373061234126,-7.727272266219553,1.0,-18.370948678181165,-18.181818310376485,1.0,8,0.5333333333333333
C_temperate,C temperate,cool_nights,15,-12.16480774127834,-13.20244461420933,-9.792717481103184,-10.999996245072053,0.9333333333333333,-7.294671859828854,-8.50000001666692,0.9333333333333333,-9.740849853458817,-12.38094667646964,0.9333333333333333,-17.087389340932035,-19.655188410108224,0.9333333333333333,11,0.7333333333333333
C_temperate,C temperate,warm_days,15,14.286019862490464,13.636363636363647,12.136583192787532,11.59090839149365,1.0,8.304907834047034,7.500001754674947,1.0,12.883041297274904,12.727271971811549,1.0,20.44149102683457,19.99999469811341,1.0,13,0.8666666666666667
C_temperate,C temperate,warm_nights,15,11.209676597911903,12.282658517952648,4.193861522170434,5.142854558184643,0.7333333333333333,9.450008844728947,10.6250002914629,1.0,11.778293443796127,12.608674172503546,0.9333333333333333,13.643870366899383,14.09088888039985,0.9333333333333333,14,0.9333333333333333
Dsa_cold_dry_summer,Dsa cold dry-summer,cool_days,10,-14.939008785332325,-14.669213139801386,-13.10082463195693,-14.56144982300291,1.0,-6.515426647569837,-6.314516643249473,1.0,-12.622780105752062,-12.416665885471337,1.0,-19.616251279526768,-19.99999866263001,1.0,10,1.0
Dsa_cold_dry_summer,Dsa cold dry-summer,cool_nights,10,-10.238855996944238,-12.06746562261269,-6.930848809237422,-5.691747680276188,0.9,-7.163674539109257,-7.136364791757256,0.9,-6.620255698331493,-8.303033340917747,0.9,-14.094523348346678,-15.147059092020001,0.9,8,0.8
Dsa_cold_dry_summer,Dsa cold dry-summer,warm_days,10,16.76814362108481,16.88120702826586,13.509476602801723,12.38359828603904,1.0,8.723578684379053,8.24675317657434,1.0,16.392249484175004,17.02941138320763,1.0,22.233055287180775,22.365980086413536,1.0,10,1.0
Dsa_cold_dry_summer,Dsa cold dry-summer,warm_nights,10,9.686163101604286,10.698242933537061,4.701348254961792,4.774910339578325,0.9,7.291760696794384,8.117646700814738,0.9,10.263144464158906,11.125000539064079,0.9,11.993108951756179,13.712121187910936,0.9,9,0.9
