index_name,station_id,station_name,cluster,selection_method,feature_space,distance_to_cluster_centroid,slope_0.10,slope_0.50,slope_0.90,Delta1
cool_days,40769,Arak,1,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.3333221524819848,-7.083315511023736,-12.105260614085244,-19.999999720198925,-12.91668420917519
cool_days,40738,Gorgan,2,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.27219865962962214,-4.999999304627131,-7.857145750618205,-15.000000555558218,-10.000001250931088
cool_days,40890,Abumusa Island,3,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.49500648752504645,-7.500000018408591,-19.999999554731197,-31.562501520154065,-24.062501501745476
cool_days,40898,Chahbahar,4,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.8337823652292234,-4.166663452076941,-9.499998809496274,-37.0370279933266,-32.87036454124966
cool_nights,40844,Dorudzan,1,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.13787394530659144,6.315789233604592,9.23076908283967,2.857143203876276,-3.4586460297283166
cool_nights,40742,Biyarjomand,2,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.1017575360490526,-7.3333341167422255,-9.642883798377603,-16.785718564746645,-9.45238444800442
cool_nights,40882,Kish Island,3,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.0,-0.9090817549427316,-14.444442962957746,-49.68750207445634,-48.77842031951361
cool_nights,40758,Garmsar,4,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.0,-26.3636361616161,-19.56522697180115,-24.642856685381485,1.7207794762346147
warm_days,40758,Garmsar,1,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.4070187953549127,4.44444439262291,3.571455022775447,-1.8134149593835088e-06,-4.4444462060378696
warm_days,40859,Fasa,2,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.34479740460138547,7.142864316599027,12.72727173553058,13.939413758195684,6.796549441596657
warm_days,40833,Omidiyeh (Aghajari),3,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.30270622089170834,10.000000668010893,15.999999428084248,27.142855008314456,17.142854340303565
warm_days,40800,Esfahan,4,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.0,7.894736756452887,13.333333538160236,42.000000950499455,34.10526419404657
warm_nights,40844,Dorudzan,1,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.5036535991181739,1.1764686135342777,-4.500005735644717,-4.499998499721523,-5.676467113255801
warm_nights,40831,Abadan,2,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.42277438677323775,16.190512649946104,16.666657844722863,17.407407581160435,1.2168949312143305
warm_nights,40757,Semnan,3,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.27460276655489424,5.357142831632652,7.058823667821305,7.00000217047622,1.642859338843568
warm_nights,40857,Bushehr (Coastal),4,closest_to_cluster_centroid,"slope_0.10,slope_0.50,slope_0.90",0.19016694732608513,8.181818305785427,12.307693525503325,15.19999764897335,7.0181793431879225
