index_name,station_id,station_name,metric,signal,noise_sd,signal_to_noise,expected_direction,emerged,snr_threshold
warm_days,19996,Bahookalat,0.10,-1.6904485822775146,3.9297955947449257,0.4301619617412284,False,False,2.0
warm_days,19996,Bahookalat,0.50,1.4433875974473835,4.309869491881933,0.3349028549857826,True,False,2.0
warm_days,19996,Bahookalat,0.90,0.0338085506409137,5.19354279140183,0.006509727944648005,True,False,2.0
warm_days,19996,Bahookalat,Delta1,1.7242571329184282,5.492205236107587,0.3139462308477817,True,False,2.0
warm_days,40700,Parsabad,0.10,4.731618311915103,5.541903179777318,0.8537894218688292,True,False,2.0
warm_days,40700,Parsabad,0.50,7.1722470588944045,4.2641113877652135,1.682002744926727,True,False,2.0
warm_days,40700,Parsabad,0.90,8.935642873968465,6.108001008921898,1.4629406349010516,True,False,2.0
warm_days,40700,Parsabad,Delta1,4.204024562053362,5.666574943070154,0.7418986961770628,True,False,2.0
warm_days,40701,Maku,0.10,7.915718804743157,7.3563710971600145,1.0760358198621984,True,False,2.0
warm_days,40701,Maku,0.50,13.248791715569189,5.364585684531099,2.4696765966050966,True,True,2.0
warm_days,40701,Maku,0.90,16.622145585810888,10.13374670848232,1.64027640160944,True,False,2.0
warm_days,40701,Maku,Delta1,8.70642678106773,11.880176931731896,0.7328532925981015,True,False,2.0
warm_days,40702,Jolfa,0.10,11.019434234736693,7.276276020010923,1.51443323541211,True,False,2.0
warm_days,40702,Jolfa,0.50,11.453979127336074,2.538536910667945,4.512039623769851,True,True,2.0
warm_days,40702,Jolfa,0.90,19.60837656311308,7.593164070971578,2.582372299589215,True,True,2.0
warm_days,40702,Jolfa,Delta1,8.588942328376381,9.530999886403125,0.9011585804999664,True,False,2.0
warm_days,40703,Khoy,0.10,10.175279642278742,4.501698009387052,2.2603203549107462,True,True,2.0
warm_days,40703,Khoy,0.50,15.66860560592969,3.300097744136857,4.7479216740678165,True,True,2.0
warm_days,40703,Khoy,0.90,20.36905511259199,10.5819410279123,1.9248883601660534,True,False,2.0
warm_days,40703,Khoy,Delta1,10.19377547031325,11.835683877981216,0.8612747328675677,True,False,2.0
warm_days,40704,Ahar,0.10,7.588669877978692,5.190419038664282,1.4620534144641206,True,False,2.0
warm_days,40704,Ahar,0.50,14.533516605272212,2.9148910223806848,4.985955390332989,True,True,2.0
warm_days,40704,Ahar,0.90,20.89695207235665,10.575599075545862,1.9759591795302671,True,False,2.0
warm_days,40704,Ahar,Delta1,13.308282194377956,12.587525909680693,1.0572595671197746,True,False,2.0
warm_days,40706,Tabriz,0.10,7.6783329822815,2.974108892232422,2.581725572434572,True,True,2.0
warm_days,40706,Tabriz,0.50,15.610467042532107,4.332236945930515,3.603327158085338,True,True,2.0
warm_days,40706,Tabriz,0.90,11.528326582489235,11.964542996672169,0.9635409046292648,True,False,2.0
warm_days,40706,Tabriz,Delta1,3.8499936002077377,11.673963983558918,0.32979317099400807,True,False,2.0
warm_days,40708,Ardebil,0.10,8.748325321974441,3.838207003854597,2.279273971723974,True,True,2.0
warm_days,40708,Ardebil,0.50,10.58319250935368,3.685851070459689,2.8713022601951668,True,True,2.0
warm_days,40708,Ardebil,0.90,15.00000506106106,12.661039166698732,1.1847372765826611,True,False,2.0
warm_days,40708,Ardebil,Delta1,6.251679739086617,12.887992904507232,0.4850778383731309,True,False,2.0
warm_days,40709,Astara,0.10,6.489813347133337,2.467113369587495,2.6305290332962863,True,True,2.0
warm_days,40709,Astara,0.50,9.30837470677266,3.0156255458593475,3.086714369943467,True,True,2.0
warm_days,40709,Astara,0.90,12.482961938762667,6.794941911226482,1.837096196236577,True,False,2.0
warm_days,40709,Astara,Delta1,5.993148591629333,7.450947154271,0.8043472148630079,True,False,2.0
warm_days,40710,Sarab,0.10,6.968004933128009,3.633415454431564,1.9177561774911673,True,False,2.0
