index_name,metric,mean_200,mean_400,mean_difference,median_abs_station_difference,max_abs_station_difference,station_correlation,n_stations
warm_days,boot_mean_0.10,7.541750980269305,7.595737033511843,0.053986053242536754,0.15983365466461308,0.7938791812640815,0.9970916445059669,124
warm_days,boot_mean_0.50,12.354930053213556,12.343752602900757,-0.01117745031279915,0.13523373767588343,0.6570596725596598,0.998791062351718,124
warm_days,boot_mean_0.90,17.211333512960014,17.148128616934773,-0.06320489602523781,0.2349426195016573,1.5847615225445217,0.9985642861787658,124
warm_days,boot_mean_Delta1,9.669582532690708,9.552391583422937,-0.11719094926777412,0.2141426059891145,1.3798504969434529,0.9970349630389089,124
warm_days,boot_ci_width_0.10,18.061256654872338,18.17349187448834,0.11223521961600241,0.5950852998999352,7.885262987273006,0.9576036902260812,124
warm_days,boot_ci_width_0.50,16.112285881398467,16.466294115849028,0.35400823445056334,0.7114111063402229,7.277783514721021,0.9388651102157468,124
warm_days,boot_ci_width_0.90,31.24402549220197,30.91009549266057,-0.33392999954140196,0.6237053683402056,21.085783703286566,0.9626876509398166,124
warm_days,boot_ci_width_Delta1,34.4438450895471,34.83387810223852,0.39003301269141977,1.2187544093930356,10.992567441060793,0.9697294489669156,124
warm_nights,boot_mean_0.10,7.4035424899894675,7.432279949018722,0.028737459029254273,0.10728344038170867,0.6280778708012118,0.9986801360092527,124
warm_nights,boot_mean_0.50,10.12377063600154,10.150814208716175,0.02704357271463637,0.09638434269261964,0.6133635363067897,0.9994487519923704,124
warm_nights,boot_mean_0.90,12.527548085766538,12.490573537217044,-0.03697454854949609,0.174018408571321,1.086114516031115,0.9992444358341558,124
warm_nights,boot_mean_Delta1,5.124005595777072,5.058293588198321,-0.06571200757875051,0.1943986721705504,0.8395589826806997,0.9981431894122922,124
warm_nights,boot_ci_width_0.10,14.786980178545816,14.809076045007924,0.022095866462105422,0.5096300365323003,11.115791091559668,0.9474560562804847,124
warm_nights,boot_ci_width_0.50,13.619407846057072,13.57796245102304,-0.041445395034029345,0.5169632254915495,4.8538884883250315,0.983557667388587,124
warm_nights,boot_ci_width_0.90,19.332109085421752,19.968408949501313,0.6362998640795573,0.45031586063393547,14.42724507631964,0.9647359877710613,124
warm_nights,boot_ci_width_Delta1,23.393708435412275,23.861792421036544,0.4680839856242668,0.7826079484542579,8.121951363945403,0.9711622652385599,124
cool_days,boot_mean_0.10,-6.098844143371402,-6.078151401885949,0.020692741485452266,0.14480485652498576,0.5854311047247273,0.9967920735511423,124
cool_days,boot_mean_0.50,-8.846335305036076,-8.863456932991483,-0.0171216279554043,0.15282590778009952,0.7479010953968572,0.9970117842084398,124
cool_days,boot_mean_0.90,-15.158410009809275,-15.070627626425765,0.08778238338351214,0.3034342720318781,1.3766782714716257,0.9969530214301298,124
cool_days,boot_mean_Delta1,-9.059565866437874,-8.992476224539812,0.06708964189805962,0.2925474855781949,1.1836172853871503,0.9965913973632545,124
cool_days,boot_ci_width_0.10,13.461249374262238,13.778451691272057,0.3172023170098221,0.4987817882667196,11.341508079148426,0.9115060088611174,124
cool_days,boot_ci_width_0.50,15.596642562797571,15.73728175042358,0.14063918762601058,0.4288677281104878,4.037839921401227,0.9759809703976782,124
cool_days,boot_ci_width_0.90,32.20690897272608,32.591946878527544,0.38503790580145913,0.7317782175691665,11.875015860780735,0.9583934715693019,124
cool_days,boot_ci_width_Delta1,32.59208477123964,33.034102574599196,0.4420178033595454,0.9073723556626749,5.727995888144079,0.9759694307912035,124
cool_nights,boot_mean_0.10,-6.170426610355436,-6.163574174777229,0.006852435578206794,0.1194430618675908,0.640083611116073,0.9993378323931944,124
cool_nights,boot_mean_0.50,-7.761956113146864,-7.775453489241598,-0.013497376094735409,0.114639115819966,1.0990579347448843,0.9994057648699997,124
cool_nights,boot_mean_0.90,-12.586196546513372,-12.653000265144502,-0.0668037186311266,0.2411390491689991,2.642039125948429,0.9984481676491203,124
cool_nights,boot_mean_Delta1,-6.41576993615794,-6.489426090367274,-0.07365615420933351,0.1986563322986714,2.8645079856583244,0.9969031917077638,124
cool_nights,boot_ci_width_0.10,15.167230176085424,15.14200415783823,-0.02522601824719372,0.5437806047235263,8.838145215563728,0.9531020413240688,124
cool_nights,boot_ci_width_0.50,15.974079748553544,16.219210254527752,0.2451305059742065,0.45427920895542595,5.011369962650914,0.9836673479242596,124
cool_nights,boot_ci_width_0.90,30.407612125512028,30.49531635804716,0.08770423253513525,0.6270035735965855,11.180551651860366,0.9859464723449081,124
cool_nights,boot_ci_width_Delta1,31.661791427225456,31.871977479088812,0.2101860518633586,1.049190289254172,7.657464739213822,0.9877675048670725,124
