climate_regime,climate_regime_label,index_name,n_stations,mean_ols_slope_per_c,ols_expected_direction_fraction,mean_slope_per_c_0.10,median_slope_per_c_0.10,expected_direction_fraction_0.10,mean_slope_per_c_0.50,median_slope_per_c_0.50,expected_direction_fraction_0.50,mean_slope_per_c_0.90,median_slope_per_c_0.90,expected_direction_fraction_0.90
BWh_hot_desert,BWh hot desert,cool_days,36,-19.849768397378686,1.0,-8.785717565422093,-8.525290430195309,1.0,-15.873256618494533,-16.24377539014242,1.0,-26.07723818325459,-24.45456327711635,1.0
BWh_hot_desert,BWh hot desert,cool_nights,36,-17.571850902664334,1.0,-9.895556910240416,-9.947506185647502,1.0,-15.345554346013037,-16.169960123757257,1.0,-20.50438687164755,-20.88014135033231,1.0
BWh_hot_desert,BWh hot desert,warm_days,36,30.328318529009348,1.0,25.48407467413439,24.38656258494386,1.0,33.300060412284346,31.938774381190633,1.0,29.94171369997934,29.35016458884064,1.0
BWh_hot_desert,BWh hot desert,warm_nights,36,25.55956280796704,1.0,16.07401462090854,16.02210876591196,1.0,25.908635576571427,25.620303652737654,1.0,28.23570322675552,29.105605969504822,1.0
BWk_cold_desert,BWk cold desert,cool_days,18,-16.56671294270787,1.0,-8.870054056515475,-8.676134319550677,1.0,-14.69985917838991,-14.010982882759812,1.0,-20.368222851633245,-19.201337491079194,1.0
BWk_cold_desert,BWk cold desert,cool_nights,18,-13.076950670851156,1.0,-6.63725779963147,-7.502481208012961,0.8888888888888888,-12.37494804769867,-12.452774051650648,0.9444444444444444,-17.226662444856217,-17.58730975515933,1.0
BWk_cold_desert,BWk cold desert,warm_days,18,30.142807715174545,1.0,27.241539590717032,26.505326172483638,1.0,29.61658511057699,29.988836787374588,1.0,29.69159191840676,28.86842950166818,1.0
BWk_cold_desert,BWk cold desert,warm_nights,18,21.669535797371402,1.0,18.700777788884025,18.670193341149766,1.0,21.808495306071123,21.56020284231304,1.0,23.94842474967407,22.60934982204849,1.0
BSh_hot_steppe,BSh hot steppe,cool_days,10,-19.163656219151438,1.0,-8.580944281262854,-8.10321282352161,1.0,-16.53141758948382,-17.20121149484308,1.0,-24.824308850386817,-26.36466810362262,1.0
BSh_hot_steppe,BSh hot steppe,cool_nights,10,-16.834750197806436,1.0,-9.93752548334093,-9.90495873895054,1.0,-14.402700186744704,-18.089945849237957,0.9,-20.752372097961658,-20.914746631394866,1.0
BSh_hot_steppe,BSh hot steppe,warm_days,10,40.24430599858416,1.0,27.277268983959647,27.823808718543173,1.0,40.695596461482346,40.65970759746905,1.0,38.396424017827194,38.3428285839518,1.0
BSh_hot_steppe,BSh hot steppe,warm_nights,10,24.925552613667183,1.0,15.603610432599487,18.784849895368996,1.0,25.46787066119464,25.15952862811588,1.0,27.427913121126704,28.337706062141773,1.0
BSk_cold_steppe,BSk cold steppe,cool_days,35,-18.819892202409406,1.0,-10.596595757542822,-11.45923863145326,1.0,-15.678069985049852,-15.98610123529322,1.0,-23.114292896258362,-22.133080934210973,1.0
BSk_cold_steppe,BSk cold steppe,cool_nights,35,-15.370955580949483,0.9714285714285714,-9.602922705815622,-9.992791486244789,1.0,-13.300622041499,-14.576360628784894,0.9428571428571428,-18.783556895186337,-20.159207518839818,0.9714285714285714
BSk_cold_steppe,BSk cold steppe,warm_days,35,36.03108703199104,1.0,30.08558934695022,29.012379453745123,1.0,38.58798875849745,39.51301156396701,1.0,34.371601243146934,34.31558903409506,1.0
BSk_cold_steppe,BSk cold steppe,warm_nights,35,23.05627153376952,1.0,18.861836130742745,16.912830745715834,1.0,24.59527895574566,24.72942067118245,1.0,24.15206717960705,22.559392470522717,1.0
C_temperate,C temperate,cool_days,15,-20.022698474402358,1.0,-10.102997236901995,-10.117404663843477,1.0,-16.594818566184248,-16.405416990117384,1.0,-26.08732929669933,-29.252257943889685,1.0
C_temperate,C temperate,cool_nights,15,-17.40827768026149,1.0,-9.861697346859248,-9.13131752398435,1.0,-15.18631683562001,-15.785427059568466,1.0,-23.35821526682075,-22.83139918003287,1.0
C_temperate,C temperate,warm_days,15,36.77312521134637,1.0,27.06603273596285,27.788857173004697,1.0,38.68275018208749,36.047638847460014,1.0,35.886027480391625,33.22318748644406,1.0
C_temperate,C temperate,warm_nights,15,25.52040852231841,1.0,18.962529749097992,17.441593833578036,1.0,26.403667810089495,25.188490319293766,1.0,27.101304420745137,25.897472825378603,1.0
Dsa_cold_dry_summer,Dsa cold dry-summer,cool_days,10,-22.416581095271212,1.0,-11.891510301246573,-13.182982099925296,1.0,-17.187181499286336,-17.136060493593543,1.0,-29.74182898215036,-28.71767635783828,1.0
Dsa_cold_dry_summer,Dsa cold dry-summer,cool_nights,10,-16.149805729439798,0.9,-10.845645259852196,-10.839385502781727,1.0,-12.677662116560807,-13.466959114566619,0.9,-20.148023888020305,-21.642936874544816,0.9
Dsa_cold_dry_summer,Dsa cold dry-summer,warm_days,10,42.66706480785571,1.0,30.605425689998032,30.174980035991357,1.0,48.388965055631466,48.18834833844762,1.0,40.166069967965804,40.30847141461159,1.0
Dsa_cold_dry_summer,Dsa cold dry-summer,warm_nights,10,21.4605405798238,1.0,16.75813181666029,14.387631685741162,1.0,21.8680062169903,23.23195920485887,1.0,22.55412229614055,22.1125123988791,1.0
