index_name,station_id,station_name,ols_slope_per_c,ols_expected_direction,slope_per_c_0.10,ci_low_per_c_0.10,ci_high_per_c_0.10,expected_direction_0.10,slope_per_c_0.50,ci_low_per_c_0.50,ci_high_per_c_0.50,expected_direction_0.50,slope_per_c_0.90,ci_low_per_c_0.90,ci_high_per_c_0.90,expected_direction_0.90
warm_days,19996,Bahookalat,10.658955661674323,True,19.056250346940836,,,True,11.138610559449992,-1.369188742835723,23.646409861735705,True,9.527499489491193,,,True
warm_days,40700,Parsabad,22.665346756329377,True,22.540242475326178,,,True,22.88477933360616,14.712681730161636,31.05687693705069,True,20.051311174390175,,,True
warm_days,40701,Maku,37.89402350576836,True,32.70162744816055,,,True,44.40873932400977,32.98639428447503,55.83108436354451,True,32.90742717143283,,,True
warm_days,40702,Jolfa,31.895409670629768,True,32.99249381267117,,,True,34.674681134103395,23.76845651304873,45.58090575515806,True,30.15116758448995,,,True
warm_days,40703,Khoy,39.26062591811627,True,27.634939656479123,,,True,41.89788041133495,31.008825546041365,52.78693527662854,True,39.97117062648382,,,True
warm_days,40704,Ahar,34.0313511767081,True,29.012379453745123,,,True,34.89628393912072,24.249413319436247,45.5431545588052,True,32.0819238431951,,,True
warm_days,40706,Tabriz,31.139011571188117,True,30.701739676878134,,,True,31.22632923271605,21.641553877577817,40.81110458785429,True,30.371084845255606,,,True
warm_days,40708,Ardebil,27.58577061911093,True,21.006852909179706,,,True,26.56223098242812,18.643265194781634,34.481196770074604,True,24.389108309239955,,,True
warm_days,40709,Astara,25.4959369880086,True,22.50114346172294,,,True,26.942170595735348,14.070884564667208,39.813456626803486,True,26.532551860858966,,,True
warm_days,40710,Sarab,35.094953681917104,True,34.00932600018082,,,True,35.08960326268281,26.354199985930123,43.82500653943549,True,34.31558903409506,,,True
warm_days,40712,Orumiyeh,44.093241495096905,True,42.175945213784146,,,True,52.951715570052734,40.26031758377941,65.64311355632606,True,37.89936396167716,,,True
warm_days,40713,Maragheh-Synoptic,54.817786657429146,True,29.52323597988442,,,True,62.399820888404804,41.906079196350454,82.89356258045916,True,47.36255299038566,,,True
warm_days,40716,Mianeh,38.07207412718443,True,48.51816742557742,,,True,41.37624040325361,30.208875554074172,52.54360525243305,True,36.973330565827695,,,True
warm_days,40717,Khalkhal,39.2212150417101,True,39.403044329569376,,,True,43.61397195605184,29.84476508922216,57.38317882288152,True,32.95596947944752,,,True
warm_days,40718,Bandar-E-Anzali,55.91766490120068,True,31.94533224519146,,,True,64.123476589541,32.62153197618002,95.62542120290198,True,59.40307246095897,,,True
warm_days,40719,Rasht,15.96403167144268,True,14.297217133362063,,,True,14.296078249459987,8.298626229689296,20.29353026923068,True,16.428362103590025,,,True
warm_days,40723,Bojnurd,22.18099898109592,True,15.979244201265065,,,True,23.21597587398848,12.097029390742888,34.33492235723407,True,20.806735010400672,,,True
warm_days,40724,Piranshahr,44.17802350292068,True,31.488506748708772,,,True,55.82034536846585,42.181426849379655,69.45926388755205,True,40.03862411092313,,,True
warm_days,40726,Mahabad,37.57095978941394,True,28.17421763766166,,,True,42.689598736378805,29.843916654585136,55.535280818172474,True,35.300319000939446,,,True
warm_days,40727,Saqez,36.030764532622364,True,29.423496789262316,,,True,37.009094690340724,25.680386851810724,48.337802528870725,True,36.09709176826521,,,True
warm_days,40728,Takab,38.276764839911415,True,26.028282031418687,,,True,45.90626031688065,30.574993804778288,61.23752682898301,True,37.34643384754283,,,True
warm_days,40729,Zanjan,52.49439634847827,True,39.40304905002024,,,True,50.648144406813884,29.986370321209055,71.30991849241872,True,49.90919379501658,,,True
warm_days,40730,Khorramdareh,37.27109038892396,True,37.246455767622486,,,True,39.51301156396701,28.096923504507085,50.929099623426936,True,40.853263342368514,,,True
warm_days,40731,Qazvin,33.87498823996894,True,34.38134735674728,,,True,33.41133668408706,21.209573144453493,45.61310022372063,True,29.602198580166768,,,True
warm_days,40732,Ramsar,35.74210784224215,True,24.18871876978907,,,True,42.91088584300086,26.9407828468068,58.88098883919493,True,30.97909064106867,,,True
warm_days,40734,Nowshahr,33.44097425518979,True,22.275144997466633,,,True,36.047638847460014,21.01259266893488,51.08268502598515,True,33.22318748644406,,,True
warm_days,40736,Babolsar,28.82374596752011,True,10.166397925194676,,,True,25.998848715251718,13.935921571860879,38.061775858642555,True,31.48119987377435,,,True
warm_days,40737,Gharakhil,29.514677755420735,True,20.964842287267896,,,True,28.075202823657538,16.057754788608307,40.09265085870677,True,27.2127902548035,,,True
warm_days,40738,Gorgan,29.305371713947416,True,15.430062038512299,,,True,33.868297020283,22.007128369867424,45.72946567069858,True,26.368992241412336,,,True
warm_days,40739,Shahrud,21.57628571759257,True,26.19009651559585,,,True,21.740540545742927,12.981896902376828,30.499184189109027,True,21.8876540957036,,,True
warm_days,40740,Quchan,21.90556970097947,True,22.292096668902918,,,True,19.304328475498803,9.471206171467744,29.137450779529864,True,20.57475666764679,,,True
warm_days,40741,Sarakhs,26.235394835030853,True,21.86634797116448,,,True,27.59634031657557,14.236830875412572,40.95584975773857,True,25.014463919712547,,,True
warm_days,40742,Biyarjomand,24.066953895448016,True,25.69809774098442,,,True,25.67534831529961,14.004569913463211,37.346126717136,True,22.34581539813107,,,True
warm_days,40743,Sabzevar,24.74134029106594,True,26.06107140371633,,,True,28.033853859128605,17.001982137448476,39.06572558080873,True,24.131903056236233,,,True
warm_days,40744,Golmakan,30.20875072650607,True,26.820555829371422,,,True,31.972193485130262,15.409633120679953,48.53475384958057,True,28.947669273075082,,,True
warm_days,40745,Mashhad,26.638836114567916,True,21.47571155523333,,,True,25.959872313027144,12.688147478112528,39.23159714794176,True,26.890543160017813,,,True
warm_days,40746,Neyshabur,26.136206118387157,True,26.845885645788268,,,True,27.18533674319889,13.878152513578748,40.49252097281903,True,26.511425991991956,,,True
warm_days,40747,Sanandaj,41.853026332945454,True,38.6502694120607,,,True,46.916464339713045,28.059489078795508,65.77343960063058,True,40.813706289982676,,,True
warm_days,40748,Bijar,45.915172169407015,True,25.934389566869882,,,True,50.17259616802374,33.01679583740003,67.32839649864744,True,40.23157697855593,,,True
warm_days,40749,Zarrineh,42.965289050753384,True,28.459902600597623,,,True,54.60685685221705,35.32111435372961,73.89259935070449,True,40.57831871830005,,,True
warm_days,40751,Tehran (Shemiran),41.79318412545211,True,26.745444579266586,,,True,51.40044392181853,29.25124504868867,73.54964279494838,True,42.955232834167866,,,True
warm_days,40752,Karaj,34.7154296407319,True,37.06781159595125,,,True,37.75788492087767,25.87011602044882,49.645653821306524,True,30.187010958967836,,,True
warm_days,40754,Tehran (Mehrabad Airport),20.761606858042647,True,18.71060998140025,,,True,23.377891422451036,15.329031571253086,31.426751273648986,True,23.203754429206487,,,True
warm_days,40755,Abali,32.61758950383642,True,40.52473031850136,,,True,28.94185266342803,16.97507423955036,40.9086310873057,True,31.268077023201304,,,True
warm_days,40757,Semnan,28.81706308008937,True,27.061971732502872,,,True,31.035820911321146,19.359612722951663,42.712029099690625,True,28.67169065660525,,,True
warm_days,40758,Garmsar,21.018701764279175,True,22.9865515196199,,,True,20.12754185171418,11.706840910690374,28.548242792737987,True,19.773580064903957,,,True
warm_days,40762,Torbat-E Heydariyeh,31.95165111623034,True,17.82437974459344,,,True,32.30048626671089,16.133111593001537,48.467860940420245,True,32.21642316561954,,,True
warm_days,40763,Kashmar,26.72491926158303,True,26.443748807749085,,,True,28.889723942162256,15.970838240110316,41.808609644214194,True,24.389100593070353,,,True
warm_days,40764,Ravansar,45.13344502786743,True,45.02131334462881,,,True,47.41945002682696,30.795292785875912,64.043607267778,True,41.177327765517134,,,True
