index_name,tau,method_left,method_right,n_cells,surface_correlation,surface_rmse
warm_days,0.1,thin_plate_spline,linear_rbf,26368,0.20205378510480226,12.42550553465818
warm_days,0.1,thin_plate_spline,linear,26368,0.1934989077602275,12.428466048218025
warm_days,0.1,linear_rbf,linear,26368,0.9290905082498769,0.8019933735443134
warm_nights,0.1,thin_plate_spline,linear_rbf,26368,0.24459573042348273,13.301459458229564
warm_nights,0.1,thin_plate_spline,linear,26368,0.24593205272489493,13.252333123655564
warm_nights,0.1,linear_rbf,linear,26368,0.8905225795903294,1.0198697166340993
cool_days,0.1,thin_plate_spline,linear_rbf,26368,0.2104520482343321,17.008583267140494
cool_days,0.1,thin_plate_spline,linear,26368,0.1863600934063593,17.02867307251152
cool_days,0.1,linear_rbf,linear,26368,0.9240516141605805,0.8627467573282365
cool_nights,0.1,thin_plate_spline,linear_rbf,26368,0.1787321744532437,17.229100180217728
cool_nights,0.1,thin_plate_spline,linear,26368,0.23330033644780201,17.02479580925681
cool_nights,0.1,linear_rbf,linear,26368,0.8424167155294243,2.0334201155664284
warm_days,0.9,thin_plate_spline,linear_rbf,26368,0.15488257006672054,40.908086811948955
warm_days,0.9,thin_plate_spline,linear,26368,0.14649575492364816,40.938732001696856
warm_days,0.9,linear_rbf,linear,26368,0.9085131028578848,2.612998098832874
warm_nights,0.9,thin_plate_spline,linear_rbf,26368,0.16553960936034234,28.24644676809699
warm_nights,0.9,thin_plate_spline,linear,26368,0.21889785089112018,27.94970689634228
warm_nights,0.9,linear_rbf,linear,26368,0.8640911182946095,2.7869128468169384
cool_days,0.9,thin_plate_spline,linear_rbf,26368,0.23597798385857574,38.3570160076663
cool_days,0.9,thin_plate_spline,linear,26368,0.24193147363298412,38.2603015750306
cool_days,0.9,linear_rbf,linear,26368,0.9289778064118634,1.6422268768690123
cool_nights,0.9,thin_plate_spline,linear_rbf,26368,0.07015699383860677,60.66398253094759
cool_nights,0.9,thin_plate_spline,linear,26368,0.1146523489957724,60.41710259599764
cool_nights,0.9,linear_rbf,linear,26368,0.9021007628380251,2.7136324917747903
