index_name,station_id,station_name,boot_mean_0.10_200,boot_mean_0.50_200,boot_mean_0.90_200,boot_mean_Delta1_200,boot_ci_low_0.10_200,boot_ci_high_0.10_200,boot_ci_low_0.50_200,boot_ci_high_0.50_200,boot_ci_low_0.90_200,boot_ci_high_0.90_200,boot_ci_low_Delta1_200,boot_ci_high_Delta1_200,n_reps_200,boot_ci_width_0.10_200,boot_ci_width_0.50_200,boot_ci_width_0.90_200,boot_ci_width_Delta1_200,n_years,n_reps_400,boot_mean_0.10_400,boot_sd_0.10,boot_median_0.10,boot_ci_low_0.10_400,boot_ci_high_0.10_400,boot_mean_0.50_400,boot_sd_0.50,boot_median_0.50,boot_ci_low_0.50_400,boot_ci_high_0.50_400,boot_mean_0.90_400,boot_sd_0.90,boot_median_0.90,boot_ci_low_0.90_400,boot_ci_high_0.90_400,boot_mean_Delta1_400,boot_sd_Delta1,boot_median_Delta1,boot_ci_low_Delta1_400,boot_ci_high_Delta1_400,boot_mean_Delta2,boot_sd_Delta2,boot_median_Delta2,boot_ci_low_Delta2,boot_ci_high_Delta2,boot_mean_Delta3,boot_sd_Delta3,boot_median_Delta3,boot_ci_low_Delta3,boot_ci_high_Delta3,boot_ci_width_0.10_400,boot_ci_width_0.50_400,boot_ci_width_0.90_400,boot_ci_width_Delta1_400
warm_days,19996,Bahookalat,-1.6904485822775146,1.4433875974473835,0.0338085506409137,1.7242571329184282,-11.016669282051568,4.303575957220978,-10.952152977280614,6.016665303010044,-6.666655047752015,13.46153367841169,-7.765460958421027,16.176129893306737,200,15.320245239272547,16.96881828029066,20.128188726163707,23.941590851727764,31,400,-1.8666791254381723,4.120592164268341,-1.7647094353982644,-11.000000358066023,8.181811244854742,1.2125734586726198,4.752912101453643,2.3809501610773567,-10.92482985765823,6.68749897416918,-0.09264000940433097,5.4420556165233664,-1.1764742356864337,-8.999999186618485,13.46153537014673,1.7740391160338413,5.614427942015699,0.6060631953665154,-7.841959651629641,15.634696069399542,-1.3052134680769507,5.3874902017448605,-2.3249473876189684,-9.332459781023907,12.515145670494622,3.079252584110792,3.876790199258259,3.2698209874821895,-4.334901802500035,9.897922396460606,19.181811602920767,17.61232883182741,22.461534556765216,23.476655721029182
warm_days,40700,Parsabad,4.731618311915103,7.1722470588944045,8.935642873968465,4.204024562053362,-5.353861579349054,19.999997819884346,-0.0250000723721356,15.312501348347952,-3.749999076140876,19.99999968909096,-5.389898208383046,17.543276745104652,200,25.3538593992334,15.337501420720088,23.749998765231837,22.933174953487697,34,400,4.712929150690438,5.169821295530434,4.090910559036768,-5.333333535930832,19.999988050338384,7.35049360616091,4.206135287199368,6.15384415276793,1.716976953004839e-06,15.501388635803153,8.556433952734167,6.120954316707628,8.518521187101761,-3.750000660244937,19.11363293239103,3.8435048020437286,5.796760738859308,3.7351972445424937,-7.097815260784957,16.329946091829814,1.2059403465732563,4.536607810259376,1.4517495323265148,-8.167354711422963,9.445346478003652,2.6375644554704722,5.0329013736120745,2.575759344133521,-8.339265180349056,12.819472447831076,25.333321586269214,15.5013869188262,22.863633592635967,23.427761352614773
warm_days,40701,Maku,7.915718804743157,13.248791715569189,16.622145585810888,8.70642678106773,-5.999999427355329,28.050000268391965,2.4999994994687187,21.000861756019084,-5.88234854374574,45.71426462188363,-11.475001496405548,36.96707843669771,200,34.049999695747296,18.500862256550366,51.59661316562937,48.44207993310326,34,400,7.841579630869551,7.431475482728066,6.428570647305115,-6.010714339565417,28.0500015864704,13.118621178858346,5.0531028528402695,13.117410600239975,2.4951900140721914,20.67500106028449,16.517484500816735,10.125036946207198,16.92307618298038,-2.6315806762219807,42.63157758010435,8.675904869947185,12.160133331771004,7.775147665463262,-11.475001496405547,36.967078436697705,3.3988633219583915,9.869940407233086,2.929817990777516,-11.610669125416974,26.93185558666982,5.277041547988793,6.659991677237734,6.0714276825747255,-11.897219830346154,16.079324633702704,34.06071592603582,18.1798110462123,45.26315825632633,48.44207993310325
warm_days,40702,Jolfa,11.019434234736693,11.453979127336074,19.60837656311308,8.588942328376381,-2.6666665677839188,27.27272602060086,6.231250078933055,15.71985865741202,2.2142861810959857,34.54545405379361,-13.05831063491067,28.336525868719782,200,29.939392588384777,9.488608578478965,32.33116787269763,41.39483650363045,34,400,11.143723935403505,7.47916554919998,12.105262833753661,-2.6666665677839188,27.272720989833726,11.353974774800603,2.686823392271733,10.95454341400399,5.82499859660806,15.937438968511316,18.797819862025154,8.774765324294346,17.77777859904648,-1.428570660061026,33.5522877258025,7.654095926621651,11.426400716002197,9.813665188662554,-14.553912537155455,29.951908976590286,7.443845087224551,7.837483958072484,8.096305931007485,-9.890110540258489,21.778281137148525,0.21025083939710057,6.81350748770553,0.5164250328384483,-15.275845317822737,11.891679392126642,29.939387557617643,10.112440371903256,34.98085838586353,44.505821513745744
warm_days,40703,Khoy,10.175279642278742,15.66860560592969,20.36905511259199,10.19377547031325,0.6499935893842321,16.521738046014505,7.500015337030705,19.999999106393933,2.565789627381513,47.22222091340582,-7.579891104070866,39.15481968295241,200,15.871744456630273,12.499983769363228,44.65643128602431,46.734710787023275,34,400,10.486554324424294,4.170022267253849,11.052626605358187,0.6666791710868649,16.521739003386845,15.67922178838991,3.0258780597822743,15.714286499485265,8.315476778748842,19.999999106393933,21.073891356506774,10.478169949183501,24.117646435134446,3.3333331425904844,47.241665067147835,10.587337032082482,11.840987360026876,11.15384650319572,-8.341065706699059,39.2630337761377,5.394669568116866,10.497060742162947,5.027476841074591,-10.710483553395479,32.55858120768076,5.192667463965616,3.480999842231534,5.13583219654642,-2.1180876560816397,12.787380219329512,15.855059832299979,11.684522327645091,43.90833192455735,47.60409948283676
warm_days,40704,Ahar,7.588669877978692,14.533516605272212,20.89695207235665,13.308282194377956,-3.34999944012948,17.27272724127642,8.88541828401506,18.76562480536724,7.368548554542864,47.7777695263766,-5.864719808147761,44.4856518727582,200,20.6227266814059,9.880206521352179,40.40922097183374,50.35037168090596,34,400,7.420333111449242,4.96891274057467,7.22222608727525,-1.11111078966599,17.272727018141985,14.22996783960224,3.0206858330295208,15.000000096153826,8.74176167188018,19.285715551223646,21.310525439311306,10.942034513981062,20.000001552280622,7.368424899942136,47.777771984677365,13.890192327862062,12.697342548321092,12.813765246883356,-5.844155895737024,45.07574491841194,7.0805575997090635,11.514538286537297,6.842124440453725,-7.738306292743737,37.1583246233944,6.809634728152998,4.419652685164465,7.098213948202154,-2.7815201426990317,15.468172015966436,18.383837807807975,10.543953879343466,40.40934708473523,50.91990081414897
warm_days,40706,Tabriz,7.6783329822815,15.610467042532107,11.528326582489235,3.8499936002077377,0.7692310920175391,14.13008832428156,7.058823612732013,21.999998585287308,-0.541668257749195,46.70587650944434,-16.166657239610828,38.37269092589109,200,13.36085723226402,14.941174972555295,47.24754476719353,54.53934816550192,34,400,7.561592677089715,2.9245168047396217,7.999999568517475,0.7692310920175391,13.333333127036969,15.204561502536926,4.659721366598804,15.714283658889617,3.684021479545492,21.545465390177803,11.53002828293777,12.614759232432544,10.000000898677733,-21.66666446127974,46.66666400920035,3.968435605848057,12.361210265119816,2.4999966012642703,-27.083337267969323,38.33332633442243,-3.6745332195991534,12.310791308171964,-5.654761969231895,-27.51369129973599,28.178641549288322,7.642968825447209,3.8961342787286743,8.202400007401126,-2.5233244533027137,13.288885532622466,12.56410203501943,17.86144391063231,68.3333284704801,65.41666360239175
warm_days,40708,Ardebil,8.748325321974441,10.58319250935368,15.00000506106106,6.251679739086617,-1.8749972324225248,13.333331400281152,1.1764724131609194,15.342858506695036,-19.090893768835915,44.66665299284399,-15.457384406836317,35.182239905402945,200,15.208328632703676,14.166386093534117,63.757546761679905,50.63962431223926,34,400,8.560188607679065,3.697456056516722,9.999995145442945,-0.8333318858426289,13.333332213262175,10.27929243176976,3.548800660293865,10.000000418479491,1.1764724131609194,15.714277894132692,15.119761903525267,11.431596887964522,12.608701538193493,-4.024998519002345,44.66665299284399,6.559573295846202,11.816006150781375,5.961539380423324,-14.024989313408064,35.166669962966076,4.840469471755511,11.80828744599257,3.6086999323656377,-13.018754250715737,35.29194487904317,1.7191038240906926,3.544262009990148,1.6000016923003724,-4.469649012491924,9.204973519084058,14.166664099104803,14.537805480971773,48.69165151184634,49.19165927637414
warm_days,40709,Astara,6.489813347133337,9.30837470677266,12.482961938762667,5.993148591629333,5.648889385276412e-05,11.818181695152242,4.000007643677896,14.819442532777874,-4.166643069725483,22.471433175832587,-9.908923667947043,19.104133346949315,200,11.81812520625839,10.819434889099977,26.638076245558068,29.013057014896358,34,400,6.643016123687159,2.387944932793225,6.956529653223068,2.5000011087457845,11.818181331040911,9.364092549947465,2.9587797542636647,8.999998109724306,4.285737073746107,14.842683122224672,12.480685834435798,6.603795534552437,13.21428627414952,-4.166643069725483,26.016661342480226,5.8376697107486395,7.129323169425967,6.029383149074187,-9.908923667947043,19.62499878418827,3.116593284488334,6.419605846647102,2.5863059156499633,-11.712119919335153,16.11539601431878,2.721076426260305,2.6206887261687575,2.63883203134243,-1.5371602455102638,7.8607129525814425,9.318180222295126,10.556946048478565,30.183304412205707,29.533922452135315
warm_days,40710,Sarab,6.968004933128009,12.148656379089834,11.059264808387509,4.091259875259499,-2.499983964457553,12.021428903495549,0.5000574459366244,19.99999991698682,-7.777777830862918,40.66662996123854,-16.789245215840324,31.744640928952798,200,14.521412867953103,19.499942471050197,48.44440779210146,48.53388614479312,34,400,6.963944978377237,3.726637968038559,8.000047381203608,-2.499993965344,12.857142855506131,12.073047865634146,5.682163769961273,12.50000054181916,0.5000028169276372,19.999998347788235,10.956581694200914,10.917005578066405,12.857143244252423,-7.7807221179667225,39.50350709835401,3.9926367158236746,10.998804265804889,5.47077844348166,-16.7266072930221,31.744640928952787,-1.1164661714332351,10.749827931027836,-0.7142886859519617,-20.65608966314723,23.309534554705458,5.109102887256911,5.02586675388827,5.6822861636776585,-5.359476413319661,14.222205947683078,15.357136820850132,19.4999955308606,47.28422921632073,48.47124822197489
