index_name,station_id,station_name,cluster_baseline,cluster_hierarchical_complete_euclidean,cluster_hierarchical_ward_euclidean,cluster_hierarchical_average_cityblock,cluster_kmeans
cool_days,19996,Bahookalat,2,1,1,3,3
cool_days,40700,Parsabad,2,1,1,3,1
cool_days,40701,Maku,1,2,2,4,2
cool_days,40702,Jolfa,2,1,1,3,1
cool_days,40703,Khoy,1,2,4,4,3
cool_days,40704,Ahar,2,1,1,3,1
cool_days,40706,Tabriz,2,1,4,4,3
cool_days,40708,Ardebil,2,1,1,3,1
cool_days,40709,Astara,2,1,1,3,3
cool_days,40710,Sarab,2,1,1,3,1
cool_days,40712,Orumiyeh,2,4,2,2,2
cool_days,40713,Maragheh-Synoptic,1,4,2,4,2
cool_days,40716,Mianeh,1,2,2,4,2
cool_days,40717,Khalkhal,2,2,4,4,3
cool_days,40718,Bandar-E-Anzali,2,1,1,3,1
cool_days,40719,Rasht,2,1,1,3,1
cool_days,40723,Bojnurd,2,1,1,3,3
cool_days,40724,Piranshahr,2,2,4,4,3
cool_days,40726,Mahabad,2,1,4,3,3
cool_days,40727,Saqez,2,1,1,3,3
cool_days,40728,Takab,1,2,4,4,3
cool_days,40729,Zanjan,1,2,3,4,4
cool_days,40730,Khorramdareh,2,1,1,3,3
cool_days,40731,Qazvin,1,2,4,4,4
cool_days,40732,Ramsar,2,1,1,3,1
cool_days,40734,Nowshahr,2,1,1,3,3
cool_days,40736,Babolsar,2,1,1,3,1
cool_days,40737,Gharakhil,2,1,1,3,1
cool_days,40738,Gorgan,2,1,1,3,3
cool_days,40739,Shahrud,2,1,1,3,1
cool_days,40740,Quchan,2,1,1,3,1
cool_days,40741,Sarakhs,2,2,1,4,3
cool_days,40742,Biyarjomand,2,1,1,3,3
cool_days,40743,Sabzevar,2,1,1,3,1
cool_days,40744,Golmakan,2,1,1,3,1
cool_days,40745,Mashhad,2,1,1,3,1
cool_days,40746,Neyshabur,2,1,1,3,3
cool_days,40747,Sanandaj,1,2,3,4,4
cool_days,40748,Bijar,1,2,3,4,4
cool_days,40749,Zarrineh,1,2,3,4,4
cool_days,40751,Tehran (Shemiran),1,2,3,4,4
cool_days,40752,Karaj,1,2,3,4,4
cool_days,40754,Tehran (Mehrabad Airport),2,1,1,3,1
cool_days,40755,Abali,2,2,4,4,4
cool_days,40757,Semnan,2,2,4,4,3
cool_days,40758,Garmsar,2,1,1,3,1
cool_days,40762,Torbat-E Heydariyeh,1,2,3,4,4
cool_days,40763,Kashmar,2,2,4,4,3
cool_days,40764,Ravansar,1,4,2,4,2
cool_days,40765,Sarpol-E-Zahab,1,2,4,4,2
cool_days,40766,Kermanshah,2,1,1,3,1
cool_days,40768,Hamedan (Airport),1,2,3,4,4
cool_days,40769,Arak,1,2,4,4,4
cool_days,40770,Qom,1,2,4,4,3
cool_days,40771,Kangavar,1,2,3,4,4
cool_days,40772,Qorveh,1,2,3,4,4
cool_days,40774,Borujerd,2,2,4,4,3
cool_days,40778,Gonabad,1,2,3,4,4
cool_days,40779,Eslamabad-E-Gharb,2,1,1,3,1
cool_days,40780,Ilam,1,2,2,4,2
cool_days,40782,Khorramabad,1,2,4,4,4
cool_days,40783,Aligudarz,1,2,4,4,3
cool_days,40785,Kashan,2,2,4,4,3
cool_days,40787,Daran,1,2,2,4,2
cool_days,40789,Khur-Va-Biabanak,2,2,4,4,3
cool_days,40790,Robat-E-Poshtebadam,2,1,1,3,1
cool_days,40791,Tabas,1,2,4,4,3
cool_days,40792,Ferdows,2,1,1,3,1
cool_days,40793,Qaen,2,2,3,4,4
cool_days,40794,Safiabad (Dezful),2,1,4,4,1
cool_days,40796,Dehloran,1,2,3,4,4
cool_days,40797,Kuhrang,1,4,2,4,2
cool_days,40798,Shahrekord,1,2,2,4,4
cool_days,40799,Ardestan,1,2,4,4,4
cool_days,40800,Esfahan,1,2,2,4,4
cool_days,40801,Naein,2,1,1,3,3
cool_days,40802,Esfahan (Airport),2,1,1,3,3
cool_days,40803,Kabutarabad,1,2,2,4,2
