comparison,index_name,metric,n_pairs,mean_base,mean_alt,mean_abs_diff,correlation,alternative
bootstrap_method:meboot,cool_days,boot_mean_0.10,124,-6.098844143371402,-5.374427116809572,0.9716883272729688,0.9306019002555531,meboot
bootstrap_method:meboot,cool_days,boot_ci_low_0.10,124,-13.959997075082956,-8.40030730221016,5.596910856047007,0.39287172006318477,meboot
bootstrap_method:meboot,cool_days,boot_ci_high_0.10,124,-0.4987477008207214,-2.5546855333027856,2.4694462964593207,0.7536354128477099,meboot
bootstrap_method:meboot,cool_days,boot_mean_0.90,124,-15.158410009809275,-18.380390394528938,3.3363503879244507,0.9267771566557306,meboot
bootstrap_method:meboot,cool_days,boot_ci_low_0.90,124,-31.24749761587956,-30.007753105834734,3.2757926876466588,0.9374454605868617,meboot
bootstrap_method:meboot,cool_days,boot_ci_high_0.90,124,0.9594113568465282,-7.617450647958572,8.605119257283135,0.429799823977126,meboot
bootstrap_method:meboot,cool_nights,boot_mean_0.10,124,-6.170426610355436,-5.632259045902677,1.0849410453613577,0.9618754654654574,meboot
bootstrap_method:meboot,cool_nights,boot_ci_low_0.10,124,-14.4640571827922,-8.923181833559154,5.577726173966742,0.706115577401959,meboot
bootstrap_method:meboot,cool_nights,boot_ci_high_0.10,124,0.7031729932932225,-2.193805332618299,3.2826996395189445,0.9261901709622862,meboot
bootstrap_method:meboot,cool_nights,boot_mean_0.90,124,-12.586196546513372,-15.493209173689158,3.1922280025072527,0.9285197191255478,meboot
bootstrap_method:meboot,cool_nights,boot_ci_low_0.90,124,-27.797098675460184,-25.142193629675166,3.7538436568609117,0.9008628921422892,meboot
bootstrap_method:meboot,cool_nights,boot_ci_high_0.90,124,2.610513450051846,-6.845890560116159,9.609826855848505,0.7304539076595292,meboot
bootstrap_method:meboot,warm_days,boot_mean_0.10,124,7.541750980269305,7.789984512034821,1.161226586306287,0.8820238161362383,meboot
bootstrap_method:meboot,warm_days,boot_ci_low_0.10,124,-1.5875180314473394,4.192095390530983,5.878122858590786,0.6479085812897148,meboot
bootstrap_method:meboot,warm_days,boot_ci_high_0.10,124,16.473738623425003,11.619469607684167,5.030378879318966,0.5276709311731156,meboot
bootstrap_method:meboot,warm_days,boot_mean_0.90,124,17.211333512960014,17.484523259951978,2.268015519347967,0.922456805914671,meboot
bootstrap_method:meboot,warm_days,boot_ci_low_0.90,124,1.0114873447087223,9.296841391138717,8.528274300828317,0.5974503257735488,meboot
bootstrap_method:meboot,warm_days,boot_ci_high_0.90,124,32.25551283691069,24.37572399591573,8.199533703045207,0.8002657312306001,meboot
bootstrap_method:meboot,warm_nights,boot_mean_0.10,124,7.4035424899894675,7.691181201913907,1.1511221590927492,0.9466645168221975,meboot
bootstrap_method:meboot,warm_nights,boot_ci_low_0.10,124,-0.3004880966374408,4.306911912683146,4.906517292540868,0.7934728729804476,meboot
bootstrap_method:meboot,warm_nights,boot_ci_high_0.10,124,14.486492081908375,11.31300207468304,3.356078664281097,0.7615792420278833,meboot
bootstrap_method:meboot,warm_nights,boot_mean_0.90,124,12.527548085766538,12.65520313364484,1.6826904111958283,0.9572996123269036,meboot
bootstrap_method:meboot,warm_nights,boot_ci_low_0.90,124,2.774159733957821,6.982936223226354,4.75182921265425,0.8931747059124768,meboot
bootstrap_method:meboot,warm_nights,boot_ci_high_0.90,124,22.106268819379572,17.642802018101424,5.180655871182303,0.7673183507478192,meboot
