index_name,metric,predictor,std_beta,std_beta_pvalue,model_r2,spearman_rho,spearman_pvalue,n_stations
cool_days,slope_0.10,latitude,-0.01594341050604301,0.8788078945729706,0.02835922251303491,-0.034804146033317725,0.7011609687129335,124
cool_days,slope_0.10,longitude,0.09771799958622192,0.3405862386720657,0.02835922251303491,0.08241699449252556,0.3628164822462918,124
cool_days,slope_0.10,elevation,-0.1145650182489133,0.21957349937508996,0.02835922251303491,-0.1342474720619459,0.13714316691343878,124
cool_days,slope_0.50,latitude,0.373479914390481,0.00022812018666087494,0.13816963808720562,0.16534093680734363,0.0664813472182902,124
cool_days,slope_0.50,longitude,0.32042975095718523,0.0011488859265137998,0.13816963808720562,0.2026939417781274,0.023962207389860324,124
cool_days,slope_0.50,elevation,-0.15401812524235808,0.08067800069146451,0.13816963808720562,-0.1934482878004475,0.03134145288902649,124
cool_days,slope_0.90,latitude,0.448293895188753,1.9659971542129224e-06,0.28293335362116134,0.11653204804427966,0.19743289377922102,124
cool_days,slope_0.90,longitude,0.4605071734153005,6.699326055841158e-07,0.28293335362116134,0.3524343036978756,5.960129963538974e-05,124
cool_days,slope_0.90,elevation,0.2124986442210451,0.00876838491850653,0.28293335362116134,0.13118845378020524,0.1464064202035341,124
cool_days,Delta1,latitude,0.4504015847733269,1.4984173579738944e-06,0.29408855867295824,0.2058728652604677,0.02179534197565147,124
cool_days,Delta1,longitude,0.40969413195912785,6.817384083077999e-06,0.29408855867295824,0.22908575924468919,0.010488757633761846,124
cool_days,Delta1,elevation,0.26318461302153284,0.001168909808597199,0.29408855867295824,0.2131871382768646,0.017439622376214246,124
cool_nights,slope_0.10,latitude,0.1293689933044571,0.2162581162626293,0.033326823223578717,0.0581432858274297,0.5212355770179358,124
cool_nights,slope_0.10,longitude,0.184075906961416,0.07326556571121016,0.033326823223578717,0.17233044846577497,0.05563292368925823,124
cool_nights,slope_0.10,elevation,0.06601033860846768,0.4772935537256689,0.033326823223578717,0.0005538963143892556,0.9951285769176803,124
cool_nights,slope_0.50,latitude,0.16082973275248505,0.11926007226911726,0.06230632117432511,0.2304928882660419,0.010011223474207069,124
cool_nights,slope_0.50,longitude,0.14982944982489216,0.13796164314688902,0.06230632117432511,0.08361290322580645,0.35587055978674925,124
cool_nights,slope_0.50,elevation,0.17382143622332596,0.059039566825368615,0.06230632117432511,0.17635618050812907,0.050075829685067616,124
cool_nights,slope_0.90,latitude,0.2589281006529156,0.008494604698648319,0.16430835293932133,0.12073347086320353,0.18164517790782517,124
cool_nights,slope_0.90,longitude,0.2823048357476725,0.0034839442028454337,0.16430835293932133,0.18547915027537368,0.03916756336456146,124
cool_nights,slope_0.90,elevation,0.2706840757594618,0.0021000821489985493,0.16430835293932133,0.2890866690389423,0.001128549496710791,124
cool_nights,Delta1,latitude,0.21049052465843185,0.03506653694099758,0.12980408218747874,0.02868611909699711,0.751801331260163,124
cool_nights,Delta1,longitude,0.1989963823767315,0.041665186947827774,0.12980408218747874,0.11288749016522423,0.21191195454064002,124
cool_nights,Delta1,elevation,0.2691194647505266,0.0027031751111844956,0.12980408218747874,0.2952487655365228,0.0008716189760192406,124
warm_days,slope_0.10,latitude,-0.08586884002619906,0.35641503204932395,0.23215480614962614,0.08771374935297933,0.33268715376571617,124
warm_days,slope_0.10,longitude,-0.4895799638321957,3.536536465330874e-07,0.23215480614962614,-0.42899134539732486,6.653893584559701e-07,124
warm_days,slope_0.10,elevation,0.11810029786646453,0.155001833973334,0.23215480614962614,0.1573632017732475,0.08090349015151642,124
warm_days,slope_0.50,latitude,-0.17848869561637143,0.07161864477283299,0.13931517430056795,-0.04862950217079533,0.5917177865794657,124
warm_days,slope_0.50,longitude,-0.291970604059021,0.0029270655347422036,0.13931517430056795,-0.2966168371361133,0.0008223945673558857,124
warm_days,slope_0.50,elevation,0.2710268398497805,0.0023965335830877796,0.13931517430056795,0.30572873557581953,0.0005543186345928522,124
warm_days,slope_0.90,latitude,-0.14531775967119387,0.1206485370019223,0.22864356932229635,0.06089702737541352,0.5016621647223523,124
warm_days,slope_0.90,longitude,-0.4926996226721349,3.204370532841223e-07,0.22864356932229635,-0.49781904012588507,4.03866190535717e-09,124
warm_days,slope_0.90,elevation,0.1509804008180796,0.07043417962546786,0.22864356932229635,0.18925000550842894,0.03528100206637231,124
warm_days,Delta1,latitude,-0.13702328141665776,0.16377824351733639,0.14630613771673817,0.03340996602673849,0.7125954097887143,124
warm_days,Delta1,longitude,-0.3946310152467895,6.937280076576713e-05,0.14630613771673817,-0.4255987411487017,8.321986134082871e-07,124
warm_days,Delta1,elevation,0.132181273741599,0.13137905280018267,0.14630613771673817,0.18040340016895057,0.04496046667827599,124
warm_nights,slope_0.10,latitude,-0.061829022223838834,0.5007240797936096,0.2520148868713653,0.12901672543953885,0.15326447216589872,124
warm_nights,slope_0.10,longitude,-0.4199756469291115,7.390610926600668e-06,0.2520148868713653,-0.4121038552321007,1.978575447150212e-06,124
warm_nights,slope_0.10,elevation,-0.3556493373992344,2.6942711523307718e-05,0.2520148868713653,-0.2657852581767943,0.0028493405769132044,124
warm_nights,slope_0.50,latitude,0.06997818201553554,0.48961860720805356,0.0900387340009402,0.07089546954449302,0.4339511151561089,124
warm_nights,slope_0.50,longitude,-0.1581502277103659,0.11219302887660117,0.0900387340009402,-0.21319276160503534,0.017436587467572963,124
warm_nights,slope_0.50,elevation,-0.264991200659246,0.0038253291693249227,0.0900387340009402,-0.2093885425298883,0.01959714209420497,124
warm_nights,slope_0.90,latitude,0.0710040415165509,0.47987787226028567,0.10411760258223868,0.02057910397973276,0.8205307656386603,124
warm_nights,slope_0.90,longitude,0.001564400345592673,0.9872988321808723,0.10411760258223868,-0.057271439811172296,0.5275125222002834,124
warm_nights,slope_0.90,elevation,-0.3325492779050101,0.0002931174923994149,0.10411760258223868,-0.342770551600601,9.738674798329265e-05,124
warm_nights,Delta1,latitude,0.11968731498194189,0.23825299064632727,0.08990536688123096,-0.0017592474575119457,0.9845285830865734,124
warm_nights,Delta1,longitude,0.21741026404345548,0.029752417332246404,0.08990536688123096,0.14063257277734065,0.11925437411637506,124
warm_nights,Delta1,elevation,-0.2295192389186786,0.011880481063303456,0.08990536688123096,-0.24400391504106683,0.006314219649978063,124
