index_name,station_name,cluster,slope_0.05,slope_0.50,slope_0.95,Delta1
cool_days,Sanandaj,1,-1.4634167180595206,-4.444443950614626,-8.108112257721553,-6.644695539662032
cool_days,Zabol,2,1.3953573149074168,-2.857141065580976,-8.749999644145904,-10.14535695905332
cool_days,Orumiyeh,3,0.1724136805339017,-3.20754724813122,-16.77419276636619,-16.94660644690009
cool_days,Torbat-E Heydariyeh,4,-0.2564074742404024,3.260869316603227,-12.35293607221309,-12.096528597972688
cool_nights,Khorramabad,1,1.4814827977105671,2.698411490206324,-19.523824939263136,-21.005307736973705
cool_nights,Qazvin,2,0.4999995597758641,-3.5555562374655847,-13.255819287632564,-13.755818847408428
cool_nights,Gorgan,3,4.000000261376584,6.428570438517694,1.5217391145158807,-2.478261146860704
cool_nights,Shahrekord,4,5.600000058946993,14.615379846719655,17.56097582303871,11.960975764091716
warm_days,Esfahan,1,11.92307549269288,16.285714307999474,28.50000040754093,16.57692491484805
warm_days,Bushehr (Airport),2,3.829795099254632,4.000011203846997,-2.4999998184183827,-6.329794917673015
warm_days,Khoy,3,11.72413756084463,12.432433031813275,8.833328793003087,-2.890808767841543
warm_days,Zanjan,4,2.4999998271821107,9.44444556937116,16.607141674872405,14.107141847690295
warm_nights,Ramsar,1,25.199997714724365,25.5882352595156,19.821425017031384,-5.378572697692981
warm_nights,Tabriz,2,9.729731175286725,11.9607846592785,15.227272742651394,5.497541567364669
warm_nights,Tehran (Mehrabad Airport),3,9.111111116309273,15.882353217996448,21.02564033598123,11.914529219671955
warm_nights,Shiraz,4,9.772727272727288,14.000010946542275,35.675672490895685,25.9029452181684
