index_name,tau,saved_slope,linear_program_slope,absolute_difference,solver_success
warm_days,0.1,25.09520623673477,25.095205290006305,9.467284662889597e-07,True
warm_days,0.5,40.40570068616784,40.405696082080055,4.604087784798594e-06,True
warm_days,0.9,29.622159255059277,29.622160817018344,1.56195906697576e-06,True
warm_nights,0.1,14.533109168728354,14.53310621575154,2.952976814185604e-06,True
warm_nights,0.5,25.415056704989148,25.41505612016238,5.848267683461472e-07,True
warm_nights,0.9,22.599235242673025,22.599232486929345,2.755743679472289e-06,True
cool_days,0.1,-11.803736715077187,-11.803736829000076,1.1392288890021973e-07,True
cool_days,0.5,-16.510214517672843,-16.510215617533472,1.0998606292389468e-06,True
cool_days,0.9,-21.031369724311272,-21.03136933285908,3.9145219332681336e-07,True
cool_nights,0.1,-11.20166422631712,-11.201663785441387,4.4087573414230974e-07,True
cool_nights,0.5,-14.5142555967963,-14.514256209356427,6.125601270667858e-07,True
cool_nights,0.9,-19.66014929938935,-19.66014883020839,4.691809607493269e-07,True
