station_id,station_name,year,n_days,precip_valid_days,temperature_valid_days,precip_total,temperature_mean,definition,definition_title,season_label,temperature_variable,precip_coverage_pct,temperature_coverage_pct,valid_for_compound,n_years_for_empirical_copula,joint_probability_and,joint_return_period_years,dry_probability,hot_probability,dry_return_period_years,hot_return_period_years,dominant_driver,event_rp_ge_5,event_rp_ge_10,event_rp_ge_20
40700,Parsabad,1991,365,365,348,319.92,15.326149425287356,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,95.34246575342466,True,34,0.6764705882352942,1.4782608695652173,0.7941176470588235,0.8235294117647058,1.2592592592592593,1.2142857142857144,dry,0,0,0
40700,Parsabad,1992,366,366,345,301.24,14.480579710144928,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,94.26229508196721,True,34,0.6470588235294118,1.5454545454545454,0.6764705882352942,0.9705882352941176,1.4782608695652173,1.0303030303030303,dry,0,0,0
40700,Parsabad,1993,365,364,333,189.17000000000002,14.443543543543543,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,99.72602739726027,91.23287671232876,True,34,0.14705882352941177,6.8,0.14705882352941177,1.0,6.8,1.0,dry,1,0,0
40700,Parsabad,1994,365,365,334,299.56,15.23323353293413,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,91.5068493150685,True,34,0.6176470588235294,1.619047619047619,0.6470588235294118,0.8823529411764706,1.5454545454545454,1.1333333333333333,dry,0,0,0
40700,Parsabad,1995,365,365,340,312.3,16.300588235294118,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,93.15068493150685,True,34,0.14705882352941177,6.8,0.7352941176470589,0.17647058823529413,1.3599999999999999,5.666666666666666,hot,1,0,0
40700,Parsabad,1996,366,366,324,153.09,16.19320987654321,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,88.52459016393442,True,34,0.029411764705882353,34.0,0.029411764705882353,0.29411764705882354,34.0,3.4,dry,1,1,1
40700,Parsabad,1997,365,365,320,258.49,16.0140625,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,87.67123287671232,True,34,0.3235294117647059,3.090909090909091,0.5,0.5,2.0,2.0,co-dominant,0,0,0
40700,Parsabad,1998,365,365,334,187.16,16.797904191616766,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,91.5068493150685,True,34,0.029411764705882353,34.0,0.11764705882352941,0.08823529411764706,8.5,11.333333333333332,hot,1,1,1
40700,Parsabad,1999,365,365,340,250.51,16.236470588235292,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,93.15068493150685,True,34,0.11764705882352941,8.5,0.4411764705882353,0.23529411764705882,2.2666666666666666,4.25,hot,1,0,0
40700,Parsabad,2000,366,366,340,266.61,16.081764705882353,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,92.89617486338798,True,34,0.35294117647058826,2.833333333333333,0.5882352941176471,0.4117647058823529,1.7,2.428571428571429,hot,0,0,0
40700,Parsabad,2001,365,365,335,244.45,16.883582089552238,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,91.78082191780823,True,34,0.029411764705882353,34.0,0.4117647058823529,0.029411764705882353,2.428571428571429,34.0,hot,1,1,1
40700,Parsabad,2002,365,365,332,293.15,16.041867469879517,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,90.95890410958904,True,34,0.38235294117647056,2.6153846153846154,0.6176470588235294,0.4411764705882353,1.619047619047619,2.2666666666666666,hot,0,0,0
40700,Parsabad,2003,365,365,323,407.55,15.508049535603716,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,88.4931506849315,True,34,0.7352941176470589,1.3599999999999999,1.0,0.7352941176470589,1.0,1.3599999999999999,hot,0,0,0
40700,Parsabad,2004,366,366,333,325.89,15.93063063063063,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,90.98360655737704,True,34,0.5294117647058824,1.8888888888888888,0.8529411764705882,0.5588235294117647,1.1724137931034484,1.7894736842105263,hot,0,0,0
40700,Parsabad,2005,365,365,337,201.58,16.23620178041543,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,92.32876712328768,True,34,0.08823529411764706,11.333333333333332,0.20588235294117646,0.2647058823529412,4.857142857142858,3.7777777777777777,dry,1,1,0
40700,Parsabad,2006,365,365,364,207.81,15.557417582417582,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,99.72602739726027,True,34,0.20588235294117646,4.857142857142858,0.23529411764705882,0.7058823529411765,4.25,1.4166666666666665,dry,0,0,0
40700,Parsabad,2007,365,365,365,242.03,15.443835616438356,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,100.0,True,34,0.29411764705882354,3.4,0.35294117647058826,0.7647058823529411,2.833333333333333,1.3076923076923077,dry,0,0,0
40700,Parsabad,2008,366,366,366,226.93,15.275136612021857,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,100.0,True,34,0.29411764705882354,3.4,0.3235294117647059,0.8529411764705882,3.090909090909091,1.1724137931034484,dry,0,0,0
40700,Parsabad,2009,365,365,365,334.11,15.358356164383562,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,100.0,True,34,0.7352941176470589,1.3599999999999999,0.8823529411764706,0.7941176470588235,1.1333333333333333,1.2592592592592593,hot,0,0,0
40700,Parsabad,2010,365,365,365,339.18,16.46958904109589,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,100.0,True,34,0.14705882352941177,6.8,0.9117647058823529,0.14705882352941177,1.096774193548387,6.8,hot,1,0,0
40700,Parsabad,2011,365,365,365,355.59999999999997,14.867671232876711,annual_tmean,Annual precipitation + annual mean temperature,annual,tmean,100.0,100.0,True,34,0.9117647058823529,1.096774193548387,0.9705882352941176,0.9411764705882353,1.0303030303030303,1.0625,hot,0,0,0
