definition,definition_title,return_period_threshold_years,n_years_with_defined_moran,mean_moran_i,linear_slope_moran_per_decade,linear_p_value,kendall_tau,kendall_p_value
annual_tmean,Annual precipitation + annual mean temperature,5.0,34,0.2157395908262814,-0.016459292497795597,0.5111718523854969,-0.09803921568627452,0.4148752104078284
annual_tmean,Annual precipitation + annual mean temperature,10.0,33,0.15694120778342077,0.035181300470157204,0.20618441374696778,0.11742424242424243,0.34736662016926184
annual_tmean,Annual precipitation + annual mean temperature,20.0,26,0.12964933762153613,0.07029487468604678,0.07355934145500556,0.21846153846153846,0.12364183802733303
warm_season_tmax,Warm-season precipitation + maximum temperature,5.0,34,0.21977011970797217,0.033630096661782564,0.23357909030892285,0.15864527629233513,0.1870436230806085
warm_season_tmax,Warm-season precipitation + maximum temperature,10.0,34,0.18615007587627042,0.07523073459317155,0.004653380746106413,0.31194295900178254,0.009478992264279179
warm_season_tmax,Warm-season precipitation + maximum temperature,20.0,31,0.113002275484561,0.086704716915567,0.0016562307390173014,0.3935483870967742,0.0015852766662556037
